"Comparison","EventType","GeneSymbol","Chromosome","Strand","FDR","DeltaPSI"
"KO_vs_Parental","SE","Nap1l4","chr7","-",0.0250242971940086,0.114
"KO_vs_Parental","A5SS","Tbc1d19","chr5","+",0.00505309321006527,0.113
"KO_vs_Parental","MXE","Mapk8ip3","chr17","-",0.000469622280751048,0.113
"KO_vs_Parental","MXE","Bcan","chr3","-",0.0182174604085489,-0.113
"KO_vs_Parental","RI","Psrc1","chr3","+",3.10346637278388e-11,0.113
"KO_vs_Parental","RI","Raf1","chr6","-",7.17512108541303e-07,0.113
"KO_vs_Parental","RI","Tmem33","chr5","+",4.91140686875912e-05,0.113
"KO_vs_Parental","SE","Dlg4","chr11","+",3.27858978903823e-11,-0.113
"KO_vs_Parental","SE","Puf60","chr15","-",8.30960801005284e-09,0.113
"KO_vs_Parental","SE","Anapc1","chr2","-",4.09502330355532e-07,0.113
"KO_vs_Parental","SE","Map1a","chr2","+",7.05074672404658e-07,0.113
"KO_vs_Parental","SE","Pvt1","chr15","+",9.10390602501822e-06,-0.113
"KO_vs_Parental","SE","Ttc3","chr16","+",6.02374825341555e-05,0.113
"KO_vs_Parental","SE","Entr1","chr2","-",0.00022511356407904,-0.113
"KO_vs_Parental","SE","Smc2","chr4","+",0.00139162171332243,0.113
"KO_vs_Parental","SE","Clip2","chr5","-",0.00647448499785788,-0.113
"KO_vs_Parental","SE","Ccdc66","chr14","-",0.0133168995318833,0.113
"KO_vs_Parental","SE","Nudt13","chr14","+",0.0186834892991347,-0.113
"KO_vs_Parental","RI","Adcy3","chr12","+",0.027206574893718,0.112
"KO_vs_Parental","SE","Glt8d1","chr14","+",3.2981015727655e-07,0.112
"KO_vs_Parental","SE","Smarcad1","chr6","+",4.06445627777507e-07,0.112
"KO_vs_Parental","SE","Cep20","chr16","-",0.00196447376034375,0.112
"KO_vs_Parental","SE","Palb2","chr7","-",0.00808122668265875,0.112
"KO_vs_Parental","SE","Adgrl1","chr8","+",0.00951857003732209,-0.112
"KO_vs_Parental","SE","Gm5535","chr2","-",0.0179936982214332,-0.112
"KO_vs_Parental","SE","Ndrg3","chr2","-",0.0232429077591992,-0.112
"KO_vs_Parental","SE","Gnb1l","chr16","+",0.0368397402264482,0.112
"KO_vs_Parental","SE","2810429I04Rik","chr13","+",0.0446170961073336,0.112
"KO_vs_Parental","A3SS","Rassf7","chr7","+",4.60210421598813e-06,0.111
"KO_vs_Parental","A5SS","Nelfe","chr17","+",3.25180436154318e-05,0.111
"KO_vs_Parental","MXE","Sp3","chr2","-",0.0141840223756873,0.111
"KO_vs_Parental","RI","9430015G10Rik","chr4","+",0.00170815130971675,0.111
"KO_vs_Parental","SE","Ndel1","chr11","-",0,0.111
"KO_vs_Parental","SE","Igsf3","chr3","+",1.01963785400366e-11,0.111
"KO_vs_Parental","SE","Azin1","chr15","-",2.2074843603236e-11,-0.111
"KO_vs_Parental","SE","Tecr","chr8","-",9.31275381975824e-07,-0.111
"KO_vs_Parental","SE","Map3k4","chr17","-",4.8343902323858e-05,-0.111
"KO_vs_Parental","SE","Ssh3","chr19","-",0.0116660743116072,-0.111
"KO_vs_Parental","SE","Cep63","chr9","-",0.0292810692365759,-0.111
"KO_vs_Parental","SE","Tmprss7","chr16","-",0.0342192113060299,0.111
"KO_vs_Parental","SE","Bard1","chr1","-",0.0355348850923673,0.111
"KO_vs_Parental","A3SS","Tab3","chrX","+",0.0156353415547342,0.11
"KO_vs_Parental","A3SS","Ilf3","chr9","+",0.0324497181581723,0.11
"KO_vs_Parental","MXE","Flcn","chr11","-",3.90630617891711e-05,-0.11
"KO_vs_Parental","MXE","Hand2os1","chr8","-",0.000135896145464832,0.11
"KO_vs_Parental","MXE","Sfmbt2","chr2","+",0.000864428386935027,-0.11
"KO_vs_Parental","MXE","Iqsec2","chrX","+",0.0412671963412881,0.11
"KO_vs_Parental","RI","Rpl3","chr15","-",1.45352092819826e-06,0.11
"KO_vs_Parental","RI","Snhg16","chr11","+",9.44836322394789e-06,0.11
"KO_vs_Parental","RI","Rnf44","chr13","-",0.00118175078055508,0.11
"KO_vs_Parental","RI","Ube2m","chr7","-",0.0356184323416348,-0.11
"KO_vs_Parental","SE","0610010K14Rik","chr11","-",1.12053770842233e-10,-0.11
"KO_vs_Parental","SE","Hnrnpa2b1","chr6","-",7.537800939933e-06,-0.11
"KO_vs_Parental","SE","Arhgap10","chr8","-",1.42232457364784e-05,0.11
"KO_vs_Parental","SE","Tra2a","chr6","-",3.14166716580156e-05,-0.11
"KO_vs_Parental","SE","Nkiras1","chr14","-",0.000116622734252377,0.11
"KO_vs_Parental","SE","Mecp2","chrX","-",0.00012765354962061,0.11
"KO_vs_Parental","SE","Cd40","chr2","+",0.000463351307114717,-0.11
"KO_vs_Parental","SE","Tmub2","chr11","+",0.00217352630580569,0.11
"KO_vs_Parental","SE","Gen1","chr12","-",0.00311500915225809,-0.11
"KO_vs_Parental","SE","Ckap5","chr2","+",0.00403930666762491,-0.11
"KO_vs_Parental","SE","Pvt1","chr15","+",0.00498605781113889,0.11
"KO_vs_Parental","SE","Cenpu","chr8","+",0.0117638800060584,-0.11
"KO_vs_Parental","SE","Tsc2","chr17","-",0.0207017653930352,-0.11
"KO_vs_Parental","SE","Nsun4","chr4","-",0.0267496402621189,-0.11
"KO_vs_Parental","A3SS","Msi2","chr11","-",0.00141623553332186,-0.109
"KO_vs_Parental","A5SS","Helq","chr5","-",0.0117715976637011,-0.109
"KO_vs_Parental","RI","Ensa","chr3","+",6.05259278759445e-08,-0.109
"KO_vs_Parental","SE","Prrc2b","chr2","+",1.70713540129511e-09,-0.109
"KO_vs_Parental","SE","2210408F21Rik","chr6","+",9.85145957160328e-07,-0.109
"KO_vs_Parental","SE","Kctd17","chr15","+",1.1777103728992e-05,-0.109
"KO_vs_Parental","SE","Hnrnpa2b1","chr6","-",6.62101601546216e-05,-0.109
"KO_vs_Parental","SE","Hmga1","chr17","+",0.000104976807562935,0.109
"KO_vs_Parental","SE","Kif2a","chr13","-",0.000187905888003856,-0.109
"KO_vs_Parental","SE","Gtpbp2","chr17","+",0.000364498301026655,-0.109
"KO_vs_Parental","SE","Fancc","chr13","-",0.00406288359107288,0.109
"KO_vs_Parental","SE","Apbb1ip","chr2","+",0.00528745328085401,-0.109
"KO_vs_Parental","SE","Rab44","chr17","+",0.00717462580318105,-0.109
"KO_vs_Parental","SE","Suv39h2","chr2","-",0.0105441807002057,0.109
"KO_vs_Parental","SE","Xpo4","chr14","-",0.0230234743760233,-0.109
"KO_vs_Parental","SE","Arhgap21","chr2","-",0.0259022052114803,0.109
"KO_vs_Parental","SE","Pcsk4","chr10","-",0.0479411271145908,-0.109
"KO_vs_Parental","SE","Hk1os","chr10","+",0.0486106445928072,-0.109
"KO_vs_Parental","A3SS","Nek4","chr14","+",0.0036105045263511,0.108
"KO_vs_Parental","A3SS","Dgcr2","chr16","-",0.00745812689302038,0.108
"KO_vs_Parental","MXE","Dtx3","chr10","-",0.00147637283020872,-0.108
"KO_vs_Parental","MXE","Btrc","chr19","+",0.0205588923484856,-0.108
"KO_vs_Parental","RI","Clcn4","chr7","-",0.00044185199734918,0.108
"KO_vs_Parental","RI","Adamts10","chr17","+",0.0405905775902013,0.108
"KO_vs_Parental","SE","Pxdn","chr12","+",0,-0.108
"KO_vs_Parental","SE","Trip12","chr1","-",8.67454513283444e-10,0.108
"KO_vs_Parental","SE","Rhobtb1","chr10","+",2.91192174539669e-09,0.108
"KO_vs_Parental","SE","Traf7","chr17","-",5.07438655286525e-06,-0.108
"KO_vs_Parental","SE","Plekha5","chr6","+",9.72253761539212e-06,0.108
"KO_vs_Parental","SE","Zmynd11","chr13","-",0.00011539304949622,0.108
"KO_vs_Parental","SE","Ncor2","chr5","-",0.000249491403678902,-0.108
"KO_vs_Parental","SE","Htra2","chr6","-",0.000580175684369423,-0.108
"KO_vs_Parental","SE","Tfpi","chr2","-",0.00072868640653364,-0.108
"KO_vs_Parental","SE","Ssr1","chr13","-",0.00103622076099931,-0.108
"KO_vs_Parental","SE","Cdk8","chr5","+",0.00118110447772797,0.108
"KO_vs_Parental","SE","Dmpk","chr7","+",0.00137274481742618,-0.108
"KO_vs_Parental","SE","Pmp22","chr11","+",0.00176010029871468,-0.108
"KO_vs_Parental","SE","Bin1","chr18","+",0.00428096080427044,-0.108
"KO_vs_Parental","SE","Nphp1","chr2","-",0.00527614316867198,0.108
"KO_vs_Parental","SE","Zfp644","chr5","-",0.0080482765008342,0.108
"KO_vs_Parental","SE","Luc7l2","chr6","+",0.010912677374557,-0.108
"KO_vs_Parental","SE","Sppl2a","chr2","-",0.0120132961884434,-0.108
"KO_vs_Parental","SE","Huwe1","chrX","+",0.0180066919207727,-0.108
"KO_vs_Parental","SE","Cracr2b","chr7","+",0.04177982602945,-0.108
"KO_vs_Parental","A3SS","Rxrb","chr17","+",0.000347120164134003,-0.107
"KO_vs_Parental","A3SS","Chchd7","chr4","+",0.00658500562068741,-0.107
"KO_vs_Parental","A3SS","Dph7","chr2","+",0.0270747325264028,-0.107
"KO_vs_Parental","MXE","Pnpla6","chr8","+",0.00601335929675488,0.107
"KO_vs_Parental","RI","Cct3","chr3","+",0.00188264760667439,0.107
"KO_vs_Parental","SE","Akap8l","chr17","-",6.41047855347639e-08,-0.107
"KO_vs_Parental","SE","Zc3h18","chr8","+",1.0156112195426e-06,0.107
"KO_vs_Parental","SE","Ccnl2","chr4","+",1.43155517364884e-05,-0.107
"KO_vs_Parental","SE","Agtpbp1","chr13","-",2.134314874085e-05,0.107
"KO_vs_Parental","SE","Rnf214","chr9","-",0.000343423445142104,-0.107
"KO_vs_Parental","SE","Xylt2","chr11","-",0.000380206308406138,0.107
"KO_vs_Parental","SE","Aftph","chr11","-",0.000826406239766225,-0.107
"KO_vs_Parental","SE","Ppp4r1l-ps","chr2","-",0.00131987283050423,-0.107
"KO_vs_Parental","SE","Usp1","chr4","+",0.00353017599364078,-0.107
"KO_vs_Parental","SE","Dnajb4","chr3","-",0.00980540855376305,0.107
"KO_vs_Parental","SE","Adcyap1r1","chr6","+",0.0135673460788307,-0.107
"KO_vs_Parental","SE","Adarb1","chr10","-",0.0139213459735924,-0.107
"KO_vs_Parental","SE","Ints2","chr11","-",0.0154272953783243,-0.107
"KO_vs_Parental","SE","Ccl25","chr8","+",0.0363240547917971,-0.107
"KO_vs_Parental","SE","Dedd","chr1","+",0.0437439192808808,0.107
"KO_vs_Parental","A3SS","Alkbh1","chr12","-",2.30965287745439e-05,-0.106
"KO_vs_Parental","A5SS","Homer2","chr7","-",0.002911328604257,-0.106
"KO_vs_Parental","A5SS","Smc2","chr4","+",0.0234947150968892,-0.106
"KO_vs_Parental","MXE","Dtnb","chr12","+",0.00794140286486321,-0.106
"KO_vs_Parental","MXE","Map4k1","chr7","+",0.0112379374167607,0.106
"KO_vs_Parental","MXE","Pomt1","chr2","+",0.0472510446406493,-0.106
"KO_vs_Parental","RI","Zyx","chr6","+",1.99488037517108e-08,0.106
"KO_vs_Parental","RI","Ydjc","chr16","+",6.67044873061263e-06,-0.106
"KO_vs_Parental","RI","Cenpl","chr1","+",0.00670742075726201,0.106
"KO_vs_Parental","RI","Pdlim7","chr13","-",0.00751331521402478,-0.106
"KO_vs_Parental","SE","Samhd1","chr2","-",7.97997221897473e-07,-0.106
"KO_vs_Parental","SE","Esyt2","chr12","+",7.50228481485603e-06,-0.106
"KO_vs_Parental","SE","Mapk8ip3","chr17","-",8.71200588607524e-05,-0.106
"KO_vs_Parental","SE","Asph","chr4","-",0.000176916074963636,-0.106
"KO_vs_Parental","SE","Mapt","chr11","+",0.000403796173752374,-0.106
"KO_vs_Parental","SE","Huwe1","chrX","+",0.00398028504742425,-0.106
"KO_vs_Parental","SE","Mdm2","chr10","-",0.00767767659558068,-0.106
"KO_vs_Parental","SE","Sbf1","chr15","-",0.0240738652530769,0.106
"KO_vs_Parental","A3SS","Cpsf4","chr5","+",0.000628064716394463,-0.105
"KO_vs_Parental","A5SS","Esco1","chr18","-",0.031212993830915,0.105
"KO_vs_Parental","MXE","Cep70","chr9","+",0.0251262788441908,-0.105
"KO_vs_Parental","MXE","Eya3","chr4","+",0.0474960864068993,-0.105
"KO_vs_Parental","RI","Mdp1","chr14","-",0.00039433788258754,0.105
"KO_vs_Parental","RI","Ift172","chr5","-",0.0185838466952004,-0.105
"KO_vs_Parental","RI","Bap1","chr14","+",0.0261779240667228,-0.105
"KO_vs_Parental","SE","Tnk2","chr16","+",0,-0.105
"KO_vs_Parental","SE","Epb41l3","chr17","+",2.14630423655758e-05,0.105
"KO_vs_Parental","SE","Palb2","chr7","-",0.00153360181463063,0.105
"KO_vs_Parental","SE","Aox1","chr1","+",0.00158783326872353,-0.105
"KO_vs_Parental","SE","Crat","chr2","-",0.00604877999988071,0.105
"KO_vs_Parental","SE","Pip5k1c","chr10","+",0.01051641083672,-0.105
"KO_vs_Parental","SE","Prr33","chr7","-",0.0153542957212696,0.105
"KO_vs_Parental","SE","Jmjd1c","chr10","+",0.0419673981597077,0.105
"KO_vs_Parental","A3SS","Elf2","chr3","-",0.000903645759405032,-0.104
"KO_vs_Parental","A3SS","Pfkfb4","chr9","+",0.045273854951087,-0.104
"KO_vs_Parental","MXE","Clta","chr4","+",0.000162726469947313,-0.104
"KO_vs_Parental","MXE","Wdhd1","chr14","-",0.0175284935890382,0.104
"KO_vs_Parental","MXE","Gpatch2l","chr12","+",0.0213478315173442,0.104
"KO_vs_Parental","MXE","Slc8a1","chr17","-",0.0414249388962231,-0.104
"KO_vs_Parental","RI","Rpl31","chr1","+",2.09033447719626e-05,0.104
"KO_vs_Parental","RI","Rnf167","chr11","+",2.14730058695671e-05,0.104
"KO_vs_Parental","SE","Pkp4","chr2","+",7.033182973909e-05,-0.104
"KO_vs_Parental","SE","Slc39a3","chr10","-",7.17127952507686e-05,0.104
"KO_vs_Parental","SE","Milr1","chr11","+",0.0012954534152141,0.104
"KO_vs_Parental","SE","Cacul1","chr19","-",0.00235048316135479,0.104
"KO_vs_Parental","SE","Acin1","chr14","-",0.00274667367607248,-0.104
"KO_vs_Parental","SE","Zfp444","chr7","+",0.00285001684971313,-0.104
"KO_vs_Parental","SE","Spata5l1","chr2","+",0.00303228494760907,-0.104
"KO_vs_Parental","SE","Tmem68","chr4","-",0.00317643152200269,0.104
"KO_vs_Parental","SE","Ccdc157","chr11","-",0.00482697263951788,0.104
"KO_vs_Parental","SE","Trpt1","chr19","+",0.0112883827264141,-0.104
"KO_vs_Parental","SE","Cyld","chr8","+",0.0121575062353665,-0.104
"KO_vs_Parental","SE","Cetn4","chr3","-",0.0142345202014563,-0.104
"KO_vs_Parental","SE","Sobp","chr10","-",0.0169963531755925,0.104
"KO_vs_Parental","SE","Zdhhc4","chr5","-",0.027266897431278,-0.104
"KO_vs_Parental","A3SS","Mapk11","chr15","-",5.02873439857561e-09,0.103
"KO_vs_Parental","A3SS","Pola2","chr19","-",0.0004372307272268,-0.103
"KO_vs_Parental","MXE","4933431E20Rik","chr3","-",0.0497229289548478,0.103
"KO_vs_Parental","RI","Slx1b","chr7","-",6.75226914789562e-08,0.103
"KO_vs_Parental","RI","Ccnl2","chr4","+",5.61441220710658e-07,-0.103
"KO_vs_Parental","RI","Mars1","chr10","-",6.67636200536938e-05,-0.103
"KO_vs_Parental","RI","Myl6","chr10","-",0.0105352670541296,-0.103
"KO_vs_Parental","SE","Meaf6","chr4","+",2.02282635086675e-13,-0.103
"KO_vs_Parental","SE","Zmym3","chrX","-",2.08238221611932e-08,-0.103
"KO_vs_Parental","SE","Ccnl1","chr3","-",0.000138243324210715,-0.103
"KO_vs_Parental","SE","Bnip2","chr9","+",0.00018712067721833,-0.103
"KO_vs_Parental","SE","R3hdm1","chr1","+",0.00116340971314384,-0.103
"KO_vs_Parental","SE","Zmynd8","chr2","-",0.00121419725215528,-0.103
"KO_vs_Parental","SE","Mipol1","chr12","+",0.0129037492010284,0.103
"KO_vs_Parental","SE","Gm11639","chr11","+",0.0167325797423916,-0.103
"KO_vs_Parental","SE","Ccl25","chr8","+",0.0249826281763555,-0.103
"KO_vs_Parental","SE","Ip6k2","chr9","+",0.0268568465411405,0.103
"KO_vs_Parental","SE","Wiz","chr17","-",0.0356018514496191,0.103
"KO_vs_Parental","SE","Prune2","chr19","+",0.0451444672100232,0.103
"KO_vs_Parental","A3SS","Rhbdd3","chr11","+",0.0307846717887386,0.102
"KO_vs_Parental","A5SS","Blzf1","chr1","-",0.0243640532224181,0.102
"KO_vs_Parental","MXE","L1cam","chrX","-",0,-0.102
"KO_vs_Parental","MXE","Epb41l3","chr17","+",2.78321164807685e-09,-0.102
"KO_vs_Parental","MXE","Platr25","chr13","-",2.26294918210191e-06,0.102
"KO_vs_Parental","MXE","Atat1","chr17","-",0.0064152525294655,-0.102
"KO_vs_Parental","MXE","Alg3","chr16","-",0.0357568021921999,-0.102
"KO_vs_Parental","RI","Cluh","chr11","+",2.45441850694008e-08,0.102
"KO_vs_Parental","RI","Myo9b","chr8","+",0.00621728140039776,0.102
"KO_vs_Parental","SE","Mcam","chr9","+",8.62542247364813e-12,-0.102
"KO_vs_Parental","SE","Tpm3","chr3","+",2.05600070302397e-11,-0.102
"KO_vs_Parental","SE","Cldnd1","chr16","+",2.58754260016208e-07,0.102
"KO_vs_Parental","SE","Sh3glb2","chr2","-",8.35987223704826e-05,-0.102
"KO_vs_Parental","SE","Brca2","chr5","+",0.000130596732297921,0.102
"KO_vs_Parental","SE","Hdac4","chr1","-",0.000309516041610852,-0.102
"KO_vs_Parental","SE","Erbin","chr13","-",0.000402455609312463,-0.102
"KO_vs_Parental","SE","Tbc1d14","chr5","-",0.000426652540972919,0.102
"KO_vs_Parental","SE","Parp9","chr16","+",0.00141775774359879,-0.102
"KO_vs_Parental","SE","Plekha6","chr1","+",0.0014568676842482,0.102
"KO_vs_Parental","SE","Dguok","chr6","-",0.00227229161483736,-0.102
"KO_vs_Parental","SE","Enox1","chr14","+",0.00238854641047428,0.102
"KO_vs_Parental","SE","Slc23a2","chr2","-",0.0228468549093724,0.102
"KO_vs_Parental","A3SS","Rsrp1","chr4","+",0.00228150982826475,-0.101
"KO_vs_Parental","A3SS","Pknox1","chr17","+",0.00456633415330709,0.101
"KO_vs_Parental","A5SS","Cyb561d1","chr3","-",0.0354412646983859,-0.101
"KO_vs_Parental","MXE","Msi2","chr11","-",0.0107699797300957,0.101
"KO_vs_Parental","MXE","Naa80","chr9","+",0.011222466505368,-0.101
"KO_vs_Parental","MXE","Ppp4r1l-ps","chr2","-",0.0207784113701852,0.101
"KO_vs_Parental","RI","Trmt1","chr8","+",2.74417659305131e-05,0.101
"KO_vs_Parental","RI","Nr1h2","chr7","-",0.0394739589404381,-0.101
"KO_vs_Parental","SE","Ergic1","chr17","+",0,-0.101
"KO_vs_Parental","SE","Col16a1","chr4","+",7.37082002052797e-06,-0.101
"KO_vs_Parental","SE","Med15","chr16","-",5.59740817605604e-05,-0.101
"KO_vs_Parental","SE","Calu","chr6","+",0.000149674227005633,-0.101
"KO_vs_Parental","SE","Tial1","chr7","-",0.000713991879342734,-0.101
"KO_vs_Parental","SE","Fam149b","chr14","+",0.0020771240332951,-0.101
"KO_vs_Parental","SE","Pdxk-ps","chr17","-",0.00245962252558269,-0.101
"KO_vs_Parental","SE","Ints2","chr11","-",0.00418110097041515,-0.101
"KO_vs_Parental","SE","Kcnma1","chr14","-",0.00420624692414991,-0.101
"KO_vs_Parental","SE","Gtf2ird1","chr5","-",0.0170055672399432,-0.101
"KO_vs_Parental","SE","Ube3a","chr7","+",0.0199350013475749,0.101
"KO_vs_Parental","SE","Sorbs1","chr19","-",0.0444890089999265,0.101
"KO_vs_Parental","A3SS","Dixdc1","chr9","-",0.00239093834974466,-0.1
"KO_vs_Parental","A3SS","Fam133b","chr5","+",0.00433728684141783,0.1
"KO_vs_Parental","A3SS","Dnajc4","chr19","-",0.0289809783558271,0.1
"KO_vs_Parental","A3SS","Supt20","chr3","+",0.0310500763164325,0.1
"KO_vs_Parental","A5SS","Triobp","chr15","+",0.002911328604257,0.1
"KO_vs_Parental","MXE","Calu","chr6","+",9.51373987302211e-06,0.1
"KO_vs_Parental","RI","Dab2ip","chr2","+",1.9489410129163e-06,-0.1
"KO_vs_Parental","SE","Mrps17","chr5","+",1.58159800107495e-06,-0.1
"KO_vs_Parental","SE","Kctd17","chr15","+",4.71167493163264e-06,-0.1
"KO_vs_Parental","SE","Hdac6","chrX","-",4.25083247432833e-05,-0.1
"KO_vs_Parental","SE","Prrc2c","chr1","-",0.000100349165153745,-0.1
"KO_vs_Parental","SE","Mpdz","chr4","-",0.000129204022572794,-0.1
"KO_vs_Parental","SE","Slc9a5","chr8","+",0.000572283661513685,-0.1
"KO_vs_Parental","SE","Pcm1","chr8","+",0.000612297939866753,0.1
"KO_vs_Parental","SE","Ccdc62","chr5","+",0.00207685032021456,0.1
"KO_vs_Parental","SE","Ddhd1","chr14","-",0.00244269707314012,0.1
"KO_vs_Parental","SE","Dis3l2","chr1","+",0.00668244294781898,0.1
"KO_vs_Parental","SE","Zbtb20","chr16","+",0.00801128917829787,0.1
"KO_vs_Parental","SE","Acbd4","chr11","+",0.00955008995008447,-0.1
"KO_vs_Parental","SE","Slc39a4","chr15","-",0.0157865496968188,-0.1
"KO_vs_Parental","SE","Eif3h","chr15","-",0.0361900954825328,0.1
"KO_vs_Pos","SE","Bvht","chr18","+",3.9867208633453e-13,1
"KO_vs_Pos","SE","Sag","chr1","+",2.58662330492626e-10,1
"KO_vs_Pos","A5SS","Abraxas1","chr5","-",2.64748223344176e-12,0.932
"KO_vs_Pos","SE","Card14","chr11","+",7.04763654842854e-12,-0.83
"KO_vs_Pos","SE","Atp5h","chr11","-",5.88377286966934e-12,0.825
"KO_vs_Pos","RI","Cyp2d22","chr15","-",0.0193255786506568,0.722
"KO_vs_Pos","SE","Gm15564","chr16","-",2.87733904946095e-08,0.72
"KO_vs_Pos","A3SS","Rian","chr12","+",4.68851619889745e-05,0.716
"KO_vs_Pos","SE","Tm9sf4","chr2","+",1.50360220398597e-08,-0.709
"KO_vs_Pos","SE","Gm28578","chr19","-",0.00116502536262434,-0.707
"KO_vs_Pos","SE","Camk2d","chr3","+",7.84575110193948e-10,0.692
"KO_vs_Pos","SE","Efhc1","chr1","+",1.236514189234e-07,-0.69
"KO_vs_Pos","SE","Rfx5","chr3","+",6.18536155323243e-05,0.684
"KO_vs_Pos","SE","Vps29","chr5","+",1.17948847859872e-05,-0.676
"KO_vs_Pos","A5SS","Clip4","chr17","+",0.000297785746175468,0.667
"KO_vs_Pos","SE","Ccz1","chr5","-",9.31435483517679e-07,0.667
"KO_vs_Pos","SE","Tbcel","chr9","-",1.78163146597954e-05,-0.667
"KO_vs_Pos","SE","Mir9-3hg","chr7","+",5.88687955633039e-05,0.667
"KO_vs_Pos","SE","ENSMUSG00000121471","chr7","-",0.00138543560509461,-0.667
"KO_vs_Pos","SE","Npepps","chr11","-",0.00277183810198986,-0.667
"KO_vs_Pos","SE","Mospd2","chrX","-",0.00349743131943382,0.667
"KO_vs_Pos","RI","Psmd13","chr7","+",6.68261065532094e-11,0.665
"KO_vs_Pos","SE","Qtrt1","chr9","+",9.26728254097677e-05,0.665
"KO_vs_Pos","SE","Rhox3c","chrX","+",0.000466731791231549,0.665
"KO_vs_Pos","SE","Esco1","chr18","-",0.00532438175629775,0.641
"KO_vs_Pos","A5SS","Bvht","chr18","+",8.37490222627593e-09,-0.633
"KO_vs_Pos","A5SS","C230035I16Rik","chr13","-",0.00713905730816727,-0.632
"KO_vs_Pos","SE","Psd","chr19","-",4.39078274229523e-06,0.627
"KO_vs_Pos","SE","Tle1","chr4","-",0.000725777954744772,-0.619
"KO_vs_Pos","SE","5830428M24Rik","chr12","-",0.00216572580476739,-0.615
"KO_vs_Pos","A3SS","Mast2","chr4","-",3.3640567577892e-05,0.614
"KO_vs_Pos","MXE","Gm3488","chr14","-",0.0378369693805699,0.61
"KO_vs_Pos","SE","Ipo11","chr13","-",0.000409088674882253,-0.61
"KO_vs_Pos","SE","Paxx","chr2","-",1.86693337710647e-07,-0.608
"KO_vs_Pos","MXE","Ceacam1","chr7","-",0.000222632221829003,0.606
"KO_vs_Pos","SE","Sgms1","chr19","-",0.0147277742685412,0.604
"KO_vs_Pos","SE","Gm31333","chr12","+",0.000103295520146207,-0.602
"KO_vs_Pos","SE","Vps26a","chr10","-",9.54480796022348e-06,0.6
"KO_vs_Pos","SE","Cep192","chr18","+",0.00334210606734425,0.6
"KO_vs_Pos","A3SS","Macf1","chr4","-",0.000270840382462921,-0.599
"KO_vs_Pos","SE","Alg6","chr4","+",0.000634822680585197,-0.595
"KO_vs_Pos","SE","Catsperg1","chr7","-",0.000121117954932809,-0.588
"KO_vs_Pos","SE","Tnfrsf9","chr4","+",3.42872072935457e-07,-0.581
"KO_vs_Pos","SE","Pex26","chr6","+",7.17327407114741e-05,-0.58
"KO_vs_Pos","SE","Ltbp2","chr12","-",0.0110351421072615,-0.579
"KO_vs_Pos","SE","Ube2d-ps","chr11","+",0.0240897867390203,0.574
"KO_vs_Pos","SE","Lzts2","chr19","+",3.25670691396241e-05,-0.573
"KO_vs_Pos","SE","4933405D12Rik","chr3","-",0.00246232230420174,-0.569
"KO_vs_Pos","SE","Mipol1","chr12","+",1.68463903338218e-07,-0.564
"KO_vs_Pos","SE","Gm10516","chr1","+",0.0108239684459201,0.563
"KO_vs_Pos","SE","Cyp4f13","chr17","-",1.06213238410088e-06,0.56
"KO_vs_Pos","SE","Srebf2","chr15","+",0.00131079500411527,-0.56
"KO_vs_Pos","SE","Setx","chr2","+",0.017542892758991,-0.556
"KO_vs_Pos","SE","Pdia5","chr16","-",0.0226240503082288,0.555
"KO_vs_Pos","SE","Snapc3","chr4","+",0.00456841273262642,0.554
"KO_vs_Pos","A3SS","Agbl4","chr4","+",0.00285917514647761,-0.553
"KO_vs_Pos","SE","As3mt","chr19","+",0.00722695990574226,-0.55
"KO_vs_Pos","SE","Pum1","chr4","+",0.000327038630056506,0.546
"KO_vs_Pos","SE","9630028I04Rik","chr17","-",0.0263862427632293,-0.532
"KO_vs_Pos","SE","Nrbp1","chr5","+",3.5297034310552e-06,0.528
"KO_vs_Pos","SE","Gipr","chr7","-",0.0366061025404262,0.528
"KO_vs_Pos","SE","Zfp62","chr11","+",9.88813322849686e-06,0.522
"KO_vs_Pos","SE","4930412C18Rik","chr4","+",0.00119108947928263,0.522
"KO_vs_Pos","SE","Rsrc1","chr3","+",0.0010645984823172,-0.521
"KO_vs_Pos","SE","Gm10125","chr18","-",0.00986299145407676,-0.521
"KO_vs_Pos","SE","Ppa2","chr3","+",0.00685800473183326,-0.519
"KO_vs_Pos","SE","Dazap1","chr10","+",0.00115613328966772,0.516
"KO_vs_Pos","SE","Agpat1","chr17","+",0.0187602488224804,0.516
"KO_vs_Pos","RI","Palm3","chr8","+",8.75112400972148e-05,-0.515
"KO_vs_Pos","SE","Snap91","chr9","-",5.75245128866799e-05,0.512
"KO_vs_Pos","RI","Gm36199","chr17","+",0.00017856570754967,0.511
"KO_vs_Pos","A3SS","Adam15","chr3","-",7.52624448142251e-07,0.51
"KO_vs_Pos","SE","Catsperg1","chr7","-",0.00722964509632345,-0.51
"KO_vs_Pos","SE","Cers5","chr15","-",0.00801147424508376,0.51
"KO_vs_Pos","SE","Exoc6b","chr6","-",4.75041218655932e-05,-0.509
"KO_vs_Pos","RI","Lrrc71","chr3","-",4.18227815654111e-07,0.507
"KO_vs_Pos","SE","4732471J01Rik","chr7","+",0.00263839161133084,0.506
"KO_vs_Pos","SE","Phf14","chr6","+",0.00206305164203277,0.504
