Gene	Comparison	EventType	dPSI	FDR	Chromosome	Start	End	ExonLength	IGV_coordinate	IGV_narrow
Lsm2	Pos_vs_Parental	SE	0.523	0.00106	chr17	35201616	35201663	47	chr17:35201116-35202163	chr17:35201516-35201763
Idh1	KO_vs_Neg	SE	0.522	2.51e-05	chr1	65220786	65220857	71	chr1:65220286-65221357	chr1:65220686-65220957
Sar1a	KO_vs_Neg	SE	-0.522	0.000164	chr10	61525390	61525466	76	chr10:61524890-61525966	chr10:61525290-61525566
Zfp62	KO_vs_Pos	SE	0.522	9.89e-06	chr11	49094822	49094995	173	chr11:49094322-49095495	chr11:49094722-49095095
4930412C18Rik	KO_vs_Pos	SE	0.522	0.00119	chr4	9782625	9782739	114	chr4:9782125-9783239	chr4:9782525-9782839
4930412C18Rik	Pos_vs_Neg	SE	-0.522	0.00116	chr4	9782625	9782739	114	chr4:9782125-9783239	chr4:9782525-9782839
Rad23b	Pos_vs_Neg	SE	0.522	0.0411	chr4	55368044	55368124	80	chr4:55367544-55368624	chr4:55367944-55368224
4930412C18Rik	Pos_vs_Parental	SE	-0.522	0.000596	chr4	9782625	9782739	114	chr4:9782125-9783239	chr4:9782525-9782839
1700087I21Rik	KO_vs_Neg	SE	0.521	0.000253	chr14	103662577	103662677	100	chr14:103662077-103663177	chr14:103662477-103662777
Rsrc1	KO_vs_Pos	SE	-0.521	0.00106	chr3	66896366	66896494	128	chr3:66895866-66896994	chr3:66896266-66896594
Gm10125	KO_vs_Pos	SE	-0.521	0.00986	chr18	5583712	5583796	84	chr18:5583212-5584296	chr18:5583612-5583896
Cpne6	Neg_vs_Parental	RI	-0.521	0.000226	chr14	55753319	55753842	NA	chr14:55752819-55754342	chr14:55753219-55753942
Gm20557	Neg_vs_Parental	SE	0.521	0.000411	chr3	49298660	49298738	78	chr3:49298160-49299238	chr3:49298560-49298838
Xlr3b	Neg_vs_Parental	SE	-0.521	0.0174	chrX	72241891	72241991	100	chrX:72241391-72242491	chrX:72241791-72242091
Cox19	Pos_vs_Neg	SE	0.521	1.21e-06	chr5	139324936	139325140	204	chr5:139324436-139325640	chr5:139324836-139325240
Ankrd13c	Neg_vs_Parental	A3SS	0.52	0.000923	chr3	157678636	157680931	NA	chr3:157678136-157681431	chr3:157678536-157681031
Zfhx3	Neg_vs_Parental	SE	-0.52	0.0233	chr8	108727337	108727414	77	chr8:108726837-108727914	chr8:108727237-108727514
Card14	Pos_vs_Parental	SE	0.52	3.11e-08	chr11	119233968	119234090	122	chr11:119233468-119234590	chr11:119233868-119234190
Mipol1	Pos_vs_Parental	SE	0.52	2.7e-05	chr12	57507627	57507770	143	chr12:57507127-57508270	chr12:57507527-57507870
Ptdss1	Pos_vs_Parental	SE	-0.52	0.000227	chr13	67126953	67126992	39	chr13:67126453-67127492	chr13:67126853-67127092
Ppa2	KO_vs_Pos	SE	-0.519	0.00686	chr3	133032408	133032462	54	chr3:133031908-133032962	chr3:133032308-133032562
Adgb	Neg_vs_Parental	A3SS	0.519	0.0349	chr10	10228640	10228807	NA	chr10:10228140-10229307	chr10:10228540-10228907
Adgrl2	Neg_vs_Parental	A5SS	-0.519	1.1e-07	chr3	148526052	148526104	NA	chr3:148525552-148526604	chr3:148525952-148526204
Adgrl2	Pos_vs_Neg	A5SS	0.519	1.07e-06	chr3	148526052	148526104	NA	chr3:148525552-148526604	chr3:148525952-148526204
Iqce	KO_vs_Neg	SE	0.518	1.47e-07	chr5	140672082	140672155	73	chr5:140671582-140672655	chr5:140671982-140672255
Serpinb6a	Neg_vs_Parental	A5SS	-0.518	3.11e-06	chr13	34119555	34119777	NA	chr13:34119055-34120277	chr13:34119455-34119877
Dnhd1	Pos_vs_Neg	MXE	0.517	0.000863	chr7	105336384	105341974	NA	chr7:105335884-105342474	chr7:105336284-105342074
Catsper2	Pos_vs_Parental	SE	-0.517	0.000736	chr2	121230524	121230703	179	chr2:121230024-121231203	chr2:121230424-121230803
Dazap1	KO_vs_Pos	SE	0.516	0.00116	chr10	80110281	80110448	167	chr10:80109781-80110948	chr10:80110181-80110548
Agpat1	KO_vs_Pos	SE	0.516	0.0188	chr17	34829933	34829979	46	chr17:34829433-34830479	chr17:34829833-34830079
Palm3	KO_vs_Pos	RI	-0.515	8.75e-05	chr8	84753628	84754800	NA	chr8:84753128-84755300	chr8:84753528-84754900
Zfp384	Pos_vs_Neg	RI	-0.515	2.23e-06	chr6	125000995	125002045	NA	chr6:125000495-125002545	chr6:125000895-125002145
Cnot2	KO_vs_Neg	SE	0.514	1.58e-07	chr10	116363731	116363854	123	chr10:116363231-116364354	chr10:116363631-116363954
Coa7	Pos_vs_Neg	SE	-0.514	0.000816	chr4	108186384	108186415	31	chr4:108185884-108186915	chr4:108186284-108186515
Uba7	Pos_vs_Parental	RI	-0.514	7.72e-06	chr9	107856592	107856890	NA	chr9:107856092-107857390	chr9:107856492-107856990
Ankib1	KO_vs_Neg	SE	0.513	0.00984	chr5	3805593	3805776	183	chr5:3805093-3806276	chr5:3805493-3805876
Zfp644	KO_vs_Parental	SE	0.512	0.0226	chr5	106829769	106829879	110	chr5:106829269-106830379	chr5:106829669-106829979
Snap91	KO_vs_Pos	SE	0.512	5.75e-05	chr9	86674006	86674078	72	chr9:86673506-86674578	chr9:86673906-86674178
Clasp1	KO_vs_Neg	SE	-0.511	4.53e-05	chr1	118440434	118440458	24	chr1:118439934-118440958	chr1:118440334-118440558
Gm36199	KO_vs_Pos	RI	0.511	0.000179	chr17	29684401	29685046	NA	chr17:29683901-29685546	chr17:29684301-29685146
Yme1l1	Neg_vs_Parental	SE	-0.511	0.0144	chr2	23062967	23063118	151	chr2:23062467-23063618	chr2:23062867-23063218
Wsb1	Pos_vs_Parental	SE	-0.511	0	chr11	79134225	79134401	176	chr11:79133725-79134901	chr11:79134125-79134501
Gm3667	Pos_vs_Parental	SE	-0.511	0.00542	chr14	15584666	15584817	151	chr14:15584166-15585317	chr14:15584566-15584917
Adam15	KO_vs_Pos	A3SS	0.51	7.53e-07	chr3	89254458	89254792	NA	chr3:89253958-89255292	chr3:89254358-89254892
Catsperg1	KO_vs_Pos	SE	-0.51	0.00723	chr7	28884103	28884193	90	chr7:28883603-28884693	chr7:28884003-28884293
Cers5	KO_vs_Pos	SE	0.51	0.00801	chr15	99643769	99643827	58	chr15:99643269-99644327	chr15:99643669-99643927
Tada2a	Pos_vs_Neg	SE	0.51	0.00612	chr11	83975539	83975583	44	chr11:83975039-83976083	chr11:83975439-83975683
Adam15	Pos_vs_Parental	A3SS	-0.51	6.08e-07	chr3	89254458	89254792	NA	chr3:89253958-89255292	chr3:89254358-89254892
Prss33	Pos_vs_Parental	A3SS	0.51	0.00967	chr17	24054249	24054297	NA	chr17:24053749-24054797	chr17:24054149-24054397
Sp110	Pos_vs_Parental	RI	-0.51	0.00514	chr1	85506777	85507466	NA	chr1:85506277-85507966	chr1:85506677-85507566
Smarce1	Pos_vs_Parental	SE	-0.51	5.24e-05	chr11	99115546	99115968	422	chr11:99115046-99116468	chr11:99115446-99116068
Eif4g1	KO_vs_Parental	A3SS	0.509	0.00608	chr16	20500483	20500672	NA	chr16:20499983-20501172	chr16:20500383-20500772
Exoc6b	KO_vs_Pos	SE	-0.509	4.75e-05	chr6	84981970	84982018	48	chr6:84981470-84982518	chr6:84981870-84982118
Gm3696	Neg_vs_Parental	SE	-0.509	5.36e-06	chr14	15378955	15379090	135	chr14:15378455-15379590	chr14:15378855-15379190
Rcbtb1	Neg_vs_Parental	SE	-0.509	0.00687	chr14	59444252	59444379	127	chr14:59443752-59444879	chr14:59444152-59444479
Miip	Pos_vs_Parental	SE	-0.509	3.33e-05	chr4	147951787	147952059	272	chr4:147951287-147952559	chr4:147951687-147952159
Tulp4	KO_vs_Neg	SE	-0.508	0.0164	chr17	6168570	6168641	71	chr17:6168070-6169141	chr17:6168470-6168741
Mapk1	KO_vs_Neg	SE	0.508	0.0399	chr16	16836149	16836339	190	chr16:16835649-16836839	chr16:16836049-16836439
Efcab5	KO_vs_Parental	SE	0.508	7.19e-05	chr11	77063130	77063287	157	chr11:77062630-77063787	chr11:77063030-77063387
Nsun7	Neg_vs_Parental	SE	-0.508	5.93e-07	chr5	66421351	66421410	59	chr5:66420851-66421910	chr5:66421251-66421510
Meg3	Pos_vs_Neg	SE	-0.508	0.00056	chr12	109515953	109515987	34	chr12:109515453-109516487	chr12:109515853-109516087
1600020E01Rik	Pos_vs_Neg	SE	-0.508	0.00187	chr6	86527898	86528096	198	chr6:86527398-86528596	chr6:86527798-86528196
Mapk1	Pos_vs_Neg	SE	0.508	0.0427	chr16	16836149	16836339	190	chr16:16835649-16836839	chr16:16836049-16836439
Rasgrp4	Pos_vs_Parental	A5SS	0.508	0.000866	chr7	28848411	28848571	NA	chr7:28847911-28849071	chr7:28848311-28848671
Rian	Pos_vs_Parental	SE	-0.508	1.02e-07	chr12	109572647	109572777	130	chr12:109572147-109573277	chr12:109572547-109572877
Tafazzin	KO_vs_Parental	SE	-0.507	0	chrX	73332589	73332625	36	chrX:73332089-73333125	chrX:73332489-73332725
Mrps18b	KO_vs_Parental	SE	-0.507	0.0446	chr17	36223229	36223296	67	chr17:36222729-36223796	chr17:36223129-36223396
Lrrc71	KO_vs_Pos	RI	0.507	4.18e-07	chr3	87648281	87648836	NA	chr3:87647781-87649336	chr3:87648181-87648936
Tmem161a	Neg_vs_Parental	A5SS	-0.507	0.00488	chr8	70633355	70633518	NA	chr8:70632855-70634018	chr8:70633255-70633618
Snhg7os	KO_vs_Neg	RI	-0.506	0.0106	chr2	26535513	26535956	NA	chr2:26535013-26536456	chr2:26535413-26536056
Fat1	KO_vs_Neg	SE	-0.506	4.73e-09	chr8	45500686	45500746	60	chr8:45500186-45501246	chr8:45500586-45500846
Paip2	KO_vs_Neg	SE	0.506	0.000496	chr18	35741790	35741872	82	chr18:35741290-35742372	chr18:35741690-35741972
4732471J01Rik	KO_vs_Pos	SE	0.506	0.00264	chr7	25096114	25096331	217	chr7:25095614-25096831	chr7:25096014-25096431
Fam227a	Neg_vs_Parental	SE	-0.506	0.000466	chr15	79521214	79521338	124	chr15:79520714-79521838	chr15:79521114-79521438
Hsd3b7	Pos_vs_Parental	SE	-0.506	0.00546	chr7	127400563	127400788	225	chr7:127400063-127401288	chr7:127400463-127400888
Eed	Pos_vs_Neg	SE	0.505	0.000159	chr7	89619513	89619639	126	chr7:89619013-89620139	chr7:89619413-89619739
Snx29	Pos_vs_Neg	SE	0.505	0.000669	chr16	11165722	11165784	62	chr16:11165222-11166284	chr16:11165622-11165884
Eno4	Pos_vs_Parental	SE	0.505	0.0157	chr19	58933962	58934094	132	chr19:58933462-58934594	chr19:58933862-58934194
Ctnnal1	KO_vs_Neg	SE	-0.504	3.92e-06	chr4	56838004	56838047	43	chr4:56837504-56838547	chr4:56837904-56838147
Tsku	KO_vs_Parental	SE	-0.504	0.00513	chr7	98008564	98008674	110	chr7:98008064-98009174	chr7:98008464-98008774
Phf14	KO_vs_Pos	SE	0.504	0.00206	chr6	12047123	12047153	30	chr6:12046623-12047653	chr6:12047023-12047253
Gm12610	KO_vs_Neg	SE	-0.503	0.00154	chr4	89255914	89256050	136	chr4:89255414-89256550	chr4:89255814-89256150
ENSMUSG00000121500	Pos_vs_Parental	SE	-0.503	0.000811	chr11	3077130	3077219	89	chr11:3076630-3077719	chr11:3077030-3077319
Gm36033	Pos_vs_Parental	SE	-0.503	0.000839	chr9	63843924	63844093	169	chr9:63843424-63844593	chr9:63843824-63844193
Catsper2	KO_vs_Parental	SE	-0.502	0.00639	chr2	121237823	121237996	173	chr2:121237323-121238496	chr2:121237723-121238096
Mapk10	Pos_vs_Parental	SE	-0.502	0.00647	chr5	103124220	103124292	72	chr5:103123720-103124792	chr5:103124120-103124392
Gm26760	KO_vs_Neg	SE	0.501	0.00376	chr15	92258919	92259050	131	chr15:92258419-92259550	chr15:92258819-92259150
Arel1	KO_vs_Neg	SE	0.501	0.00606	chr12	84998964	84999190	226	chr12:84998464-84999690	chr12:84998864-84999290
Ap1s2	KO_vs_Parental	SE	-0.501	0.00182	chrX	162703901	162703996	95	chrX:162703401-162704496	chrX:162703801-162704096
Arhgef25	KO_vs_Pos	SE	0.501	0.0158	chr10	127025104	127025219	115	chr10:127024604-127025719	chr10:127025004-127025319
Pxn	Neg_vs_Parental	SE	0.501	0.00045	chr5	115686340	115687171	831	chr5:115685840-115687671	chr5:115686240-115687271
Tpcn2	KO_vs_Neg	SE	0.5	0.0175	chr7	144832473	144832651	178	chr7:144831973-144833151	chr7:144832373-144832751
2610307P16Rik	Pos_vs_Parental	MXE	0.5	0.000136	chr13	28852553	28895191	NA	chr13:28852053-28895691	chr13:28852453-28895291
Arpp21	Pos_vs_Parental	RI	0.5	0.000115	chr9	111984485	111986866	NA	chr9:111983985-111987366	chr9:111984385-111986966
Gm19696	Pos_vs_Parental	RI	0.5	0.00126	chr17	84442264	84442980	NA	chr17:84441764-84443480	chr17:84442164-84443080
Snap23	Pos_vs_Parental	SE	-0.5	0.00467	chr2	120398529	120398686	157	chr2:120398029-120399186	chr2:120398429-120398786
Mast2	KO_vs_Neg	A3SS	0.499	0.00685	chr4	116225932	116226127	NA	chr4:116225432-116226627	chr4:116225832-116226227
Ptpa	KO_vs_Pos	SE	0.499	0.00717	chr2	30321972	30322098	126	chr2:30321472-30322598	chr2:30321872-30322198
Ift46	Pos_vs_Parental	SE	0.499	0.0042	chr9	44685479	44685528	49	chr9:44684979-44686028	chr9:44685379-44685628
2210408F21Rik	Pos_vs_Parental	SE	-0.499	0.00512	chr6	31298324	31298411	87	chr6:31297824-31298911	chr6:31298224-31298511
Ppp4r1l-ps	KO_vs_Neg	MXE	-0.498	0.0101	chr2	173446298	173449122	NA	chr2:173445798-173449622	chr2:173446198-173449222
Gm10785	KO_vs_Neg	SE	0.498	0.00455	chr16	91506722	91506786	64	chr16:91506222-91507286	chr16:91506622-91506886
Dkc1	Pos_vs_Neg	SE	0.498	0.00525	chrX	74140238	74140320	82	chrX:74139738-74140820	chrX:74140138-74140420
Rnf10	Pos_vs_Parental	SE	-0.498	0.0226	chr5	115386973	115387229	256	chr5:115386473-115387729	chr5:115386873-115387329
Map4k4	KO_vs_Neg	A5SS	-0.497	0.0156	chr1	40046592	40046699	NA	chr1:40046092-40047199	chr1:40046492-40046799
Nphs1	KO_vs_Pos	SE	0.497	2.67e-06	chr7	30181889	30182005	116	chr7:30181389-30182505	chr7:30181789-30182105
Slc37a3	Pos_vs_Parental	SE	0.497	7.22e-05	chr6	39349012	39349071	59	chr6:39348512-39349571	chr6:39348912-39349171
Tulp4	Pos_vs_Parental	SE	-0.497	0.00023	chr17	6172102	6172619	517	chr17:6171602-6173119	chr17:6172002-6172719
Efcab5	Pos_vs_Parental	SE	0.497	0.000303	chr11	77063130	77063287	157	chr11:77062630-77063787	chr11:77063030-77063387
Sh3bp1	Neg_vs_Parental	A5SS	-0.496	0.00187	chr15	78794207	78794299	NA	chr15:78793707-78794799	chr15:78794107-78794399
Firre	KO_vs_Neg	MXE	0.495	0.00831	chrX	49694952	49697481	NA	chrX:49694452-49697981	chrX:49694852-49697581
Mtf2	KO_vs_Parental	SE	-0.495	1.5e-07	chr5	108226731	108226840	109	chr5:108226231-108227340	chr5:108226631-108226940
Gm17586	Pos_vs_Neg	A3SS	0.495	0.00447	chr11	120525758	120525957	NA	chr11:120525258-120526457	chr11:120525658-120526057
A330102I10Rik	KO_vs_Neg	RI	-0.494	0.0465	chr13	29198301	29200862	NA	chr13:29197801-29201362	chr13:29198201-29200962
Cacna1b	KO_vs_Neg	SE	0.494	0.000203	chr2	24516834	24516931	97	chr2:24516334-24517431	chr2:24516734-24517031
Wdr91	KO_vs_Parental	SE	-0.494	0.00186	chr6	34886648	34886762	114	chr6:34886148-34887262	chr6:34886548-34886862
Auts2	Neg_vs_Parental	A5SS	0.494	0.00699	chr5	131501075	131501317	NA	chr5:131500575-131501817	chr5:131500975-131501417
4930517G24Rik	KO_vs_Neg	A3SS	0.493	0.0103	chr8	107944106	107944344	NA	chr8:107943606-107944844	chr8:107944006-107944444
Sh3bp1	KO_vs_Neg	A5SS	0.493	0.000785	chr15	78794207	78794299	NA	chr15:78793707-78794799	chr15:78794107-78794399
Cfap74	KO_vs_Pos	SE	-0.493	0.0287	chr4	155509129	155509287	158	chr4:155508629-155509787	chr4:155509029-155509387
Atp13a2	Pos_vs_Neg	A3SS	-0.493	2.93e-06	chr4	140721258	140721702	NA	chr4:140720758-140722202	chr4:140721158-140721802
Erbin	Pos_vs_Parental	SE	-0.493	1.98e-05	chr13	104022648	104022846	198	chr13:104022148-104023346	chr13:104022548-104022946
Mir9-3hg	KO_vs_Neg	A3SS	-0.492	0.0109	chr7	79180750	79182339	NA	chr7:79180250-79182839	chr7:79180650-79182439
Tsku	KO_vs_Parental	SE	-0.492	0.00081	chr7	98002683	98002823	140	chr7:98002183-98003323	chr7:98002583-98002923
Dolpp1	KO_vs_Pos	SE	-0.492	0.0495	chr2	30287030	30287159	129	chr2:30286530-30287659	chr2:30286930-30287259
Mterf3	Pos_vs_Neg	SE	0.492	0.00376	chr13	67079669	67079722	53	chr13:67079169-67080222	chr13:67079569-67079822
Gm8206	Pos_vs_Parental	SE	-0.492	1.01e-08	chr14	16433030	16433144	114	chr14:16432530-16433644	chr14:16432930-16433244
Firre	Pos_vs_Parental	SE	-0.492	1.17e-06	chrX	49694952	49695039	87	chrX:49694452-49695539	chrX:49694852-49695139
Atpaf2	Pos_vs_Parental	SE	-0.492	0.00013	chr11	60302492	60302555	63	chr11:60301992-60303055	chr11:60302392-60302655
Atp11b	Pos_vs_Parental	SE	0.492	0.0453	chr3	35897719	35897845	126	chr3:35897219-35898345	chr3:35897619-35897945
Prss41	Pos_vs_Parental	SE	0.492	0.0498	chr17	24062930	24062957	27	chr17:24062430-24063457	chr17:24062830-24063057
Pafah1b2	Neg_vs_Parental	SE	-0.491	0.000894	chr9	45895148	45895337	189	chr9:45894648-45895837	chr9:45895048-45895437
Pcnx	Neg_vs_Parental	SE	0.491	0.00626	chr12	81975015	81975148	133	chr12:81974515-81975648	chr12:81974915-81975248
Mcu	KO_vs_Neg	SE	-0.49	0.000226	chr10	59441954	59441999	45	chr10:59441454-59442499	chr10:59441854-59442099
Scn9a	KO_vs_Neg	SE	-0.49	0.00029	chr2	66393679	66393771	92	chr2:66393179-66394271	chr2:66393579-66393871
Zfp426	KO_vs_Pos	SE	-0.49	0.00153	chr9	20397625	20397721	96	chr9:20397125-20398221	chr9:20397525-20397821
Sec22a	KO_vs_Pos	SE	-0.49	0.00539	chr16	35167968	35168163	195	chr16:35167468-35168663	chr16:35167868-35168263
5430401H09Rik	Neg_vs_Parental	RI	-0.49	0.00564	chr12	32166067	32166419	NA	chr12:32165567-32166919	chr12:32165967-32166519
Catsperg1	Pos_vs_Neg	SE	-0.49	1.42e-05	chr7	28889637	28889756	119	chr7:28889137-28890256	chr7:28889537-28889856
Slc35c2	Pos_vs_Parental	SE	0.49	0.00376	chr2	165122705	165122811	106	chr2:165122205-165123311	chr2:165122605-165122911
Sspo	KO_vs_Neg	SE	-0.489	0.0225	chr6	48444531	48444682	151	chr6:48444031-48445182	chr6:48444431-48444782
Pkm	KO_vs_Parental	SE	0.489	0.000132	chr9	59570322	59570439	117	chr9:59569822-59570939	chr9:59570222-59570539
Exoc3l	KO_vs_Pos	SE	-0.489	0.00222	chr8	106022257	106022338	81	chr8:106021757-106022838	chr8:106022157-106022438
Itga8	Neg_vs_Parental	SE	0.489	6.84e-06	chr2	12198080	12198093	13	chr2:12197580-12198593	chr2:12197980-12198193
1700057G04Rik	Pos_vs_Neg	SE	0.489	0.0348	chr9	92234587	92234749	162	chr9:92234087-92235249	chr9:92234487-92234849
Arpp21	Pos_vs_Parental	SE	-0.489	3.5e-06	chr9	111984485	111984584	99	chr9:111983985-111985084	chr9:111984385-111984684
Il4i1	Pos_vs_Parental	SE	0.489	0.0026	chr7	44485927	44485961	34	chr7:44485427-44486461	chr7:44485827-44486061
Ndufaf6	KO_vs_Parental	SE	-0.488	0.0185	chr4	11062049	11062152	103	chr4:11061549-11062652	chr4:11061949-11062252
Gopc	Pos_vs_Neg	RI	-0.488	0.000382	chr10	52230667	52235033	NA	chr10:52230167-52235533	chr10:52230567-52235133
1700028K03Rik	KO_vs_Neg	MXE	0.487	2.54e-08	chr5	107693553	107694145	NA	chr5:107693053-107694645	chr5:107693453-107694245
Pnldc1	KO_vs_Neg	A3SS	-0.486	0.00696	chr17	13113246	13113498	NA	chr17:13112746-13113998	chr17:13113146-13113598
Prss33	KO_vs_Pos	A3SS	-0.486	0.0367	chr17	24054249	24054297	NA	chr17:24053749-24054797	chr17:24054149-24054397
Tsku	KO_vs_Pos	SE	-0.486	0.0131	chr7	98002683	98002823	140	chr7:98002183-98003323	chr7:98002583-98002923
Zfp219	KO_vs_Neg	SE	-0.485	0.0158	chr14	52252404	52252509	105	chr14:52251904-52253009	chr14:52252304-52252609
Oprl1	KO_vs_Pos	SE	-0.485	0.0288	chr2	181358294	181358328	34	chr2:181357794-181358828	chr2:181358194-181358428
Ube2d-ps	Pos_vs_Neg	SE	-0.485	0.00835	chr11	5718888	5719072	184	chr11:5718388-5719572	chr11:5718788-5719172
Gm10644	Pos_vs_Parental	SE	-0.485	7.85e-08	chr8	84662696	84662804	108	chr8:84662196-84663304	chr8:84662596-84662904
Ak1	Pos_vs_Parental	SE	0.485	0.000154	chr2	32518462	32518500	38	chr2:32517962-32519000	chr2:32518362-32518600
Atg7	KO_vs_Parental	SE	-0.484	0.00568	chr6	114623897	114624018	121	chr6:114623397-114624518	chr6:114623797-114624118
Ezh1	Pos_vs_Neg	SE	0.484	0.00851	chr11	101106008	101106128	120	chr11:101105508-101106628	chr11:101105908-101106228
Gm31645	Pos_vs_Parental	SE	0.484	1.37e-05	chr17	74827487	74828482	995	chr17:74826987-74828982	chr17:74827387-74828582
Zbtb4	KO_vs_Pos	SE	-0.483	0.0299	chr11	69662066	69662113	47	chr11:69661566-69662613	chr11:69661966-69662213
4930594M22Rik	Neg_vs_Parental	SE	0.483	0.00414	chr14	123161033	123161089	56	chr14:123160533-123161589	chr14:123160933-123161189
Pparg	KO_vs_Parental	MXE	0.482	0.000377	chr6	115362557	115384281	NA	chr6:115362057-115384781	chr6:115362457-115384381
Lat2	KO_vs_Pos	SE	0.482	5.96e-05	chr5	134635214	134635246	32	chr5:134634714-134635746	chr5:134635114-134635346
Gsap	Pos_vs_Parental	RI	-0.482	0.000292	chr5	21475553	21476246	NA	chr5:21475053-21476746	chr5:21475453-21476346
Lat2	Pos_vs_Parental	SE	-0.482	2.49e-05	chr5	134635214	134635246	32	chr5:134634714-134635746	chr5:134635114-134635346
5830428M24Rik	KO_vs_Neg	SE	-0.481	0.00244	chr12	69514960	69515134	174	chr12:69514460-69515634	chr12:69514860-69515234
Rbm34	KO_vs_Pos	SE	0.481	0.00644	chr8	127688661	127688721	60	chr8:127688161-127689221	chr8:127688561-127688821
Nap1l4	Pos_vs_Neg	SE	-0.481	0.00144	chr7	143088022	143088154	132	chr7:143087522-143088654	chr7:143087922-143088254
Tcam1	Pos_vs_Parental	A5SS	0.481	0.000671	chr11	106176197	106176632	NA	chr11:106175697-106177132	chr11:106176097-106176732
Tpd52	KO_vs_Neg	SE	-0.48	0	chr3	9008610	9008637	27	chr3:9008110-9009137	chr3:9008510-9008737
Gm15408	KO_vs_Parental	SE	-0.48	0.000381	chr5	148948383	148948517	134	chr5:148947883-148949017	chr5:148948283-148948617
Crebrf	KO_vs_Parental	SE	0.48	0.00358	chr17	26958516	26958642	126	chr17:26958016-26959142	chr17:26958416-26958742
5330434G04Rik	Pos_vs_Neg	SE	-0.48	0.00644	chrX	104421621	104421726	105	chrX:104421121-104422226	chrX:104421521-104421826
Gas5	Pos_vs_Neg	SE	-0.48	0.0458	chr1	160865564	160865607	43	chr1:160865064-160866107	chr1:160865464-160865707
Firre	KO_vs_Neg	SE	0.479	0.0202	chrX	49697347	49697481	134	chrX:49696847-49697981	chrX:49697247-49697581
Gm32085	Neg_vs_Parental	A5SS	-0.479	0.000878	chr3	152413486	152414250	NA	chr3:152412986-152414750	chr3:152413386-152414350
Pik3cd	KO_vs_Neg	SE	0.478	0.00328	chr4	149781505	149781680	175	chr4:149781005-149782180	chr4:149781405-149781780
Gm12610	KO_vs_Parental	SE	0.478	2.35e-06	chr4	89279352	89279513	161	chr4:89278852-89280013	chr4:89279252-89279613
A230057D06Rik	KO_vs_Parental	SE	0.478	0.000197	chr7	61386646	61386744	98	chr7:61386146-61387244	chr7:61386546-61386844
2610307P16Rik	Pos_vs_Neg	MXE	0.478	0.000435	chr13	28852553	28895191	NA	chr13:28852053-28895691	chr13:28852453-28895291
Gm20557	Pos_vs_Parental	SE	0.478	0.0407	chr3	49298660	49298738	78	chr3:49298160-49299238	chr3:49298560-49298838
Psat1	KO_vs_Neg	A5SS	-0.477	0.000927	chr19	15894426	15894613	NA	chr19:15893926-15895113	chr19:15894326-15894713
Agpat1	KO_vs_Neg	SE	0.477	0.0175	chr17	34829933	34829979	46	chr17:34829433-34830479	chr17:34829833-34830079
E130202H07Rik	KO_vs_Parental	A5SS	-0.477	0.0324	chr14	76764032	76764412	NA	chr14:76763532-76764912	chr14:76763932-76764512
Gm26760	Neg_vs_Parental	SE	-0.477	5.71e-06	chr15	92258919	92259050	131	chr15:92258419-92259550	chr15:92258819-92259150
Myo15b	Pos_vs_Parental	SE	-0.477	0.0311	chr11	115764582	115764746	164	chr11:115764082-115765246	chr11:115764482-115764846
Garin1b	KO_vs_Neg	A3SS	0.476	0.0104	chr6	29330641	29330685	NA	chr6:29330141-29331185	chr6:29330541-29330785
Sfmbt1	KO_vs_Neg	SE	0.476	5.35e-07	chr14	30460495	30460587	92	chr14:30459995-30461087	chr14:30460395-30460687
Tlcd3b	KO_vs_Parental	MXE	-0.476	3.61e-05	chr7	126416360	126417565	NA	chr7:126415860-126418065	chr7:126416260-126417665
Adam8	KO_vs_Parental	RI	-0.476	1.18e-06	chr7	139567091	139567650	NA	chr7:139566591-139568150	chr7:139566991-139567750
Cttn	KO_vs_Parental	SE	-0.476	0.0328	chr7	144003673	144003758	85	chr7:144003173-144004258	chr7:144003573-144003858
Gm15417	Neg_vs_Parental	SE	-0.476	0.0333	chr3	89303127	89303389	262	chr3:89302627-89303889	chr3:89303027-89303489
Dlg3	KO_vs_Pos	SE	0.475	2.61e-05	chrX	99853467	99853513	46	chrX:99852967-99854013	chrX:99853367-99853613
Serinc2	KO_vs_Pos	SE	0.475	0.000713	chr4	130168607	130168763	156	chr4:130168107-130169263	chr4:130168507-130168863
Sema3b	KO_vs_Neg	SE	-0.474	1.32e-07	chr9	107483748	107484133	385	chr9:107483248-107484633	chr9:107483648-107484233
Gm9801	KO_vs_Neg	SE	-0.474	7.01e-05	chr7	61767470	61767650	180	chr7:61766970-61768150	chr7:61767370-61767750
Pygm	KO_vs_Pos	SE	0.474	3.28e-06	chr19	6438296	6438379	83	chr19:6437796-6438879	chr19:6438196-6438479
1110017D15Rik	KO_vs_Pos	SE	0.474	0.00164	chr4	41507093	41507328	235	chr4:41506593-41507828	chr4:41506993-41507428
Dlst	KO_vs_Pos	SE	-0.474	0.0305	chr12	85165132	85165188	56	chr12:85164632-85165688	chr12:85165032-85165288
Prss41	Pos_vs_Neg	SE	-0.474	0.00819	chr17	24062930	24062957	27	chr17:24062430-24063457	chr17:24062830-24063057
Pygm	Pos_vs_Parental	SE	-0.474	1.13e-06	chr19	6438296	6438379	83	chr19:6437796-6438879	chr19:6438196-6438479
