"comparison","GeneID","geneSymbol","chr","exonStart_0base","exonEnd","exon_length","IncLevelDifference","FDR"
"KO_vs_Pos","ENSMUSG00000026131","Dst","chr1",34335822,34335840,18,0.14,0
"KO_vs_Pos","ENSMUSG00000033295","Ptprf","chr4",118085015,118085042,27,0.105,0
"KO_vs_Pos","ENSMUSG00000057738","Sptan1","chr2",29904169,29904184,15,0.172,0
"KO_vs_Pos","ENSMUSG00000027506","Tpd52","chr3",9008610,9008637,27,-0.13,0
"KO_vs_Pos","ENSMUSG00000063077","Kif1b","chr4",149349801,149349819,18,0.12,0
"KO_vs_Pos","ENSMUSG00000030557","Mef2a","chr7",66894268,66894292,24,0.206,0
"KO_vs_Pos","ENSMUSG00000026860","Sh3glb2","chr2",30236070,30236085,15,0.118,0
"KO_vs_Pos","ENSMUSG00000027506","Tpd52","chr3",9008610,9008637,27,-0.16,2.04873155477467e-13
"KO_vs_Pos","ENSMUSG00000038271","Iffo1","chr6",125128757,125128766,9,0.23,2.04873155477467e-13
"KO_vs_Pos","ENSMUSG00000001419","Mef2d","chr3",88069087,88069108,21,0.11,1.93605131925998e-12
"KO_vs_Pos","ENSMUSG00000033392","Clasp2","chr9",113689187,113689205,18,0.256,5.28013996162569e-12
"KO_vs_Pos","ENSMUSG00000031502","Col4a1","chr8",11254535,11254552,17,0.193,9.80689522266303e-12
"KO_vs_Pos","ENSMUSG00000022558","Mroh1","chr15",76316571,76316598,27,0.117,9.70524346245658e-11
"KO_vs_Pos","ENSMUSG00000022377","Asap1","chr15",64025692,64025701,9,0.11,3.53194255451477e-10
"KO_vs_Pos","ENSMUSG00000029461","Fam168a","chr7",100467942,100467969,27,0.289,3.79158748842058e-10
"KO_vs_Pos","ENSMUSG00000027002","Nckap1","chr2",80401556,80401574,18,0.103,5.06196751182027e-10
"KO_vs_Pos","ENSMUSG00000040964","Arhgef10l","chr4",140296066,140296081,15,0.117,5.06196751182027e-10
"KO_vs_Pos","ENSMUSG00000029462","Vps29","chr5",122494856,122494868,12,-0.146,1.607742794071e-09
"KO_vs_Pos","ENSMUSG00000061306","Slc38a10","chr11",119999292,119999316,24,-0.111,4.79821281644661e-09
"KO_vs_Pos","ENSMUSG00000057789","Bak1","chr17",27240636,27240656,20,0.214,5.19596977601666e-09
"KO_vs_Pos","ENSMUSG00000118669","Arvcf","chr16",18219530,18219548,18,-0.164,1.36697587837454e-08
"KO_vs_Pos","ENSMUSG00000028649","Macf1","chr4",123257849,123257867,18,0.111,3.94699255713016e-08
"KO_vs_Pos","ENSMUSG00000025266","Gnl3l","chrX",149787266,149787281,15,0.105,4.9474370156212e-08
"KO_vs_Pos","ENSMUSG00000026782","Abi2","chr1",60478100,60478118,18,-0.128,1.97776564662084e-07
"KO_vs_Pos","ENSMUSG00000039298","Cdk5rap2","chr4",70165184,70165211,27,0.207,2.93543476727841e-07
"KO_vs_Pos","ENSMUSG00000037519","Ppfia1","chr7",144056603,144056633,30,-0.195,9.60246863571366e-07
"KO_vs_Pos","ENSMUSG00000010721","Lmbr1","chr5",29528799,29528822,23,0.35,1.18548075497208e-06
"KO_vs_Pos","ENSMUSG00000033392","Clasp2","chr9",113687648,113687672,24,-0.175,1.28877255820974e-06
"KO_vs_Pos","ENSMUSG00000025650","Col7a1","chr9",108794117,108794144,27,0.16,4.21616729542119e-06
"KO_vs_Pos","ENSMUSG00000060373","Hnrnpc","chr14",52335471,52335497,26,-0.113,4.35640507835712e-06
"KO_vs_Pos","ENSMUSG00000064302","Clasp1","chr1",118469404,118469428,24,-0.127,5.13835540335706e-06
"KO_vs_Pos","ENSMUSG00000049807","Arhgap23","chr11",97382469,97382492,23,-0.159,5.62303009055214e-06
"KO_vs_Pos","ENSMUSG00000057541","Pus7","chr5",23968331,23968349,18,-0.156,6.59331727489156e-06
"KO_vs_Pos","ENSMUSG00000051166","Eml5","chr12",98787858,98787873,15,0.17,1.26244727170216e-05
"KO_vs_Pos","ENSMUSG00000033419","Snap91","chr9",86680882,86680897,15,-0.133,2.74577993398122e-05
"KO_vs_Pos","ENSMUSG00000039361","Picalm","chr7",89843480,89843504,24,0.119,3.44884039626834e-05
"KO_vs_Pos","ENSMUSG00000027799","Nbea","chr3",55901468,55901477,9,-0.165,6.97437709647868e-05
"KO_vs_Pos","ENSMUSG00000041890","Git2","chr5",114891208,114891214,6,0.134,7.04626229573355e-05
"KO_vs_Pos","ENSMUSG00000009621","Vav2","chr2",27190441,27190456,15,0.124,7.23755642427545e-05
"KO_vs_Pos","ENSMUSG00000034799","Unc13a","chr8",72119284,72119314,30,0.123,7.5125191792531e-05
"KO_vs_Pos","ENSMUSG00000036435","Exoc1","chr5",76688593,76688614,21,-0.212,8.02070186201684e-05
"KO_vs_Pos","ENSMUSG00000036473","Tbc1d24","chr17",24403354,24403372,18,0.137,0.000235584340743401
"KO_vs_Pos","ENSMUSG00000032525","Nktr","chr9",121559062,121559090,28,0.15,0.000237585224407376
"KO_vs_Pos","ENSMUSG00000013033","Adgrl1","chr8",84652890,84652905,15,-0.147,0.000258965820401399
"KO_vs_Pos","ENSMUSG00000036104","Rab3gap1","chr1",127869330,127869351,21,-0.13,0.00030251663927304
"KO_vs_Pos","ENSMUSG00000062785","Kcnc3","chr7",44247013,44247043,30,-0.167,0.000335518293043425
"KO_vs_Pos","ENSMUSG00000028273","Pdlim5","chr3",142012044,142012059,15,0.417,0.000425141976348309
"KO_vs_Pos","ENSMUSG00000031558","Slit2","chr5",48378308,48378332,24,-0.233,0.000447017155206141
"KO_vs_Pos","ENSMUSG00000027692","Tnik","chr3",28679347,28679371,24,-0.136,0.000484694570916778
"KO_vs_Pos","ENSMUSG00000020231","Dip2a","chr10",76107209,76107239,30,-0.115,0.00126562538547532
"KO_vs_Pos","ENSMUSG00000006649","Nphs1","chr7",30181066,30181091,25,0.177,0.00133586370436443
"KO_vs_Pos","ENSMUSG00000057440","Mpp7","chr18",7430394,7430415,21,-0.154,0.00151008825560723
"KO_vs_Pos","ENSMUSG00000056602","Fry","chr5",150384853,150384862,9,0.105,0.00173278994638492
"KO_vs_Pos","ENSMUSG00000024985","Tcf7l2","chr19",55916161,55916186,25,-0.21,0.00191471572376007
"KO_vs_Pos","ENSMUSG00000064302","Clasp1","chr1",118440434,118440458,24,-0.444,0.00197540200350367
"KO_vs_Pos","ENSMUSG00000031561","Tenm3","chr8",48740167,48740188,21,-0.109,0.00204976177004206
"KO_vs_Pos","ENSMUSG00000022635","Zcrb1","chr15",93293467,93293496,29,-0.314,0.00215598778348523
"KO_vs_Pos","ENSMUSG00000003352","Cacnb3","chr15",98538839,98538859,20,0.117,0.00236871669007652
"KO_vs_Pos","ENSMUSG00000025006","Sorbs1","chr19",40371199,40371226,27,-0.133,0.00269746484454433
"KO_vs_Pos","ENSMUSG00000020859","Spag9","chr11",93971565,93971580,15,-0.26,0.00450809770771871
"KO_vs_Pos","ENSMUSG00000020111","Micu1","chr10",59602905,59602911,6,-0.342,0.00624891011595724
"KO_vs_Pos","ENSMUSG00000063919","Srrm4","chr5",116592731,116592747,16,-0.108,0.00658628004698489
"KO_vs_Pos","ENSMUSG00000033419","Snap91","chr9",86680882,86680897,15,0.106,0.00751420363173312
"KO_vs_Pos","ENSMUSG00000033918","Parl","chr16",20101673,20101681,8,-0.179,0.00819929087142175
"KO_vs_Pos","ENSMUSG00000037032","Apbb1","chr7",105217825,105217838,13,0.111,0.00832141057289344
"KO_vs_Pos","ENSMUSG00000042632","Pla2g6","chr15",79187773,79187802,29,0.156,0.0111211380704494
"KO_vs_Pos","ENSMUSG00000037519","Ppfia1","chr7",144042427,144042454,27,-0.129,0.0131647435875794
"KO_vs_Pos","ENSMUSG00000022377","Asap1","chr15",64025692,64025701,9,0.137,0.0137755276680777
"KO_vs_Pos","ENSMUSG00000032735","Ablim3","chr18",61938707,61938715,8,0.145,0.0145062436963107
"KO_vs_Pos","ENSMUSG00000029060","Mib2","chr4",155739708,155739727,19,0.137,0.01455618333438
"KO_vs_Pos","ENSMUSG00000057531","Dtnbp1","chr13",45106647,45106670,23,-0.114,0.0174765318238545
"KO_vs_Pos","ENSMUSG00000028078","Dclk2","chr3",86695928,86695941,13,0.165,0.019261347768237
"KO_vs_Pos","ENSMUSG00000029055","Plch2","chr4",155069822,155069849,27,-0.151,0.0219012197497392
"KO_vs_Pos","ENSMUSG00000046311","Zfp62","chr11",49095277,49095302,25,-0.114,0.0249979754130578
"KO_vs_Pos","ENSMUSG00000096054","Syne1","chr10",5376254,5376275,21,0.134,0.0250137391122041
"KO_vs_Pos","ENSMUSG00000037697","Ddhd1","chr14",45866310,45866331,21,-0.169,0.0278136008282746
"KO_vs_Pos","ENSMUSG00000069601","Ank3","chr10",69816653,69816680,27,-0.112,0.0310822018524838
"KO_vs_Pos","ENSMUSG00000050373","Snx21","chr2",164633477,164633488,11,0.142,0.0404235986790244
"KO_vs_Pos","ENSMUSG00000018501","Ncor1","chr11",62294261,62294288,27,-0.108,0.0438862494201937
"KO_vs_Pos","ENSMUSG00000028524","Sgip1","chr4",102757722,102757734,12,-0.19,0.045290102711449
"KO_vs_Pos","ENSMUSG00000037519","Ppfia1","chr7",144042427,144042454,27,-0.169,0.0455830283827774
"KO_vs_Pos","ENSMUSG00000060002","Chpt1","chr10",88317214,88317241,27,-0.269,0.0483641062517397
"Neg_vs_Parental","ENSMUSG00000031012","Cask","chrX",13462924,13462942,18,0.169,0
"Neg_vs_Parental","ENSMUSG00000024163","Mapk8ip3","chr17",25127384,25127402,18,0.149,0
"Neg_vs_Parental","ENSMUSG00000036529","Sbf1","chr15",89191374,89191398,24,0.134,0
"Neg_vs_Parental","ENSMUSG00000035954","Dock4","chr12",40844595,40844622,27,0.164,0
"Neg_vs_Parental","ENSMUSG00000003810","Mast2","chr4",116190609,116190630,21,0.248,0
"Neg_vs_Parental","ENSMUSG00000061306","Slc38a10","chr11",119999292,119999316,24,0.174,0
"Neg_vs_Parental","ENSMUSG00000024908","Ppp6r3","chr19",3509746,3509764,18,0.211,0
"Neg_vs_Parental","ENSMUSG00000001248","Gramd1a","chr7",30832644,30832656,12,0.183,0
"Neg_vs_Parental","ENSMUSG00000031865","Dctn1","chr6",83160917,83160938,21,0.262,0
"Neg_vs_Parental","ENSMUSG00000005881","Ergic3","chr2",155857296,155857311,15,0.169,0
"Neg_vs_Parental","ENSMUSG00000009079","Ewsr1","chr11",5041459,5041477,18,0.222,0
"Neg_vs_Parental","ENSMUSG00000026860","Sh3glb2","chr2",30239237,30239249,12,0.228,1.00380021755475e-13
"Neg_vs_Parental","ENSMUSG00000045983","Eif4g1","chr16",20493535,20493556,21,0.166,1.83302648422216e-13
"Neg_vs_Parental","ENSMUSG00000027799","Nbea","chr3",55901468,55901477,9,0.201,1.83302648422216e-13
"Neg_vs_Parental","ENSMUSG00000049807","Arhgap23","chr11",97382469,97382492,23,0.228,8.00498907670246e-13
"Neg_vs_Parental","ENSMUSG00000016346","Kcnq2","chr2",180745434,180745464,30,0.153,1.25008143371497e-12
"Neg_vs_Parental","ENSMUSG00000039671","Zmynd8","chr2",165694787,165694799,12,0.206,2.98823603224726e-12
"Neg_vs_Parental","ENSMUSG00000037519","Ppfia1","chr7",144056603,144056633,30,0.265,7.93719172020803e-12
"Neg_vs_Parental","ENSMUSG00000004980","Hnrnpa2b1","chr6",51441407,51441431,24,-0.167,1.60289999095546e-11
"Neg_vs_Parental","ENSMUSG00000045482","Trrap","chr5",144747141,144747162,21,0.291,2.55299855330539e-11
"Neg_vs_Parental","ENSMUSG00000031314","Taf1","chrX",100634339,100634345,6,0.201,5.80152882256624e-11
"Neg_vs_Parental","ENSMUSG00000118669","Arvcf","chr16",18219530,18219548,18,0.166,7.88857169241047e-11
"Neg_vs_Parental","ENSMUSG00000027523","Gnas","chr2",174169900,174169924,24,0.15,8.39408628074766e-11
"Neg_vs_Parental","ENSMUSG00000022329","Stk3","chr15",35115083,35115104,21,0.135,2.32344502416303e-10
"Neg_vs_Parental","ENSMUSG00000031561","Tenm3","chr8",48740167,48740188,21,0.191,3.21771505736489e-10
"Neg_vs_Parental","ENSMUSG00000041609","Bicdl1","chr5",115810202,115810214,12,0.126,2.96143813022664e-09
"Neg_vs_Parental","ENSMUSG00000003863","Ppfia3","chr7",44992976,44993003,27,0.239,5.1877029221982e-09
"Neg_vs_Parental","ENSMUSG00000016664","Pacsin2","chr15",83267823,83267829,6,0.132,1.47590581058568e-08
"Neg_vs_Parental","ENSMUSG00000021427","Ssr1","chr13",38167070,38167085,15,0.156,2.10734500767394e-08
"Neg_vs_Parental","ENSMUSG00000027692","Tnik","chr3",28679347,28679371,24,0.176,3.79978041575934e-08
"Neg_vs_Parental","ENSMUSG00000039361","Picalm","chr7",89843480,89843504,24,0.118,1.15267724231651e-07
"Neg_vs_Parental","ENSMUSG00000033392","Clasp2","chr9",113687648,113687672,24,0.252,1.26060491336164e-07
"Neg_vs_Parental","ENSMUSG00000024603","Dctn4","chr18",60678428,60678449,21,0.164,2.36488905850054e-07
"Neg_vs_Parental","ENSMUSG00000026977","Marchf7","chr2",60077831,60077856,25,0.187,2.84857067591192e-07
"Neg_vs_Parental","ENSMUSG00000027506","Tpd52","chr3",9008610,9008637,27,0.314,4.42357879944787e-07
"Neg_vs_Parental","ENSMUSG00000036104","Rab3gap1","chr1",127869330,127869351,21,0.191,7.9279837253698e-07
"Neg_vs_Parental","ENSMUSG00000040354","Mars1","chr10",127132585,127132609,24,-0.123,8.84120397101463e-07
"Neg_vs_Parental","ENSMUSG00000028078","Dclk2","chr3",86695928,86695941,13,0.107,9.02838700735828e-07
"Neg_vs_Parental","ENSMUSG00000029461","Fam168a","chr7",100467942,100467969,27,-0.191,1.19363993167714e-06
"Neg_vs_Parental","ENSMUSG00000029148","Nrbp1","chr5",31403665,31403689,24,0.114,1.54455389076641e-06
"Neg_vs_Parental","ENSMUSG00000036435","Exoc1","chr5",76688593,76688614,21,0.252,1.58910376195037e-06
"Neg_vs_Parental","ENSMUSG00000041977","Arhgef11","chr3",87625535,87625565,30,0.146,2.78873270258153e-06
"Neg_vs_Parental","ENSMUSG00000059436","Max","chr12",77008036,77008063,27,0.148,3.18154548488872e-06
"Neg_vs_Parental","ENSMUSG00000034908","Sidt2","chr9",45858838,45858850,12,0.156,5.41086159805272e-06
"Neg_vs_Parental","ENSMUSG00000032570","Atp2c1","chr9",105370741,105370753,12,0.168,5.43819269842008e-06
"Neg_vs_Parental","ENSMUSG00000048078","Tenm4","chr7",96454311,96454338,27,0.102,6.02621193284705e-06
"Neg_vs_Parental","ENSMUSG00000033382","Trappc8","chr18",20988877,20988895,18,0.11,7.28534664518961e-06
"Neg_vs_Parental","ENSMUSG00000020300","Cpeb4","chr11",31868800,31868824,24,0.103,1.13081564246697e-05
"Neg_vs_Parental","ENSMUSG00000062785","Kcnc3","chr7",44247013,44247043,30,0.151,1.7021590643803e-05
"Neg_vs_Parental","ENSMUSG00000037697","Ddhd1","chr14",45866310,45866331,21,0.202,1.72061376212635e-05
"Neg_vs_Parental","ENSMUSG00000029462","Vps29","chr5",122494856,122494868,12,0.112,1.87816700589279e-05
"Neg_vs_Parental","ENSMUSG00000031865","Dctn1","chr6",83164745,83164766,21,-0.137,2.3696378192652e-05
"Neg_vs_Parental","ENSMUSG00000030172","Erc1","chr6",119711041,119711053,12,0.163,2.75166287953894e-05
"Neg_vs_Parental","ENSMUSG00000020300","Cpeb4","chr11",31868800,31868824,24,0.164,3.91008884983753e-05
"Neg_vs_Parental","ENSMUSG00000036591","Arhgap21","chr2",20888010,20888040,30,0.21,4.24107750950333e-05
"Neg_vs_Parental","ENSMUSG00000021198","Unc79","chr12",103016153,103016182,29,0.285,5.84596770543621e-05
"Neg_vs_Parental","ENSMUSG00000040111","Gramd1b","chr9",40211735,40211747,12,0.133,6.265064870653e-05
"Neg_vs_Parental","ENSMUSG00000056917","Sipa1","chr19",5711623,5711651,28,0.295,6.66291490053471e-05
"Neg_vs_Parental","ENSMUSG00000028184","Adgrl2","chr3",148566062,148566074,12,0.142,8.24021668515075e-05
"Neg_vs_Parental","ENSMUSG00000033419","Snap91","chr9",86680882,86680897,15,0.195,0.000122089744963173
"Neg_vs_Parental","ENSMUSG00000033902","Mapkbp1","chr2",119843781,119843799,18,0.12,0.000138854636536258
"Neg_vs_Parental","ENSMUSG00000069601","Ank3","chr10",69816653,69816680,27,0.187,0.000174189054449646
"Neg_vs_Parental","ENSMUSG00000028184","Adgrl2","chr3",148532847,148532874,27,0.203,0.000209883033950081
"Neg_vs_Parental","ENSMUSG00000040940","Arhgef1","chr7",24617944,24617956,12,0.131,0.000225967412359808
"Neg_vs_Parental","ENSMUSG00000039860","Srrm3","chr5",135895980,135896000,20,0.114,0.00026876094254613
"Neg_vs_Parental","ENSMUSG00000040687","Madd","chr2",90971153,90971162,9,0.143,0.000297928868703475
"Neg_vs_Parental","ENSMUSG00000062785","Kcnc3","chr7",44247013,44247043,30,0.326,0.00035228058859102
"Neg_vs_Parental","ENSMUSG00000000827","Tpd52l2","chr2",181152296,181152323,27,0.106,0.000429899112835956
"Neg_vs_Parental","ENSMUSG00000037533","Rapgef6","chr11",54542574,54542589,15,0.211,0.000564883834454027
"Neg_vs_Parental","ENSMUSG00000020231","Dip2a","chr10",76107209,76107239,30,0.168,0.000735208041510314
"Neg_vs_Parental","ENSMUSG00000022635","Zcrb1","chr15",93293467,93293496,29,-0.163,0.000759170680914049
"Neg_vs_Parental","ENSMUSG00000026113","Inpp4a","chr1",37413355,37413370,15,0.181,0.000806405267909375
"Neg_vs_Parental","ENSMUSG00000069631","Strada","chr11",106071780,106071809,29,0.157,0.000900127417551208
"Neg_vs_Parental","ENSMUSG00000036578","Fxyd7","chr7",30746797,30746827,30,0.198,0.000914872697111681
"Neg_vs_Parental","ENSMUSG00000033335","Dnm2","chr9",21401953,21401965,12,0.118,0.000947054302203747
"Neg_vs_Parental","ENSMUSG00000056486","Chn1","chr2",73540798,73540826,28,-0.173,0.00124751535681706
"Neg_vs_Parental","ENSMUSG00000024381","Bin1","chr18",32562752,32562776,24,0.158,0.00216435526037455
"Neg_vs_Parental","ENSMUSG00000057541","Pus7","chr5",23968331,23968349,18,0.11,0.00249790685408837
"Neg_vs_Parental","ENSMUSG00000032826","Ank2","chr3",126772904,126772916,12,0.138,0.00303344410374097
"Neg_vs_Parental","ENSMUSG00000063919","Srrm4","chr5",116592731,116592747,16,0.128,0.00306135752008045
"Neg_vs_Parental","ENSMUSG00000029462","Vps29","chr5",122494856,122494868,12,0.163,0.00350628173276468
"Neg_vs_Parental","ENSMUSG00000037541","Shank2","chr7",143961792,143961813,21,0.216,0.00367211715503187
"Neg_vs_Parental","ENSMUSG00000022623","Shank3","chr15",89422217,89422241,24,0.129,0.00370443296087122
"Neg_vs_Parental","ENSMUSG00000066392","Nrxn3","chr12",88817048,88817078,30,-0.277,0.00398410740864226
"Neg_vs_Parental","ENSMUSG00000043019","Edem3","chr1",151688504,151688519,15,0.115,0.00404923577228385
"Neg_vs_Parental","ENSMUSG00000041936","Agrn","chr4",156253002,156253026,24,0.323,0.00409956888691432
"Neg_vs_Parental","ENSMUSG00000028524","Sgip1","chr4",102757722,102757734,12,0.461,0.00482199685480026
"Neg_vs_Parental","ENSMUSG00000034602","Mon2","chr10",122858990,122858993,3,0.104,0.00513475016025838
"Neg_vs_Parental","ENSMUSG00000069601","Ank3","chr10",69765276,69765288,12,0.251,0.00548380560396285
"Neg_vs_Parental","ENSMUSG00000020859","Spag9","chr11",93970024,93970036,12,0.196,0.00595332956613346
"Neg_vs_Parental","ENSMUSG00000004562","Arhgef40","chr14",52242335,52242356,21,-0.176,0.00878694833148361
"Neg_vs_Parental","ENSMUSG00000040537","Adam22","chr5",8136593,8136623,30,0.13,0.00900364149579749
"Neg_vs_Parental","ENSMUSG00000024983","Vti1a","chr19",55375620,55375641,21,0.293,0.0119092933064956
"Neg_vs_Parental","ENSMUSG00000028524","Sgip1","chr4",102762761,102762773,12,0.167,0.012020875500013
"Neg_vs_Parental","ENSMUSG00000024381","Bin1","chr18",32562752,32562776,24,0.14,0.0132226098273639
"Neg_vs_Parental","ENSMUSG00000024983","Vti1a","chr19",55375620,55375641,21,0.135,0.0167201831173847
"Neg_vs_Parental","ENSMUSG00000028033","Kcnq5","chr1",21536606,21536633,27,0.353,0.016825005150273
"Neg_vs_Parental","ENSMUSG00000071291","Zfp58","chr13",67644303,67644330,27,-0.104,0.0175637429423673
"Neg_vs_Parental","ENSMUSG00000024273","2700062C07Rik","chr18",24604118,24604141,23,-0.102,0.0216985677542389
"Neg_vs_Parental","ENSMUSG00000022770","Dlg1","chr16",31673485,31673506,21,-0.104,0.0218207418493108
"Neg_vs_Parental","ENSMUSG00000031502","Col4a1","chr8",11254535,11254552,17,0.116,0.029292636882421
"Neg_vs_Parental","ENSMUSG00000025006","Sorbs1","chr19",40371199,40371226,27,0.149,0.0343502534780225
"Neg_vs_Parental","ENSMUSG00000031561","Tenm3","chr8",48766272,48766299,27,0.204,0.0346103153099895
"Neg_vs_Parental","ENSMUSG00000043831","Lysmd4","chr7",66874123,66874149,26,0.106,0.0348177002792262
"Neg_vs_Parental","ENSMUSG00000028078","Dclk2","chr3",86695928,86695941,13,0.13,0.0357757878867097
"Neg_vs_Parental","ENSMUSG00000018820","Zfyve27","chr19",42174058,42174079,21,0.131,0.0409838238074037
"Neg_vs_Parental","ENSMUSG00000027646","Src","chr2",157300762,157300780,18,0.119,0.042033003448259
"Neg_vs_Parental","ENSMUSG00000029055","Plch2","chr4",155069822,155069849,27,0.144,0.0428140432341417
"Neg_vs_Parental","ENSMUSG00000034973","Dop1a","chr9",86388923,86388953,30,0.195,0.042844740993165
"Neg_vs_Parental","ENSMUSG00000021375","Kif13a","chr13",47018294,47018307,13,0.115,0.0476513745860557
"Pos_vs_Neg","ENSMUSG00000013236","Ptprs","chr17",56734790,56734817,27,-0.14,0
"Pos_vs_Neg","ENSMUSG00000057789","Bak1","chr17",27240636,27240656,20,-0.319,0
"Pos_vs_Neg","ENSMUSG00000024163","Mapk8ip3","chr17",25127384,25127402,18,-0.199,0
"Pos_vs_Neg","ENSMUSG00000045983","Eif4g1","chr16",20493535,20493556,21,-0.174,0
"Pos_vs_Neg","ENSMUSG00000022377","Asap1","chr15",64025692,64025701,9,-0.13,0
"Pos_vs_Neg","ENSMUSG00000022377","Asap1","chr15",64025692,64025701,9,-0.29,0
"Pos_vs_Neg","ENSMUSG00000025290","Rps24","chr14",24544119,24544137,18,-0.367,0
"Pos_vs_Neg","ENSMUSG00000021427","Ssr1","chr13",38167070,38167085,15,-0.215,0
"Pos_vs_Neg","ENSMUSG00000051166","Eml5","chr12",98786119,98786128,9,-0.12,0
"Pos_vs_Neg","ENSMUSG00000035954","Dock4","chr12",40844595,40844622,27,-0.23,0
"Pos_vs_Neg","ENSMUSG00000052632","Asap2","chr12",21264362,21264371,9,-0.208,0
"Pos_vs_Neg","ENSMUSG00000069631","Strada","chr11",106071780,106071809,29,-0.169,0
"Pos_vs_Neg","ENSMUSG00000069631","Strada","chr11",106071780,106071809,29,-0.211,0
"Pos_vs_Neg","ENSMUSG00000019302","Atp6v0a1","chr11",100940284,100940302,18,-0.173,0
"Pos_vs_Neg","ENSMUSG00000028184","Adgrl2","chr3",148566062,148566074,12,-0.258,0
"Pos_vs_Neg","ENSMUSG00000033392","Clasp2","chr9",113707817,113707841,24,-0.19,0
"Pos_vs_Neg","ENSMUSG00000041890","Git2","chr5",114891208,114891214,6,-0.146,0
"Pos_vs_Neg","ENSMUSG00000041890","Git2","chr5",114891208,114891214,6,-0.185,0
"Pos_vs_Neg","ENSMUSG00000037062","Sh3glb1","chr3",144405614,144405638,24,-0.262,0
"Pos_vs_Neg","ENSMUSG00000016664","Pacsin2","chr15",83267823,83267829,6,-0.262,0
"Pos_vs_Neg","ENSMUSG00000032422","Snx14","chr9",88282775,88282802,27,-0.127,0
"Pos_vs_Neg","ENSMUSG00000026131","Dst","chr1",34335822,34335840,18,-0.156,0
"Pos_vs_Neg","ENSMUSG00000033295","Ptprf","chr4",118085015,118085042,27,-0.123,0
"Pos_vs_Neg","ENSMUSG00000057738","Sptan1","chr2",29904169,29904184,15,-0.246,0
"Pos_vs_Neg","ENSMUSG00000009621","Vav2","chr2",27174850,27174865,15,-0.198,0
"Pos_vs_Neg","ENSMUSG00000009621","Vav2","chr2",27190441,27190456,15,-0.251,0
"Pos_vs_Neg","ENSMUSG00000028863","Meaf6","chr4",125001309,125001339,30,-0.131,0
"Pos_vs_Neg","ENSMUSG00000001419","Mef2d","chr3",88069087,88069108,21,-0.157,0
"Pos_vs_Neg","ENSMUSG00000027575","Arfgap1","chr2",180620204,180620234,30,-0.268,0
"Pos_vs_Neg","ENSMUSG00000027002","Nckap1","chr2",80401556,80401574,18,-0.163,0
"Pos_vs_Neg","ENSMUSG00000063077","Kif1b","chr4",149349801,149349819,18,-0.124,0
"Pos_vs_Neg","ENSMUSG00000028649","Macf1","chr4",123257849,123257867,18,-0.159,0
"Pos_vs_Neg","ENSMUSG00000030557","Mef2a","chr7",66894268,66894292,24,-0.242,0
"Pos_vs_Neg","ENSMUSG00000031865","Dctn1","chr6",83160917,83160938,21,-0.179,0
"Pos_vs_Neg","ENSMUSG00000031865","Dctn1","chr6",83174300,83174315,15,-0.18,0
"Pos_vs_Neg","ENSMUSG00000005881","Ergic3","chr2",155857296,155857311,15,-0.228,0
"Pos_vs_Neg","ENSMUSG00000031391","L1cam","chrX",72899257,72899269,12,-0.177,0
"Pos_vs_Neg","ENSMUSG00000039361","Picalm","chr7",89843480,89843504,24,-0.306,0
"Pos_vs_Neg","ENSMUSG00000037032","Apbb1","chr7",105215152,105215158,6,-0.109,0
"Pos_vs_Neg","ENSMUSG00000004207","Psap","chr10",60133316,60133325,9,-0.198,0
"Pos_vs_Neg","ENSMUSG00000031502","Col4a1","chr8",11254535,11254552,17,-0.38,0
"Pos_vs_Neg","ENSMUSG00000034602","Mon2","chr10",122858990,122858993,3,-0.21,0
"Pos_vs_Neg","ENSMUSG00000009079","Ewsr1","chr11",5041459,5041477,18,-0.164,0
"Pos_vs_Neg","ENSMUSG00000026860","Sh3glb2","chr2",30236070,30236085,15,-0.127,0
"Pos_vs_Neg","ENSMUSG00000026860","Sh3glb2","chr2",30239237,30239249,12,-0.259,0
"Pos_vs_Neg","ENSMUSG00000031012","Cask","chrX",13462924,13462942,18,-0.147,5.97394073947943e-14
"Pos_vs_Neg","ENSMUSG00000022973","Synj1","chr16",90768451,90768475,24,-0.145,5.97394073947943e-14
"Pos_vs_Neg","ENSMUSG00000024908","Ppp6r3","chr19",3509746,3509764,18,-0.194,2.93718753023347e-13
"Pos_vs_Neg","ENSMUSG00000020859","Spag9","chr11",93970024,93970036,12,-0.155,3.49549590374577e-13
"Pos_vs_Neg","ENSMUSG00000025050","Pcgf6","chr19",47030560,47030578,18,-0.232,7.83250008064072e-13
"Pos_vs_Neg","ENSMUSG00000009035","Tmem184b","chr15",79247857,79247878,21,-0.164,1.45289886991692e-12
"Pos_vs_Neg","ENSMUSG00000028218","Cibar1","chr4",12169957,12169978,21,-0.119,1.60210228921922e-12
"Pos_vs_Neg","ENSMUSG00000020900","Myh10","chr11",68636760,68636790,30,-0.112,2.03645002096121e-12
"Pos_vs_Neg","ENSMUSG00000038365","Fbxo25","chr8",13988921,13988948,27,-0.126,2.33247245047625e-12
"Pos_vs_Neg","ENSMUSG00000001248","Gramd1a","chr7",30832644,30832656,12,-0.15,3.70471536659771e-12
"Pos_vs_Neg","ENSMUSG00000003810","Mast2","chr4",116190609,116190630,21,-0.208,1.11780965436326e-11
