Supplementary Table 18:,"Enrichment score (ES) of A complex formation performed under control condition (CTR).for variants in libraries T1, T2. Missing values are reported as NA. ",Unnamed: 2
KMT2C-HsaEX1019114-TCTGC-ATTGC,0.17,T1
KMT2C-HsaEX1019114-TCTGC-CATGC,0.13,T1
KMT2C-HsaEX1019114-TCTGC-CTTGC,0.15,T1
KMT2C-HsaEX1019114-TCTGC-GCTGC,0.15,T1
KMT2C-HsaEX1019114-TCTGC-TGTGC,0.16,T1
KMT2C-HsaEX1019114-TGC2-12rem2,0.13,T1
KMT2C-HsaEX1019114-TGC2-1rem1,0.1,T1
KMT2C-HsaEX1019114-TGC2-2rem1,0.22,T1
KMT2C-HsaEX1019114-TGCTC-TGCGT,0.17,T1
KMT2C-HsaEX1019114-TGCTC-TGCTG,0.08,T1
KMT2C-HsaEX1019114-TGCTC-TGCTT,0.12,T1
KMT2C-HsaEX1019114-U1cons,0.47,T1
KMT2C-HsaEX1019114-U6cons,0.2,T1
KMT2C-HsaEX1019114-WT,0.08,T1
MADD-HsaEX0037213-add_0-12,0.38,T1
MADD-HsaEX0037213-add_0-15,0.29,T1
MADD-HsaEX0037213-add_0-18,0.58,T1
MADD-HsaEX0037213-add_0-21,0.65,T1
MADD-HsaEX0037213-add_0-24,0.58,T1
MADD-HsaEX0037213-add_0-27,0.41,T1
MADD-HsaEX0037213-add_0-3,0.44,T1
MADD-HsaEX0037213-add_0-30,0.34,T1
MADD-HsaEX0037213-add_0-33,0.33,T1
MADD-HsaEX0037213-add_0-6,0.43,T1
MADD-HsaEX0037213-add_0-9,0.53,T1
MADD-HsaEX0037213-add_1-12,0.57,T1
MADD-HsaEX0037213-add_1-15,0.58,T1
MADD-HsaEX0037213-add_1-18,0.51,T1
MADD-HsaEX0037213-add_1-21,0.47,T1
MADD-HsaEX0037213-add_1-24,0.5,T1
MADD-HsaEX0037213-add_1-27,0.52,T1
MADD-HsaEX0037213-add_1-3,0.56,T1
MADD-HsaEX0037213-add_1-30,0.17,T1
MADD-HsaEX0037213-add_1-33,0.28,T1
MADD-HsaEX0037213-add_1-6,0.68,T1
MADD-HsaEX0037213-add_1-9,0.45,T1
MADD-HsaEX0037213-add_10-12,0.36,T1
MADD-HsaEX0037213-add_10-15,0.37,T1
MADD-HsaEX0037213-add_10-18,0.4,T1
MADD-HsaEX0037213-add_10-21,0.46,T1
MADD-HsaEX0037213-add_10-24,0.26,T1
MADD-HsaEX0037213-add_10-27,0.42,T1
MADD-HsaEX0037213-add_10-3,0.37,T1
MADD-HsaEX0037213-add_10-30,0.36,T1
MADD-HsaEX0037213-add_10-33,0.22,T1
MADD-HsaEX0037213-add_10-6,0.45,T1
MADD-HsaEX0037213-add_10-9,0.37,T1
MADD-HsaEX0037213-add_11-12,0.33,T1
MADD-HsaEX0037213-add_11-15,0.2,T1
MADD-HsaEX0037213-add_11-18,0.31,T1
MADD-HsaEX0037213-add_11-21,0.05,T1
MADD-HsaEX0037213-add_11-24,0.21,T1
MADD-HsaEX0037213-add_11-27,0.11,T1
MADD-HsaEX0037213-add_11-3,0.32,T1
MADD-HsaEX0037213-add_11-30,0.18,T1
MADD-HsaEX0037213-add_11-33,0.17,T1
MADD-HsaEX0037213-add_11-6,0.34,T1
MADD-HsaEX0037213-add_11-9,0.3,T1
MADD-HsaEX0037213-add_12-12,0.28,T1
MADD-HsaEX0037213-add_12-15,0.36,T1
MADD-HsaEX0037213-add_12-18,0.14,T1
MADD-HsaEX0037213-add_12-21,0.18,T1
MADD-HsaEX0037213-add_12-24,0.15,T1
MADD-HsaEX0037213-add_12-27,0.11,T1
MADD-HsaEX0037213-add_12-3,0.33,T1
MADD-HsaEX0037213-add_12-30,0.1,T1
MADD-HsaEX0037213-add_12-33,0.17,T1
MADD-HsaEX0037213-add_12-6,0.48,T1
MADD-HsaEX0037213-add_12-9,0.49,T1
MADD-HsaEX0037213-add_13-12,0.9,T1
MADD-HsaEX0037213-add_13-15,0.86,T1
MADD-HsaEX0037213-add_13-18,0.71,T1
MADD-HsaEX0037213-add_13-21,0.86,T1
MADD-HsaEX0037213-add_13-24,0.72,T1
MADD-HsaEX0037213-add_13-27,0.42,T1
MADD-HsaEX0037213-add_13-3,0.54,T1
MADD-HsaEX0037213-add_13-30,0.46,T1
MADD-HsaEX0037213-add_13-33,0.69,T1
MADD-HsaEX0037213-add_13-6,0.49,T1
MADD-HsaEX0037213-add_13-9,0.62,T1
MADD-HsaEX0037213-add_14-12,0.26,T1
MADD-HsaEX0037213-add_14-15,0.18,T1
MADD-HsaEX0037213-add_14-18,0.3,T1
MADD-HsaEX0037213-add_14-21,0.37,T1
MADD-HsaEX0037213-add_14-24,0.42,T1
MADD-HsaEX0037213-add_14-27,0.51,T1
MADD-HsaEX0037213-add_14-3,0.52,T1
MADD-HsaEX0037213-add_14-30,0.41,T1
MADD-HsaEX0037213-add_14-33,0.37,T1
MADD-HsaEX0037213-add_14-6,0.42,T1
MADD-HsaEX0037213-add_14-9,0.28,T1
MADD-HsaEX0037213-add_2-12,0.15,T1
MADD-HsaEX0037213-add_2-15,0.27,T1
MADD-HsaEX0037213-add_2-18,0.35,T1
MADD-HsaEX0037213-add_2-21,0.31,T1
MADD-HsaEX0037213-add_2-24,0.26,T1
MADD-HsaEX0037213-add_2-27,0.25,T1
MADD-HsaEX0037213-add_2-3,0.21,T1
MADD-HsaEX0037213-add_2-30,0.53,T1
MADD-HsaEX0037213-add_2-33,0.42,T1
MADD-HsaEX0037213-add_2-6,0.22,T1
MADD-HsaEX0037213-add_2-9,0.18,T1
MADD-HsaEX0037213-add_3-12,0.24,T1
MADD-HsaEX0037213-add_3-15,0.37,T1
MADD-HsaEX0037213-add_3-18,0.38,T1
MADD-HsaEX0037213-add_3-21,0.49,T1
MADD-HsaEX0037213-add_3-24,0.54,T1
MADD-HsaEX0037213-add_3-27,0.48,T1
MADD-HsaEX0037213-add_3-3,0.21,T1
MADD-HsaEX0037213-add_3-30,0.56,T1
MADD-HsaEX0037213-add_3-33,0.38,T1
MADD-HsaEX0037213-add_3-6,0.37,T1
MADD-HsaEX0037213-add_3-9,0.35,T1
MADD-HsaEX0037213-add_4-12,0.59,T1
MADD-HsaEX0037213-add_4-15,0.73,T1
MADD-HsaEX0037213-add_4-18,0.71,T1
MADD-HsaEX0037213-add_4-21,0.71,T1
MADD-HsaEX0037213-add_4-24,0.81,T1
MADD-HsaEX0037213-add_4-27,0.62,T1
MADD-HsaEX0037213-add_4-3,0.35,T1
MADD-HsaEX0037213-add_4-30,0.78,T1
MADD-HsaEX0037213-add_4-33,0.57,T1
MADD-HsaEX0037213-add_4-6,0.4,T1
MADD-HsaEX0037213-add_4-9,0.6,T1
MADD-HsaEX0037213-add_5-12,0.26,T1
MADD-HsaEX0037213-add_5-15,0.24,T1
MADD-HsaEX0037213-add_5-18,0.33,T1
MADD-HsaEX0037213-add_5-21,0.24,T1
MADD-HsaEX0037213-add_5-24,0.24,T1
MADD-HsaEX0037213-add_5-27,0.39,T1
MADD-HsaEX0037213-add_5-3,0.35,T1
MADD-HsaEX0037213-add_5-30,0.39,T1
MADD-HsaEX0037213-add_5-33,0.59,T1
MADD-HsaEX0037213-add_5-6,0.28,T1
MADD-HsaEX0037213-add_5-9,0.23,T1
MADD-HsaEX0037213-add_6-12,0.39,T1
MADD-HsaEX0037213-add_6-15,0.47,T1
MADD-HsaEX0037213-add_6-18,0.4,T1
MADD-HsaEX0037213-add_6-21,0.25,T1
MADD-HsaEX0037213-add_6-24,0.26,T1
MADD-HsaEX0037213-add_6-27,0.19,T1
MADD-HsaEX0037213-add_6-3,0.28,T1
MADD-HsaEX0037213-add_6-30,0.38,T1
MADD-HsaEX0037213-add_6-33,0.45,T1
MADD-HsaEX0037213-add_6-6,0.23,T1
MADD-HsaEX0037213-add_6-9,0.26,T1
MADD-HsaEX0037213-add_7-12,0.68,T1
MADD-HsaEX0037213-add_7-15,0.45,T1
MADD-HsaEX0037213-add_7-18,0.58,T1
MADD-HsaEX0037213-add_7-21,0.86,T1
MADD-HsaEX0037213-add_7-24,0.74,T1
MADD-HsaEX0037213-add_7-27,0.74,T1
MADD-HsaEX0037213-add_7-3,0.28,T1
MADD-HsaEX0037213-add_7-30,1.23,T1
MADD-HsaEX0037213-add_7-33,0.87,T1
MADD-HsaEX0037213-add_7-6,0.54,T1
MADD-HsaEX0037213-add_7-9,0.54,T1
MADD-HsaEX0037213-add_8-12,0.4,T1
MADD-HsaEX0037213-add_8-15,0.32,T1
MADD-HsaEX0037213-add_8-18,0.33,T1
MADD-HsaEX0037213-add_8-21,0.31,T1
MADD-HsaEX0037213-add_8-24,0.29,T1
MADD-HsaEX0037213-add_8-27,0.23,T1
MADD-HsaEX0037213-add_8-30,0.31,T1
MADD-HsaEX0037213-add_8-33,0.26,T1
MADD-HsaEX0037213-add_8-6,0.4,T1
MADD-HsaEX0037213-add_8-9,0.37,T1
MADD-HsaEX0037213-add_9-12,0.43,T1
MADD-HsaEX0037213-add_9-15,0.25,T1
MADD-HsaEX0037213-add_9-18,0.63,T1
MADD-HsaEX0037213-add_9-21,0.78,T1
MADD-HsaEX0037213-add_9-24,0.89,T1
MADD-HsaEX0037213-add_9-27,0.73,T1
MADD-HsaEX0037213-add_9-30,0.15,T1
MADD-HsaEX0037213-add_9-33,0.17,T1
MADD-HsaEX0037213-add_9-6,0.25,T1
MADD-HsaEX0037213-add_9-9,0.34,T1
MADD-HsaEX0037213-addTCTC,0.47,T1
MADD-HsaEX0037213-AdML,0.62,T1
MADD-HsaEX0037213-AGTmutAGG,0.91,T1
MADD-HsaEX0037213-AGTmutGAC,0.66,T1
MADD-HsaEX0037213-ATGCT-ATGCG,0.85,T1
MADD-HsaEX0037213-ATGCT-CTGCG,0.6,T1
MADD-HsaEX0037213-ATGCT-CTGCT,0.35,T1
MADD-HsaEX0037213-ATGCT-TTGCC,0.4,T1
MADD-HsaEX0037213-ATGCT-TTGCG,0.52,T1
MADD-HsaEX0037213-ATGCT-TTGCT,0.35,T1
MADD-HsaEX0037213-BP_13s,0.71,T1
MADD-HsaEX0037213-BP1-TCAmutCCG,0.59,T1
MADD-HsaEX0037213-BP2-TAAmutCAT,0.63,T1
MADD-HsaEX0037213-BP3-TGAmutCGG,0.36,T1
MADD-HsaEX0037213-BPmut2-12,0.62,T1
MADD-HsaEX0037213-BPmut2-13,0.28,T1
MADD-HsaEX0037213-BPmut2-23,0.35,T1
MADD-HsaEX0037213-BPmut3,0.32,T1
MADD-HsaEX0037213-BPshift10,0.6,T1
MADD-HsaEX0037213-BPshift10-TGCadd-L1,0.16,T1
MADD-HsaEX0037213-BPshift10-TGCadd-R1,0.37,T1
MADD-HsaEX0037213-BPshift20,0.28,T1
MADD-HsaEX0037213-BPshift20-TGCadd-L1,0.23,T1
MADD-HsaEX0037213-BPshift20-TGCadd-R1,0.17,T1
MADD-HsaEX0037213-CATGC-AATGC,0.37,T1
MADD-HsaEX0037213-CATGC-ACTGC,0.3,T1
MADD-HsaEX0037213-CATGC-ATTGC,0.32,T1
MADD-HsaEX0037213-CATGC-GCTGC,0.43,T1
MADD-HsaEX0037213-CATGC-TATGC,0.41,T1
MADD-HsaEX0037213-CATGC-TCTGC,0.26,T1
MADD-HsaEX0037213-CATGC-TGTGC,0.17,T1
MADD-HsaEX0037213-full_TGCadd-L1,0.31,T1
MADD-HsaEX0037213-full_TGCadd-L2,0.37,T1
MADD-HsaEX0037213-full_TGCadd-L3,0.18,T1
MADD-HsaEX0037213-full_TGCadd-R1,0.28,T1
MADD-HsaEX0037213-full_TGCadd-R2,0.18,T1
MADD-HsaEX0037213-full_TGCadd-R3,0.07,T1
MADD-HsaEX0037213-IgM,0.1,T1
MADD-HsaEX0037213-mid_TGCadd-L1,0.21,T1
MADD-HsaEX0037213-mid_TGCadd-R1,0.35,T1
MADD-HsaEX0037213-rem-3,0.34,T1
MADD-HsaEX0037213-TGC2-12rem2,0.24,T1
MADD-HsaEX0037213-TGC2-1rem1,0.52,T1
MADD-HsaEX0037213-TGC2-2rem1,0.3,T1
MADD-HsaEX0037213-TGCTG-TGCGT,0.39,T1
MADD-HsaEX0037213-TGCTG-TGCTT,0.32,T1
MADD-HsaEX0037213-U1cons,1,T1
MADD-HsaEX0037213-U6cons,0.99,T1
MADD-HsaEX0037213-WT,0.44,T1
MEF2A-HsaEX0038690-add_0-12,0.68,T1
MEF2A-HsaEX0038690-add_0-15,0.72,T1
MEF2A-HsaEX0038690-add_0-18,0.8,T1
MEF2A-HsaEX0038690-add_0-3,0.34,T1
MEF2A-HsaEX0038690-add_0-6,0.45,T1
MEF2A-HsaEX0038690-add_0-9,0.56,T1
MEF2A-HsaEX0038690-add_1-12,0.93,T1
MEF2A-HsaEX0038690-add_1-15,0.62,T1
MEF2A-HsaEX0038690-add_1-18,0.46,T1
MEF2A-HsaEX0038690-add_1-3,0.62,T1
MEF2A-HsaEX0038690-add_1-6,0.75,T1
MEF2A-HsaEX0038690-add_1-9,0.88,T1
MEF2A-HsaEX0038690-add_10-12,0.89,T1
MEF2A-HsaEX0038690-add_10-15,1.01,T1
MEF2A-HsaEX0038690-add_10-18,1.15,T1
MEF2A-HsaEX0038690-add_10-3,0.41,T1
MEF2A-HsaEX0038690-add_10-6,0.89,T1
MEF2A-HsaEX0038690-add_10-9,0.79,T1
MEF2A-HsaEX0038690-add_11-12,0.26,T1
MEF2A-HsaEX0038690-add_11-15,0.31,T1
MEF2A-HsaEX0038690-add_11-18,0.43,T1
MEF2A-HsaEX0038690-add_11-3,0.34,T1
MEF2A-HsaEX0038690-add_11-6,0.4,T1
MEF2A-HsaEX0038690-add_11-9,0.46,T1
MEF2A-HsaEX0038690-add_12-12,0.74,T1
MEF2A-HsaEX0038690-add_12-15,0.49,T1
MEF2A-HsaEX0038690-add_12-18,0.59,T1
MEF2A-HsaEX0038690-add_12-3,0.42,T1
MEF2A-HsaEX0038690-add_12-6,0.49,T1
MEF2A-HsaEX0038690-add_12-9,0.65,T1
MEF2A-HsaEX0038690-add_13-12,0.69,T1
MEF2A-HsaEX0038690-add_13-15,0.85,T1
MEF2A-HsaEX0038690-add_13-18,0.73,T1
MEF2A-HsaEX0038690-add_13-3,0.51,T1
MEF2A-HsaEX0038690-add_13-6,0.44,T1
MEF2A-HsaEX0038690-add_13-9,0.5,T1
MEF2A-HsaEX0038690-add_14-12,0.57,T1
MEF2A-HsaEX0038690-add_14-15,0.59,T1
MEF2A-HsaEX0038690-add_14-18,0.36,T1
MEF2A-HsaEX0038690-add_14-3,0.59,T1
MEF2A-HsaEX0038690-add_14-6,0.46,T1
MEF2A-HsaEX0038690-add_14-9,0.52,T1
MEF2A-HsaEX0038690-add_2-12,0.3,T1
MEF2A-HsaEX0038690-add_2-15,0.66,T1
MEF2A-HsaEX0038690-add_2-18,0.6,T1
MEF2A-HsaEX0038690-add_2-3,0.15,T1
MEF2A-HsaEX0038690-add_2-6,0.32,T1
MEF2A-HsaEX0038690-add_2-9,0.25,T1
MEF2A-HsaEX0038690-add_3-12,0.46,T1
MEF2A-HsaEX0038690-add_3-15,0.7,T1
MEF2A-HsaEX0038690-add_3-18,0.83,T1
MEF2A-HsaEX0038690-add_3-3,0.24,T1
MEF2A-HsaEX0038690-add_3-6,0.5,T1
MEF2A-HsaEX0038690-add_3-9,0.76,T1
MEF2A-HsaEX0038690-add_4-12,0.44,T1
MEF2A-HsaEX0038690-add_4-15,0.7,T1
MEF2A-HsaEX0038690-add_4-18,0.57,T1
MEF2A-HsaEX0038690-add_4-3,0.25,T1
MEF2A-HsaEX0038690-add_4-6,0.29,T1
MEF2A-HsaEX0038690-add_4-9,0.49,T1
MEF2A-HsaEX0038690-add_5-12,0.48,T1
MEF2A-HsaEX0038690-add_5-15,0.34,T1
MEF2A-HsaEX0038690-add_5-18,0.36,T1
MEF2A-HsaEX0038690-add_5-3,0.51,T1
MEF2A-HsaEX0038690-add_5-6,0.4,T1
MEF2A-HsaEX0038690-add_5-9,0.37,T1
MEF2A-HsaEX0038690-add_6-12,1.04,T1
MEF2A-HsaEX0038690-add_6-15,0.88,T1
MEF2A-HsaEX0038690-add_6-18,0.87,T1
MEF2A-HsaEX0038690-add_6-3,0.45,T1
MEF2A-HsaEX0038690-add_6-6,0.44,T1
MEF2A-HsaEX0038690-add_6-9,0.85,T1
MEF2A-HsaEX0038690-add_7-12,0.59,T1
MEF2A-HsaEX0038690-add_7-15,0.61,T1
MEF2A-HsaEX0038690-add_7-18,0.58,T1
MEF2A-HsaEX0038690-add_7-3,0.46,T1
MEF2A-HsaEX0038690-add_7-6,0.68,T1
MEF2A-HsaEX0038690-add_7-9,0.62,T1
MEF2A-HsaEX0038690-add_8-12,0.53,T1
MEF2A-HsaEX0038690-add_8-15,0.63,T1
MEF2A-HsaEX0038690-add_8-18,1.04,T1
MEF2A-HsaEX0038690-add_8-6,0.33,T1
MEF2A-HsaEX0038690-add_8-9,0.46,T1
MEF2A-HsaEX0038690-add_9-12,0.64,T1
MEF2A-HsaEX0038690-add_9-15,0.4,T1
MEF2A-HsaEX0038690-add_9-18,0.8,T1
MEF2A-HsaEX0038690-add_9-6,0.48,T1
MEF2A-HsaEX0038690-add_9-9,0.55,T1
MEF2A-HsaEX0038690-AdML,0.44,T1
MEF2A-HsaEX0038690-AGTmutAGG,0.61,T1
MEF2A-HsaEX0038690-AGTmutGAC,0.53,T1
MEF2A-HsaEX0038690-BP_12s,0.24,T1
MEF2A-HsaEX0038690-BP_13s,0.16,T1
MEF2A-HsaEX0038690-BP1-TAAmutCAT,0.35,T1
MEF2A-HsaEX0038690-BP2-TTAmutCTG,0.19,T1
MEF2A-HsaEX0038690-BP3-TAAmutCAT,0.39,T1
MEF2A-HsaEX0038690-BPmut2-12,0.15,T1
MEF2A-HsaEX0038690-BPmut2-13,0.32,T1
MEF2A-HsaEX0038690-BPmut2-23,0.21,T1
MEF2A-HsaEX0038690-BPmut3,0.15,T1
MEF2A-HsaEX0038690-BPshift10,1.17,T1
MEF2A-HsaEX0038690-BPshift10-TGCadd-L1,1.27,T1
MEF2A-HsaEX0038690-BPshift10-TGCadd-L2,0.72,T1
MEF2A-HsaEX0038690-BPshift10-TGCadd-L3,1.05,T1
MEF2A-HsaEX0038690-BPshift10-TGCadd-R1,1.22,T1
MEF2A-HsaEX0038690-BPshift10-TGCadd-R2,1.32,T1
MEF2A-HsaEX0038690-BPshift10-TGCadd-R3,1.14,T1
MEF2A-HsaEX0038690-BPshift20,0.82,T1
MEF2A-HsaEX0038690-BPshift20-TGCadd-L1,0.79,T1
MEF2A-HsaEX0038690-BPshift20-TGCadd-L2,0.89,T1
MEF2A-HsaEX0038690-BPshift20-TGCadd-L3,1.19,T1
MEF2A-HsaEX0038690-BPshift20-TGCadd-R1,0.91,T1
MEF2A-HsaEX0038690-BPshift20-TGCadd-R2,1.06,T1
MEF2A-HsaEX0038690-BPshift20-TGCadd-R3,1.05,T1
MEF2A-HsaEX0038690-full_TGCadd-R1,0.33,T1
MEF2A-HsaEX0038690-full_TGCadd-R2,0.63,T1
MEF2A-HsaEX0038690-GTGCT-ATGCG,0.43,T1
MEF2A-HsaEX0038690-GTGCT-ATGCT,0.33,T1
MEF2A-HsaEX0038690-GTGCT-CTGCG,0.35,T1
MEF2A-HsaEX0038690-GTGCT-TTGCC,0.4,T1
MEF2A-HsaEX0038690-GTGCT-TTGCG,0.52,T1
MEF2A-HsaEX0038690-GTGCT-TTGCT,0.41,T1
MEF2A-HsaEX0038690-IgM,1.04,T1
MEF2A-HsaEX0038690-mid_TGCadd-L1,0.42,T1
MEF2A-HsaEX0038690-mid_TGCadd-L2,0.37,T1
MEF2A-HsaEX0038690-mid_TGCadd-R1,0.41,T1
MEF2A-HsaEX0038690-mid_TGCadd-R2,0.46,T1
MEF2A-HsaEX0038690-mutTCTC,0.28,T1
MEF2A-HsaEX0038690-rem-12,0.22,T1
MEF2A-HsaEX0038690-rem-15,0.18,T1
MEF2A-HsaEX0038690-rem-18,0.16,T1
MEF2A-HsaEX0038690-rem-3,0.41,T1
MEF2A-HsaEX0038690-rem-6,0.32,T1
MEF2A-HsaEX0038690-rem-9,0.24,T1
MEF2A-HsaEX0038690-TGC1-1rem1,0.24,T1
MEF2A-HsaEX0038690-TGCTG-TGCGT,0.34,T1
MEF2A-HsaEX0038690-TGCTG-TGCTT,0.42,T1
MEF2A-HsaEX0038690-TGTGC-AATGC,0.19,T1
MEF2A-HsaEX0038690-TGTGC-ACTGC,0.18,T1
MEF2A-HsaEX0038690-TGTGC-ATTGC,0.24,T1
MEF2A-HsaEX0038690-TGTGC-CATGC,0.43,T1
MEF2A-HsaEX0038690-TGTGC-CTTGC,0.25,T1
MEF2A-HsaEX0038690-TGTGC-GCTGC,0.64,T1
MEF2A-HsaEX0038690-TGTGC-TCTGC,0.27,T1
MEF2A-HsaEX0038690-U1cons,1.04,T1
MEF2A-HsaEX0038690-U6cons,0.94,T1
MEF2A-HsaEX0038690-WT,0.26,T1
MEF2C-HsaEX0038702-add_0-12,0.83,T1
MEF2C-HsaEX0038702-add_0-15,0.78,T1
MEF2C-HsaEX0038702-add_0-18,1.01,T1
MEF2C-HsaEX0038702-add_0-3,0.43,T1
MEF2C-HsaEX0038702-add_0-6,0.55,T1
MEF2C-HsaEX0038702-add_0-9,0.77,T1
MEF2C-HsaEX0038702-add_1-12,0.31,T1
MEF2C-HsaEX0038702-add_1-15,0.78,T1
MEF2C-HsaEX0038702-add_1-18,0.74,T1
MEF2C-HsaEX0038702-add_1-3,0.37,T1
MEF2C-HsaEX0038702-add_1-6,0.41,T1
MEF2C-HsaEX0038702-add_1-9,0.48,T1
MEF2C-HsaEX0038702-add_10-12,0.44,T1
MEF2C-HsaEX0038702-add_10-15,0.13,T1
MEF2C-HsaEX0038702-add_10-18,0.75,T1
MEF2C-HsaEX0038702-add_10-3,0.18,T1
MEF2C-HsaEX0038702-add_10-6,0.29,T1
MEF2C-HsaEX0038702-add_10-9,0.4,T1
MEF2C-HsaEX0038702-add_11-12,0.48,T1
MEF2C-HsaEX0038702-add_11-15,0.48,T1
MEF2C-HsaEX0038702-add_11-18,0.22,T1
MEF2C-HsaEX0038702-add_11-3,0.27,T1
MEF2C-HsaEX0038702-add_11-6,0.3,T1
MEF2C-HsaEX0038702-add_11-9,0.45,T1
MEF2C-HsaEX0038702-add_12-12,0.85,T1
MEF2C-HsaEX0038702-add_12-15,0.28,T1
MEF2C-HsaEX0038702-add_12-18,0.51,T1
MEF2C-HsaEX0038702-add_12-3,0.18,T1
MEF2C-HsaEX0038702-add_12-6,0.28,T1
MEF2C-HsaEX0038702-add_12-9,0.22,T1
MEF2C-HsaEX0038702-add_13-12,0.4,T1
MEF2C-HsaEX0038702-add_13-15,0.08,T1
MEF2C-HsaEX0038702-add_13-18,0.52,T1
MEF2C-HsaEX0038702-add_13-3,0.43,T1
MEF2C-HsaEX0038702-add_13-6,0.32,T1
MEF2C-HsaEX0038702-add_13-9,0.43,T1
MEF2C-HsaEX0038702-add_14-12,0.28,T1
MEF2C-HsaEX0038702-add_14-15,0.33,T1
MEF2C-HsaEX0038702-add_14-18,0.34,T1
MEF2C-HsaEX0038702-add_14-3,0.17,T1
MEF2C-HsaEX0038702-add_14-6,0.23,T1
MEF2C-HsaEX0038702-add_14-9,0.29,T1
MEF2C-HsaEX0038702-add_2-12,0.08,T1
MEF2C-HsaEX0038702-add_2-15,0.12,T1
MEF2C-HsaEX0038702-add_2-18,0.19,T1
MEF2C-HsaEX0038702-add_2-3,0.17,T1
MEF2C-HsaEX0038702-add_2-6,0.26,T1
MEF2C-HsaEX0038702-add_2-9,0.26,T1
MEF2C-HsaEX0038702-add_3-12,0.22,T1
MEF2C-HsaEX0038702-add_3-15,0.23,T1
MEF2C-HsaEX0038702-add_3-18,0.35,T1
MEF2C-HsaEX0038702-add_3-3,0.34,T1
MEF2C-HsaEX0038702-add_3-6,0.34,T1
MEF2C-HsaEX0038702-add_3-9,0.28,T1
MEF2C-HsaEX0038702-add_4-12,0.08,T1
MEF2C-HsaEX0038702-add_4-15,0.15,T1
MEF2C-HsaEX0038702-add_4-18,0.05,T1
MEF2C-HsaEX0038702-add_4-3,0.14,T1
MEF2C-HsaEX0038702-add_4-6,0.21,T1
MEF2C-HsaEX0038702-add_4-9,0.25,T1
MEF2C-HsaEX0038702-add_5-12,0.76,T1
MEF2C-HsaEX0038702-add_5-15,0.32,T1
MEF2C-HsaEX0038702-add_5-18,0.51,T1
MEF2C-HsaEX0038702-add_5-3,0.48,T1
MEF2C-HsaEX0038702-add_5-6,0.48,T1
MEF2C-HsaEX0038702-add_5-9,0.2,T1
MEF2C-HsaEX0038702-add_6-12,0.43,T1
MEF2C-HsaEX0038702-add_6-15,0.55,T1
MEF2C-HsaEX0038702-add_6-18,0.71,T1
MEF2C-HsaEX0038702-add_6-3,0.54,T1
MEF2C-HsaEX0038702-add_6-6,0.69,T1
MEF2C-HsaEX0038702-add_6-9,0.53,T1
MEF2C-HsaEX0038702-add_7-12,0.66,T1
MEF2C-HsaEX0038702-add_7-15,0.15,T1
MEF2C-HsaEX0038702-add_7-18,0.58,T1
MEF2C-HsaEX0038702-add_7-3,0.46,T1
MEF2C-HsaEX0038702-add_7-6,0.51,T1
MEF2C-HsaEX0038702-add_7-9,0.31,T1
MEF2C-HsaEX0038702-add_8-12,0.53,T1
MEF2C-HsaEX0038702-add_8-15,0.8,T1
MEF2C-HsaEX0038702-add_8-18,0.79,T1
MEF2C-HsaEX0038702-add_8-6,0.55,T1
MEF2C-HsaEX0038702-add_8-9,0.19,T1
MEF2C-HsaEX0038702-add_9-12,0.08,T1
MEF2C-HsaEX0038702-add_9-15,0.59,T1
MEF2C-HsaEX0038702-add_9-18,0.23,T1
MEF2C-HsaEX0038702-add_9-6,0.11,T1
MEF2C-HsaEX0038702-add_9-9,0.18,T1
MEF2C-HsaEX0038702-AdML,1.18,T1
MEF2C-HsaEX0038702-AGTmutAGG,0.49,T1
MEF2C-HsaEX0038702-AGTmutGAC,0.37,T1
MEF2C-HsaEX0038702-ATGCT-ATGCG,0.18,T1
MEF2C-HsaEX0038702-ATGCT-CTGCG,0.14,T1
MEF2C-HsaEX0038702-ATGCT-CTGCT,0.14,T1
MEF2C-HsaEX0038702-ATGCT-TTGCC,0.35,T1
MEF2C-HsaEX0038702-ATGCT-TTGCG,0.16,T1
MEF2C-HsaEX0038702-ATGCT-TTGCT,0.55,T1
MEF2C-HsaEX0038702-BP_12s,0.6,T1
MEF2C-HsaEX0038702-BP_13s,0.1,T1
MEF2C-HsaEX0038702-BP1-TAAmutCAT,0.15,T1
MEF2C-HsaEX0038702-BP2-TAAmutCAT,0.37,T1
MEF2C-HsaEX0038702-BP3-TAAmutCAT,0.34,T1
MEF2C-HsaEX0038702-BPmut2-12,0.18,T1
MEF2C-HsaEX0038702-BPmut3,0.25,T1
MEF2C-HsaEX0038702-BPshift10,0.52,T1
MEF2C-HsaEX0038702-BPshift10-TGCadd-L1,0.21,T1
MEF2C-HsaEX0038702-BPshift10-TGCadd-L2,0.07,T1
MEF2C-HsaEX0038702-BPshift10-TGCadd-L3,0.09,T1
MEF2C-HsaEX0038702-BPshift10-TGCadd-R2,0.2,T1
MEF2C-HsaEX0038702-BPshift10-TGCadd-R3,0.22,T1
MEF2C-HsaEX0038702-BPshift20,0.24,T1
MEF2C-HsaEX0038702-BPshift20-TGCadd-L1,0.2,T1
MEF2C-HsaEX0038702-BPshift20-TGCadd-L2,0.26,T1
MEF2C-HsaEX0038702-BPshift20-TGCadd-L3,0.3,T1
MEF2C-HsaEX0038702-BPshift20-TGCadd-R1,0.25,T1
MEF2C-HsaEX0038702-BPshift20-TGCadd-R2,0.14,T1
