Supplementary Table 8:,PSI of endogenous events under 9 experimental conditions,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
COL4A1,HsaEX6041060,chr13:110203566-110203607,42,"chr13:110205353,110203566-110203607,110201522",S,CS,100,"SOK,SOK,128=140=0,OK,S@268.00,0.00",100,"SOK,SOK,77=70=0,OK,S@147.00,0.00",100,"VLOW,VLOW,32=5=0,B2,S@37.00,0.00",100,"OK,SOK,51=41=0,OK,S@92.00,0.00",100,"VLOW,VLOW,29=6=0,B2,S@35.00,0.00",100,"SOK,SOK,295=356=0,OK,S@651.00,0.00",100,"SOK,SOK,372=444=0,OK,S@816.00,0.00",100,"SOK,SOK,77=56=0,OK,S@133.00,0.00",100,"SOK,SOK,245=281=0,OK,S@526.00,0.00"
SNHG14,HsaEX1038166,chr15:25019828-25019869,42,"chr15:25019148,25019828-25019869,25020590",S,CS,,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",100,"N,N,0=8=0,Bn,S@8.00,0.00",100,"N,N,5=3=0,OK,S@8.00,0.00",100,"N,N,3=4=0,OK,S@7.00,0.00",100,"N,N,1=8=0,B2,S@9.00,0.00"
SEMA3F,HsaEX6056148,chr3:50185666-50185707,42,"chr3:50185531,50185666-50185707,50185889",ANN,CS,100,"OK,OK,20=15=0,OK,C1@35.00,0.00",100,"OK,OK,20=16=0,OK,C1@36.00,0.00",100,"LOW,LOW,22=11=0,OK,S@33.00,0.00",100,"OK,OK,21=24=0,OK,S@45.00,0.00",100,"OK,OK,22=18=0,OK,S@40.00,0.00",100,"N,N,9=7=0,OK,S@16.00,0.00",100,"N,N,5=6=0,OK,S@11.00,0.00",100,"N,N,4=3=0,OK,S@7.00,0.00",100,"N,N,4=12=0,B1,S@16.00,0.00"
MTHFD1L,HsaEX6049931,chr6:151013779-151013820,42,"chr6:151009958,151013779-151013820,151014880",ANN,CS,100,"SOK,SOK,125=170=0,OK,S@295.00,0.00",100,"SOK,SOK,70=80=0,OK,S@150.00,0.00",100,"SOK,SOK,43=63=0,OK,S@106.00,0.00",100,"SOK,SOK,52=65=0,OK,S@117.00,0.00",100,"SOK,SOK,46=78=0,B1,S@124.00,0.00",100,"SOK,SOK,189=234=0,OK,S@423.00,0.00",100,"SOK,SOK,218=229=0,OK,S@447.00,0.00",100,"SOK,SOK,270=296=0,OK,S@566.00,0.00",100,"SOK,SOK,248=256=0,OK,S@504.00,0.00"
PCID2,HsaEX6041225,chr13:113196181-113196222,42,"chr13:113197178,113196181-113196222,113195125",ANN,CS,100,"SOK,SOK,277=227=0,OK,S@504.00,0.00",100,"SOK,SOK,160=173=0,OK,S@333.00,0.00",100,"SOK,SOK,182=153=0,OK,S@335.00,0.00",100,"SOK,SOK,155=136=0,OK,S@291.00,0.00",100,"SOK,SOK,198=171=0,OK,S@369.00,0.00",100,"SOK,SOK,252=268=0,OK,S@520.00,0.00",100,"SOK,SOK,230=296=0,OK,S@526.00,0.00",100,"SOK,SOK,319=290=0,OK,S@609.00,0.00",100,"SOK,SOK,285=231=0,OK,S@516.00,0.00"
SNAP25,HsaEX6077184,chr20:10277685-10277726,42,"chr20:10275563,10277685-10277726,10284724",ANN,CS,100,"LOW,LOW,14=17=0,OK,C1@31.00,0.00",100,"OK,OK,36=29=0,OK,S@65.00,0.00",100,"SOK,SOK,103=113=0,OK,S@216.00,0.00",100,"SOK,SOK,72=44=0,OK,S@116.00,0.00",100,"SOK,SOK,116=97=0,OK,S@213.00,0.00",100,"VLOW,VLOW,10=7=0,OK,S@17.00,0.00",100,"OK,OK,59=29=0,OK,C1@88.00,0.00",100,"SOK,SOK,116=94=0,OK,S@210.00,0.00",100,"SOK,SOK,97=82=0,OK,C1@179.00,0.00"
POSTN,HsaEX6040016,chr13:37564519-37564560,42,"chr13:37569300,37564519-37564560,37563370",ANN,CS,,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",100,"N,N,3=1=0,B1,S@4.00,0.00",,"N,N,0=0=0,Bn,S@0,0",100,"N,N,0=1=0,Bn,S@1.00,0.00",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0"
ESYT3,HsaEX6058779,chr3:138452048-138452089,42,"chr3:138435125,138452048-138452089,138455194",ANN,CS,,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",100,"N,N,7=9=0,OK,S@16.00,0.00",100,"N,N,2=9=0,B1,S@11.00,0.00",100,"N,N,0=8=0,Bn,S@8.00,0.00",100,"N,N,4=7=0,OK,S@11.00,0.00"
ANTXR1,HsaEX7001225,chr2:69170248-69170289,42,"chr2:69152264,69170248-69170289,69172367",ANN,CS,100,"SOK,SOK,75=76=0,OK,C3@151.00,0.00",100,"OK,OK,50=30=0,OK,C2@80.00,0.00",100,"N,N,5=4=0,OK,C2@9.00,0.00",100,"OK,OK,28=27=0,OK,C3@55.00,0.00",100,"N,N,6=8=0,OK,C3@14.00,0.00",100,"SOK,SOK,120=114=0,OK,C3@234.00,0.00",100,"SOK,SOK,129=106=0,OK,C2@235.00,0.00",100,"VLOW,VLOW,9=10=0,OK,C2@19.00,0.00",100,"SOK,SOK,89=50=0,OK,C2@139.00,0.00"
CARD9,HsaEX6063998,chr9:136367216-136367257,42,"chr9:136367637,136367216-136367257,136366845",ANN,CS,100,"N,N,3=1=0,B1,C2@4.00,0.00",100,"N,N,5=5=0,OK,S@10.00,0.00",100,"VLOW,VLOW,11=13=0,OK,C2@24.00,0.00",100,"N,N,3=5=0,OK,C1@8.00,0.00",100,"VLOW,VLOW,8=11=0,OK,C2@19.00,0.00",100,"N,N,3=3=0,OK,C1@6.00,0.00",100,"N,N,0=4=0,Bn,S@4.00,0.00",100,"N,N,3=6=0,B1,C1@9.00,0.00",100,"N,N,1=4=0,B1,S@5.00,0.00"
COL15A1,HsaEX6062147,chr9:99049854-99049895,42,"chr9:99049758,99049854-99049895,99052388",ANN,CS,100,"N,N,1=1=0,OK,S@2.00,0.00",100,"N,N,0=2=0,Bn,S@2.00,0.00",,"N,N,0=0=0,Bn,S@0,0",100,"N,N,1=0=0,Bn,S@1.00,0.00",,"N,N,0=0=0,Bn,S@0,0",100,"N,N,1=1=0,OK,S@2.00,0.00",100,"N,N,4=0=0,Bn,S@4.00,0.00",100,"N,N,1=0=0,Bn,S@1.00,0.00",100,"N,N,0=2=0,Bn,S@2.00,0.00"
NCKAP1,HsaEX0042009,chr2:183024978-183024995,18,"chr2:183037992,183024978-183024995,183023916",S,HS,0.32,"SOK,SOK,0=1=499,Bn,S@1.60,498.40",15.33,"SOK,SOK,16=12=246,OK,S@42.00,232.00",97.7,"SOK,SOK,142=125=10,OK,S@270.63,6.37",56.15,"SOK,SOK,71=61=164,OK,S@166.20,129.80",95.77,"SOK,SOK,139=117=18,OK,S@262.41,11.59",0,"SOK,SOK,0=0=238,Bn,S@0.00,238.00",83.41,"SOK,SOK,81=96=56,OK,S@194.35,38.65",98.17,"SOK,SOK,102=100=6,OK,S@204.19,3.81",96.67,"SOK,SOK,103=116=12,OK,S@223.31,7.69"
MAP4K4,HsaEX0037668,chr2:101868029-101868037,9,"chr2:101867309+101867318,101868029-101868037,101869622",S,LS,53.08,"SOK,SOK,19=26=348,OK,S@208.60,184.40",58.01,"SOK,SOK,9=12=133,OK,S@89.34,64.66",92.58,"OK,SOK,22=35=40,OK,S@89.80,7.20",76.75,"SOK,SOK,18=22=106,OK,S@112.05,33.95",92.53,"OK,SOK,24=34=41,OK,S@91.60,7.40",33.12,"SOK,SOK,3=9=212,B1,S@74.19,149.81",47.55,"SOK,SOK,12=8=193,OK,S@101.28,111.72",87.67,"OK,SOK,19=20=48,OK,S@76.27,10.73",71.01,"SOK,SOK,17=25=150,OK,S@136.34,55.66"
AP1B1,HsaEX0004865,chr22:29329712-29329720,9,"chr22:29330372+29330378,29329712-29329720,29328895",S,Others,26.11,"SOK,SOK,19=6=619,B1,S@168.15,475.85",33.76,"SOK,SOK,19=5=412,B1,S@147.19,288.81",77.41,"SOK,SOK,60=14=189,B1,S@203.59,59.41",37.6,"SOK,SOK,21=6=392,B1,S@157.54,261.46",68.35,"SOK,SOK,38=20=235,OK,S@200.27,92.73",39.94,"SOK,SOK,17=2=250,B2,S@107.44,161.56",55.67,"SOK,SOK,20=12=223,OK,S@141.96,113.04",88.94,"SOK,SOK,43=14=62,B1,S@105.84,13.16",60.28,"SOK,SOK,23=7=173,B1,S@122.37,80.63"
KIF1A,HsaEX0034466,chr2:240772570-240772596,27,"chr2:240773114,240772570-240772596,240771104+240771179",S,LS,0.5,"SOK,SOK,0=2=350,Bn,S@1.76,350.24",0.96,"SOK,SOK,2=1=270,OK,S@2.62,270.38",18.11,"SOK,SOK,23=22=178,OK,S@40.39,182.61",5.12,"SOK,SOK,6=8=227,OK,S@12.34,228.66",12.78,"SOK,SOK,15=18=197,OK,S@29.39,200.61",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0"
NAV1,HsaEX0041746,chr1:201790554-201790577,24,"chr1:201789792,201790554-201790577,201790689",S,HS,21.54,"OK,OK,4=8=45,OK,S@12.28,44.72",39.59,"OK,OK,8=6=22,OK,S@14.25,21.75",90.26,"OK,SOK,34=20=6,OK,S@54.16,5.84",75.02,"OK,OK,15=20=12,OK,S@35.26,11.74",87.5,"OK,SOK,40=28=10,OK,S@68.25,9.75",7.9,"VLOW,VLOW,1=0=12,Bn,S@1.03,11.97",30.02,"OK,SOK,12=13=60,OK,S@25.52,59.48",77.78,"OK,SOK,41=27=20,OK,S@68.45,19.55",59.29,"OK,SOK,30=28=41,OK,S@58.70,40.30"
PTPRF,HsaEX0051135,chr1:43583082-43583093,12,"chr1:43578920,43583082-43583093,43588731",S,LS,0,"SOK,SOK,0=0=337,Bn,S@0.00,337.00",3.02,"SOK,SOK,2=0=225,Bl,S@6.86,220.14",1.97,"SOK,SOK,0=1=174,Bn,S@3.45,171.55",4.42,"SOK,SOK,0=3=227,B3,S@10.17,219.83",4.92,"SOK,SOK,1=2=203,OK,S@10.14,195.86",1.26,"SOK,SOK,1=0=275,Bn,S@3.48,272.52",11.68,"SOK,SOK,6=5=291,OK,S@35.27,266.73",13.43,"SOK,SOK,5=4=203,OK,S@28.47,183.53",8.75,"SOK,SOK,4=4=292,OK,S@26.25,273.75"
SLIT2,HsaEX0060157,chr4:20490803-20490814,12,"chr4:20488982,20490803-20490814,20491761",S,LS,47.21,"SOK,SOK,39=65=407,OK,S@241.24,269.76",54.16,"SOK,SOK,29=24=157,OK,S@113.74,96.26",97.58,"OK,SOK,28=18=4,OK,S@48.79,1.21",69.14,"SOK,SOK,28=20=75,OK,S@85.04,37.96",92.25,"OK,SOK,27=24=15,OK,S@60.88,5.12",41.18,"VLOW,VLOW,2=0=10,Bl,S@4.94,7.06",0,"N,N,0=0=3,Bn,S@0.00,3.00",77.78,"N,N,2=0=2,Bl,S@3.11,0.89",63.64,"N,N,1=0=2,Bn,S@1.91,1.09"
ANK2,HsaEX0004127,chr4:113313684-113313695,12,"chr4:113311399,113313684-113313695,113317707+113317722",S,LS,0,"SOK,SOK,0=0=129,Bn,S@0.00,129.00",0,"OK,OK,0=0=59,Bn,S@0.00,59.00",65.88,"OK,SOK,15=17=58,OK,S@59.29,30.71",10.77,"OK,SOK,3=0=87,B3,S@9.69,80.31",36.57,"OK,SOK,6=8=85,OK,S@36.20,62.80",0,"VLOW,VLOW,0=0=12,Bn,S@0.00,12.00",0,"N,N,0=0=5,Bn,S@0.00,5.00",41.18,"N,N,0=1=5,Bn,S@2.47,3.53",0,"N,N,0=0=7,Bn,S@0.00,7.00"
CSNK1G3,HsaEX0017556,chr5:123605339-123605362,24,"chr5:123604830,123605339-123605362,123614342",S,HS,18.49,"SOK,SOK,48=30=354,OK,S@79.88,352.12",32.96,"SOK,SOK,45=40=178,OK,S@86.68,176.32",97.6,"SOK,SOK,154=123=7,OK,S@277.18,6.82",65.08,"SOK,SOK,86=86=95,OK,S@173.76,93.24",95.74,"SOK,SOK,128=134=12,OK,S@262.33,11.67",6.55,"SOK,SOK,8=11=279,OK,S@19.52,278.48",44.14,"SOK,SOK,47=72=155,OK,S@120.94,153.06",98.01,"SOK,SOK,155=180=7,OK,S@335.19,6.81",89.73,"SOK,SOK,128=135=31,OK,S@263.81,30.19"
FMN2,HsaEX0026020,chr1:240180169-240180180,12,"chr1:240178068,240180169-240180180,240188207",S,HS,0,"SOK,SOK,0=0=193,Bn,S@0.00,193.00",11.67,"OK,OK,2=0=53,Bl,S@6.42,48.58",97.61,"LOW,SOK,12=23=3,OK,S@37.09,0.91",55.87,"OK,SOK,9=8=47,OK,S@35.76,28.24",91.56,"LOW,SOK,12=19=10,OK,S@37.54,3.46",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0"
SRC,HsaEX0061640,chr20:37386460-37386477,18,"chr20:37386174,37386460-37386477,37393895",S,LS,1.09,"SOK,SOK,0=1=144,Bn,S@1.58,143.42",3.79,"SOK,SOK,2=1=121,OK,S@4.70,119.30",46.99,"SOK,SOK,14=25=70,OK,S@51.22,57.78",18.83,"SOK,SOK,7=7=96,OK,S@20.71,89.29",34.65,"OK,SOK,11=13=72,OK,S@33.26,62.74",0,"OK,OK,0=0=31,Bn,S@0.00,31.00",24.13,"OK,OK,6=2=40,B1,S@11.58,36.42",33.44,"OK,OK,6=6=38,OK,S@16.72,33.28",29.1,"OK,OK,2=6=31,B1,S@11.35,27.65"
MYO5A,HsaEX0041193,chr15:52348818-52348826,9,"chr15:52351244+52351254,52348818-52348826,52346461",S,HS,60.26,"OK,SOK,9=4=75,B1,S@53.03,34.97",93.33,"N,SOK,4=4=5,OK,S@12.13,0.87",100,"N,SOK,8=8=0,OK,S@16.00,0.00",98.87,"N,SOK,9=1=1,B2,S@10.88,0.12",100,"N,SOK,6=7=0,OK,S@13.00,0.00",58.01,"OK,SOK,3=3=38,OK,S@25.52,18.48",98.87,"VLOW,SOK,9=11=2,OK,S@21.75,0.25",100,"N,SOK,5=4=0,OK,S@9.00,0.00",98.81,"VLOW,SOK,12=7=2,OK,S@20.75,0.25"
SPTAN1,HsaEX0061551,chr9:128609651-128609665,15,"chr9:128609284+128609294,128609651-128609665,128611714",S,HS,11.94,"SOK,SOK,28=19=758,OK,S@96.12,708.88",39.45,"SOK,SOK,46=49=319,OK,S@163.32,250.68",97.56,"SOK,SOK,177=152=18,OK,S@338.53,8.47",62.93,"SOK,SOK,77=86=210,OK,S@234.73,138.27",94.59,"SOK,SOK,170=142=39,OK,S@332.01,18.99",2.38,"SOK,SOK,6=11=1525,OK,S@36.70,1505.30",26.84,"SOK,SOK,94=93=1115,OK,S@349.46,952.54",95.16,"SOK,SOK,356=354=79,OK,S@750.81,38.19",70.35,"SOK,SOK,306=297=556,OK,S@815.36,343.64"
TENM3,HsaEX0044638,chr4:182711575-182711601,27,"chr4:182688351,182711575-182711601,182714087",S,HS,0.63,"SOK,SOK,1=0=137,Bn,S@0.87,137.13",8.35,"OK,OK,4=1=48,B1,S@4.43,48.57",93.2,"OK,OK,16=31=3,OK,S@46.60,3.40",32.62,"OK,OK,11=15=47,OK,S@23.81,49.19",70.37,"OK,OK,22=16=14,OK,S@36.59,15.41",0,"OK,OK,0=0=31,Bn,S@0.00,31.00",24.14,"OK,OK,2=6=22,B1,S@7.24,22.76",53.85,"N,N,4=4=6,OK,S@7.54,6.46",37.56,"LOW,LOW,6=5=16,OK,S@10.14,16.86"
KDM1A,HsaEX0033219,chr1:23066060-23066071,12,"chr1:23059167,23066060-23066071,23068539",S,NonResponding,0,"SOK,SOK,0=0=2452,Bn,S@0.00,2452.00",0.25,"SOK,SOK,0=1=1405,Bn,S@3.52,1402.49",8.17,"SOK,SOK,12=20=1259,OK,S@105.47,1185.53",1.35,"SOK,SOK,3=2=1278,OK,S@17.32,1265.68",5.96,"SOK,SOK,8=17=1380,B1,S@83.74,1321.26",0,"SOK,SOK,0=0=980,Bn,S@0.00,980.00",0,"SOK,SOK,0=0=901,Bn,S@0.00,901.00",6.49,"SOK,SOK,14=9=1160,OK,S@76.78,1106.22",2.55,"SOK,SOK,2=5=936,B1,S@24.05,918.95"
ATP6V0A1,HsaEX0006966,chr17:42508572-42508589,18,"chr17:42507627,42508572-42508589,42513861",S,HS,0,"SOK,SOK,0=0=594,Bn,C1@0.00,594.00",10.88,"SOK,SOK,11=15=339,OK,C1@39.71,325.29",95.27,"SOK,SOK,124=129=20,OK,S@260.09,12.91",38.25,"SOK,SOK,51=44=244,OK,C1@129.67,209.33",82.17,"SOK,SOK,100=97=68,OK,S@217.75,47.25",1.04,"SOK,SOK,1=0=151,Bn,C1@1.58,150.42",90.37,"SOK,SOK,89=82=29,OK,S@180.74,19.26",99.33,"SOK,SOK,90=96=2,OK,S@186.74,1.26",94.65,"SOK,SOK,79=99=16,OK,S@183.62,10.38"
ATP1B3,HsaEX0006858,chr3:141916555-141916574,20,"chr3:141916020,141916555-141916574,141925531",C3,HS,0,"OK,OK,0=0=43,Bn,C3@0.00,43.00",25.16,"VLOW,VLOW,3=0=12,Bn,C2@3.77,11.23",87.82,"OK,SOK,41=34=14,OK,C2@78.16,10.84",69.17,"VLOW,OK,11=9=12,OK,C3@22.13,9.87",94.7,"SOK,SOK,57=36=7,OK,C2@94.70,5.30",0,"OK,OK,0=0=22,Bn,C3@0.00,22.00",29.29,"OK,OK,5=3=26,OK,C3@9.96,24.04",84.01,"SOK,SOK,85=75=41,OK,C3@168.86,32.14",88.98,"OK,SOK,31=47=13,OK,C3@80.97,10.03"
PUS7,HsaEX0051317,chr7:105496954-105496971,18,"chr7:105502277+105502420,105496954-105496971,105495253",S,HS,0,"SOK,SOK,0=0=515,Bn,S@0.00,515.00",5.02,"SOK,SOK,4=4=241,OK,S@12.50,236.50",94.31,"SOK,SOK,99=99=19,OK,S@204.65,12.35",34.19,"SOK,SOK,36=28=196,OK,S@88.89,171.11",84.24,"SOK,SOK,87=81=50,OK,S@183.64,34.36",0,"SOK,SOK,0=0=329,Bn,S@0.00,329.00",20.39,"SOK,SOK,22=16=236,OK,S@55.87,218.13",96.94,"SOK,SOK,137=122=13,OK,S@263.68,8.32",73.5,"SOK,SOK,87=103=109,OK,S@219.76,79.23"
SH3GLB1,HsaEX0058023,chr1:86730088-86730111,24,"chr1:86724405,86730088-86730111,86734602",C1,HS,1.73,"SOK,SOK,11=5=962,B1,C1@16.92,961.08",24.22,"SOK,SOK,59=58=390,OK,C2@122.80,384.20",96.22,"SOK,SOK,241=226=20,OK,C3@468.59,18.41",56.95,"SOK,SOK,118=129=200,OK,C2@254.57,192.43",90.74,"SOK,SOK,226=224=50,OK,C2@453.70,46.30",0.37,"SOK,SOK,1=0=275,Bn,S@1.02,274.98",43.96,"SOK,SOK,71=60=180,OK,C2@136.72,174.28",97.52,"SOK,SOK,128=160=8,OK,C2@288.66,7.34",83.57,"SOK,SOK,139=156=63,OK,C2@299.18,58.82"
TRIM9,HsaEX0067208,chr14:50982942-50982965,24,"chr14:50983380,50982942-50982965,50982103",C3,HS,0,"SOK,SOK,0=0=234,Bn,C3@0.00,234.00",3.48,"SOK,SOK,2=3=154,OK,C3@5.53,153.47",84.53,"SOK,SOK,67=58=25,OK,C2@126.80,23.20",25.12,"SOK,SOK,20=18=124,OK,C3@40.69,121.31",83.04,"SOK,SOK,68=66=30,OK,C2@136.19,27.81",0,"N,N,0=0=1,Bn,C3@0.00,1.00",8.85,"VLOW,VLOW,0=1=12,Bn,C3@1.15,11.85",74.25,"N,VLOW,5=3=3,OK,C2@8.17,2.83",69.37,"N,N,1=3=2,B1,C2@4.16,1.84"
RAPGEF2,HsaEX0052261,chr4:159243774-159243791,18,"chr4:159241368,159243774-159243791,159304342+159304393",S,HS,72.17,"SOK,SOK,37=38=46,OK,S@87.33,33.67",79.17,"OK,SOK,24=19=18,OK,S@48.29,12.71",100,"OK,SOK,33=29=0,OK,S@62.00,0.00",91.6,"OK,SOK,26=22=7,OK,S@50.38,4.62",97.98,"OK,SOK,30=31=2,OK,S@61.73,1.27",50.1,"SOK,SOK,26=27=84,OK,S@68.64,68.36",97.8,"OK,SOK,28=28=2,OK,S@56.72,1.28",100,"OK,SOK,15=20=0,OK,S@35.00,0.00",100,"OK,SOK,46=34=0,OK,S@80.00,0.00"
STX2,HsaEX0062697,chr12:130799168-130799190,23,"chr12:130801153,130799168-130799190,130798635",S,NonResponding,0,"SOK,SOK,0=0=266,Bn,S@0.00,266.00",0,"SOK,SOK,0=0=134,Bn,S@0.00,134.00",2.75,"SOK,SOK,3=0=116,Bn,S@3.27,115.73",0,"SOK,SOK,0=0=146,Bn,S@0.00,146.00",0.94,"SOK,SOK,0=1=115,Bn,S@1.09,114.91",0,"SOK,SOK,0=0=127,Bn,S@0.00,127.00",0,"SOK,SOK,0=0=147,Bn,S@0.00,147.00",6.25,"OK,OK,2=3=82,OK,S@5.44,81.56",1.68,"SOK,SOK,1=1=128,OK,S@2.18,127.82"
RAB3GAP1,HsaEX0051667,chr2:135167693-135167713,21,"chr2:135164696,135167693-135167713,135168545",S,LS,0,"SOK,SOK,0=0=376,Bn,S@0.00,376.00",0,"SOK,SOK,0=0=226,Bn,S@0.00,226.00",52.5,"SOK,SOK,51=56=121,OK,S@119.70,108.30",4.65,"SOK,SOK,2=6=205,B1,S@9.90,203.10",38.46,"SOK,SOK,31=52=166,OK,S@95.77,153.23",0,"SOK,SOK,0=0=187,Bn,S@0.00,187.00",0,"SOK,SOK,0=0=201,Bn,S@0.00,201.00",9.33,"SOK,SOK,10=4=170,B1,S@17.17,166.83",0.71,"SOK,SOK,1=0=174,Bn,S@1.24,173.76"
ATL2,HsaEX0006689,chr2:38296686-38296700,15,"chr2:38298144+38298250,38296686-38296700,38296113",C2,HS,0.24,"SOK,SOK,1=0=873,Bn,S@2.10,871.90",29.97,"SOK,SOK,23=32=265,OK,C2@95.90,224.10",88.78,"SOK,SOK,68=74=37,OK,C2@158.92,20.08",59.05,"SOK,SOK,20=59=113,B1,C3@113.38,78.62",93.35,"SOK,SOK,70=73=21,OK,C2@153.09,10.91",0,"SOK,SOK,0=0=303,Bn,S@0.00,303.00",81.07,"SOK,SOK,28=53=39,OK,C3@97.28,22.72",96.87,"SOK,SOK,34=71=7,B1,C3@108.49,3.51",96.21,"OK,SOK,33=53=7,OK,C3@89.48,3.52"
SSR1,HsaEX0061917,chr6:7295088-7295102,15,"chr6:7295392,7295088-7295102,7289931",S,HS,0.65,"SOK,SOK,2=2=1334,OK,S@8.70,1329.30",9.92,"SOK,SOK,12=19=616,OK,S@64.18,582.82",91.96,"SOK,SOK,144=196=65,OK,S@372.44,32.56",38.49,"SOK,SOK,50=65=402,OK,S@198.99,318.01",87.22,"SOK,SOK,162=150=100,OK,S@359.35,52.65",0.56,"SOK,SOK,2=1=1160,OK,S@6.51,1156.49",12.96,"SOK,SOK,39=42=1190,OK,S@164.72,1106.28",80.89,"SOK,SOK,304=346=336,OK,S@797.58,188.42",40.07,"SOK,SOK,127=142=880,OK,S@460.40,688.60"
POLR3F,HsaEX0049118,chr20:18473242-18473262,21,"chr20:18472909,18473242-18473262,18473391",S,LS,0,"SOK,SOK,0=0=382,Bn,S@0.00,382.00",0,"SOK,SOK,0=0=194,Bn,S@0.00,194.00",27.03,"SOK,SOK,25=23=162,OK,S@56.76,153.24",1.31,"SOK,SOK,1=1=189,OK,S@2.50,188.50",19.55,"SOK,SOK,17=18=180,OK,S@42.03,172.97",0,"OK,OK,0=0=60,Bn,S@0.00,60.00",0,"OK,OK,0=0=76,Bn,S@0.00,76.00",8.77,"OK,OK,4=1=65,B1,S@6.14,63.86",9.09,"OK,OK,1=3=50,B1,S@4.91,49.09"
BICDL1,HsaEX0013372,chr12:120062752-120062763,12,"chr12:120061826,120062752-120062763,120064733",S,LS,0,"OK,OK,0=0=93,Bn,S@0.00,93.00",0,"SOK,SOK,0=0=154,Bn,S@0.00,154.00",11.59,"SOK,SOK,5=5=267,OK,S@32.10,244.90",3.2,"SOK,SOK,1=1=212,OK,S@6.85,207.15",10.77,"SOK,SOK,4=5=261,OK,S@29.08,240.92",0,"N,N,0=0=6,Bn,S@0.00,6.00",0,"SOK,SOK,0=0=124,Bn,S@0.00,124.00",4.05,"SOK,SOK,1=1=166,OK,S@6.80,161.20",7.53,"SOK,SOK,3=0=129,B3,S@9.94,122.06"
SNX14,HsaEX0060805,chr6:85538838-85538864,27,"chr6:85541985,85538838-85538864,85536924",S,HS,58.35,"SOK,SOK,118=135=158,OK,S@239.82,171.18",75.47,"SOK,SOK,90=128=62,OK,S@211.32,68.68",93.18,"SOK,SOK,96=107=13,OK,S@201.27,14.73",82.93,"SOK,SOK,99=112=38,OK,S@206.50,42.50",95.29,"SOK,SOK,96=112=9,OK,S@206.78,10.22",36.46,"SOK,SOK,35=45=122,OK,S@73.65,128.35",64.56,"SOK,SOK,66=86=73,OK,S@145.26,79.74",97.41,"SOK,SOK,118=140=6,OK,S@257.16,6.84",81.02,"SOK,SOK,100=100=41,OK,S@195.26,45.74"
ARRB1,HsaEX0006044,chr11:75271701-75271724,24,"chr11:75272895,75271701-75271724,75268959",S,LS,45.16,"OK,SOK,16=16=40,OK,S@32.52,39.48",24.22,"OK,OK,3=6=29,OK,S@9.20,28.80",60.69,"VLOW,OK,9=12=14,OK,S@21.24,13.76",28.04,"OK,OK,4=10=37,B1,S@14.30,36.70",44.3,"OK,OK,6=11=22,OK,S@17.28,21.72",13.24,"OK,OK,1=3=27,B1,S@4.10,26.90",27.23,"OK,OK,6=6=33,OK,S@12.25,32.75",59.79,"N,VLOW,4=9=9,B1,S@13.15,8.85",52.08,"LOW,OK,9=10=18,OK,S@19.27,17.73"
FNBP1L,HsaEX0026120,chr1:93541042-93541056,15,"chr1:93534908,93541042-93541056,93544107",C1,LS,0,"SOK,SOK,0=0=233,Bn,S@0.00,233.00",0,"SOK,SOK,0=0=108,Bn,S@0.00,108.00",17.95,"SOK,SOK,2=11=130,B2,S@25.67,117.33",3.86,"SOK,SOK,1=1=109,OK,S@4.28,106.72",11.96,"SOK,SOK,5=4=145,OK,S@18.42,135.58",0,"OK,OK,0=0=73,Bn,S@0.00,73.00",0,"OK,OK,0=0=99,Bn,S@0.00,99.00",0,"OK,OK,0=0=91,Bn,S@0.00,91.00",0,"OK,OK,0=0=80,Bn,S@0.00,80.00"
