"paper_EVENT","paper_GENE","paper_LENGTH","paper_TIER","match_type","Comparison","EventType","GeneSymbol","exon_length","DeltaPSI","FDR","Chromosome","Strand","exonStart_0base","exonEnd","n_candidates"
"HsaEX0026036","FMNL2",21,"LS","gene_only","KO_vs_Parental","A5SS","Fmnl2",94,-0.118,1.78973237526395e-08,"chr2","+",NA,NA,2
"HsaEX0026036","FMNL2",21,"LS","gene_only","Pos_vs_Parental","A5SS","Fmnl2",94,-0.171,0,"chr2","+",NA,NA,2
"HsaEX0074666","ZYX",26,"NonResponding","gene_only","KO_vs_Parental","RI","Zyx",444,0.106,1.99488037517108e-08,"chr6","+",NA,NA,1
"HsaEX0074666","ZYX",26,"NonResponding","gene_only","Pos_vs_Parental","RI","Zyx",444,0.104,6.41465069040177e-09,"chr6","+",NA,NA,1
"HsaEX1042400","TTC7B",24,"NonResponding","gene_only","Pos_vs_Parental","MXE","Ttc7b",79,0.11,0.00450171857825945,"chr12","-",NA,NA,1
"HsaEX0069337","UNC13B",23,"NonResponding","gene_only","Neg_vs_Parental","SE","Unc13b",36,-0.218,0.0078093393979794,"chr4","+",43161442,43161478,1
"HsaEX0024131","FAM168A",27,"NonResponding","gene+length","Neg_vs_Parental","SE","Fam168a",27,-0.191,1.19363993167714e-06,"chr7","+",100467942,100467969,1
"HsaEX0024131","FAM168A",27,"NonResponding","gene+length","Pos_vs_Parental","SE","Fam168a",27,-0.253,3.86870988106723e-10,"chr7","+",100467942,100467969,1
"HsaEX0009119","INTS13",24,"LS","gene_only","KO_vs_Parental","SE","Ints13",78,-0.143,1.87053318855516e-05,"chr6","-",146451584,146451662,1
"HsaEX0009119","INTS13",24,"LS","gene_only","Pos_vs_Parental","SE","Ints13",78,-0.103,0.00695615131514026,"chr6","-",146451584,146451662,1
"HsaEX0066667","TPD52L2",27,"LS","gene+length","Neg_vs_Parental","SE","Tpd52l2",27,0.106,0.000429899112835956,"chr2","+",181152296,181152323,1
"HsaEX0011689","TMEM245",24,"NonResponding","gene+length","KO_vs_Parental","SE","Tmem245",24,-0.118,0.00522775807558244,"chr4","-",56922386,56922410,1
"HsaEX0011689","TMEM245",24,"NonResponding","gene+length","Pos_vs_Parental","SE","Tmem245",24,-0.112,0.0214078981053374,"chr4","-",56922386,56922410,1
"HsaEX0015276","CHPT1",27,"LS","gene+length","KO_vs_Parental","SE","Chpt1",27,-0.182,0.0171960729853986,"chr10","-",88317214,88317241,1
"HsaEX0015276","CHPT1",27,"LS","gene+length","Pos_vs_Parental","SE","Chpt1",27,-0.272,0.000679456720161651,"chr10","-",88317214,88317241,1
"HsaEX1012909","EIF4G1",21,"LS","gene+length","Neg_vs_Parental","SE","Eif4g1",21,0.166,1.83302648422216e-13,"chr16","+",20493535,20493556,1
"HsaEX1012909","EIF4G1",21,"LS","gene_only","KO_vs_Parental","A3SS","Eif4g1",189,0.509,0.0060802740767832,"chr16","+",NA,NA,1
"HsaEX0005602","ARHGEF11",15,"LS","gene_only","Neg_vs_Parental","SE","Arhgef11",30,0.146,2.78873270258153e-06,"chr3","+",87625535,87625565,1
"HsaEX0005602","ARHGEF11",15,"LS","gene_only","Pos_vs_Parental","SE","Arhgef11",120,-0.106,0.00114814519812022,"chr3","+",87602704,87602824,1
"HsaEX0039306","MINK1",24,"Others","gene_only","KO_vs_Parental","SE","Mink1",111,-0.15,1.48376640068475e-08,"chr11","+",70499414,70499525,1
"HsaEX0039306","MINK1",24,"Others","gene_only","Pos_vs_Parental","SE","Mink1",111,-0.184,0,"chr11","+",70499414,70499525,1
"HsaEX0012542","CASK",27,"LS","gene_only","Neg_vs_Parental","SE","Cask",18,0.169,0,"chrX","-",13462924,13462942,2
"HsaEX0012542","CASK",27,"LS","gene_only","Pos_vs_Parental","MXE","Cask",36,0.136,1.23089842693126e-05,"chrX","-",NA,NA,2
"HsaEX0064198","TCF7L2",25,"LS","gene_only","Neg_vs_Parental","A3SS","Tcf7l2",141,0.123,0.0103281024486097,"chr19","+",NA,NA,1
"HsaEX0064198","TCF7L2",25,"LS","gene+length","KO_vs_Parental","SE","Tcf7l2",25,-0.261,8.31582603574912e-05,"chr19","+",55916161,55916186,2
"HsaEX0064198","TCF7L2",25,"LS","gene+length","Pos_vs_Parental","SE","Tcf7l2",25,-0.197,0.00635973075347412,"chr19","+",55916161,55916186,1
"HsaEX0041847","NBEAL2",20,"LS","gene_only","KO_vs_Parental","SE","Nbeal2",81,-0.183,0.00497008643729722,"chr9","-",110470478,110470559,1
"HsaEX0041847","NBEAL2",20,"LS","gene_only","Pos_vs_Parental","SE","Nbeal2",81,-0.154,0.0310341818625146,"chr9","-",110470478,110470559,1
"HsaEX0015498","CLASP2",24,"HS","gene+length","Neg_vs_Parental","SE","Clasp2",24,0.252,1.26060491336164e-07,"chr9","+",113687648,113687672,1
"HsaEX0015498","CLASP2",24,"HS","gene+length","KO_vs_Parental","SE","Clasp2",24,-0.116,1.23075016092454e-05,"chr9","+",113707817,113707841,1
"HsaEX0015498","CLASP2",24,"HS","gene+length","Pos_vs_Parental","SE","Clasp2",24,-0.131,5.85942704572475e-07,"chr9","+",113707817,113707841,1
"HsaEX0015457","CKAP5",24,"LS","gene+length","KO_vs_Parental","SE","Ckap5",24,-0.11,0.00403930666762491,"chr2","+",91429948,91429972,1
"HsaEX0003154","AGRN",12,"LS","gene_only","Neg_vs_Parental","RI","Agrn",793,-0.438,0,"chr4","-",NA,NA,4
"HsaEX0003154","AGRN",12,"LS","gene+length","KO_vs_Parental","SE","Agrn",12,-0.114,2.71957764949863e-11,"chr4","-",156254002,156254014,1
"HsaEX0003154","AGRN",12,"LS","gene_only","Pos_vs_Parental","RI","Agrn",793,-0.154,0.000233047696470748,"chr4","-",NA,NA,1
"HsaEX0067471","TRRAP",21,"LS","gene+length","Neg_vs_Parental","SE","Trrap",21,0.291,2.55299855330539e-11,"chr5","+",144747141,144747162,1
"HsaEX0046423","PDLIM7",17,"NonResponding","gene_only","Neg_vs_Parental","RI","Pdlim7",1061,-0.179,1.3914298788929e-07,"chr13","-",NA,NA,1
"HsaEX0046423","PDLIM7",17,"NonResponding","gene_only","KO_vs_Parental","RI","Pdlim7",1061,-0.106,0.00751331521402478,"chr13","-",NA,NA,1
"HsaEX0046423","PDLIM7",17,"NonResponding","gene_only","Pos_vs_Parental","RI","Pdlim7",1061,-0.212,1.49705803309647e-08,"chr13","-",NA,NA,1
"HsaEX0015596","CLEC16A",6,"LS","gene_only","Pos_vs_Parental","A5SS","Clec16a",232,0.208,7.73091409290032e-06,"chr16","+",NA,NA,1
"HsaEX0018232","CYLD",9,"LS","gene_only","KO_vs_Parental","SE","Cyld",380,-0.104,0.0121575062353665,"chr8","+",89456086,89456466,1
"HsaEX0039245","MICU1",6,"NonResponding","gene_only","KO_vs_Parental","MXE","Micu1",12,-0.17,0.0247263125253531,"chr10","+",NA,NA,1
"HsaEX0037213","MADD",9,"LS","gene+length","Neg_vs_Parental","SE","Madd",9,0.143,0.000297928868703475,"chr2","-",90971153,90971162,1
"HsaEX0037213","MADD",9,"LS","gene+length","KO_vs_Parental","SE","Madd",9,-0.119,0.00165392342550515,"chr2","-",90971153,90971162,1
"HsaEX0037213","MADD",9,"LS","gene_only","Pos_vs_Parental","A5SS","Madd",84,0.181,1.99055966154638e-09,"chr2","-",NA,NA,2
"HsaEX0063374","TACC2",9,"HS","gene_only","Neg_vs_Parental","SE","Tacc2",90,0.125,0.0278695748695838,"chr7","+",130346256,130346346,1
"HsaEX0063374","TACC2",9,"HS","gene_only","Pos_vs_Parental","SE","Tacc2",126,0.111,0.027714920034109,"chr7","+",130264745,130264871,1
"HsaEX0027793","GMPPA",15,"NonResponding","gene_only","Neg_vs_Parental","SE","Gmppa",41,0.214,0.0195269219288458,"chr1","+",75413637,75413678,1
"HsaEX0027793","GMPPA",15,"NonResponding","gene_only","KO_vs_Parental","SE","Gmppa",55,0.342,0.00128089735047109,"chr1","+",75413427,75413482,2
"HsaEX0027793","GMPPA",15,"NonResponding","gene_only","Pos_vs_Parental","SE","Gmppa",41,0.214,0.0136940342252428,"chr1","+",75413637,75413678,1
"HsaEX0063412","TAF1",6,"LS","gene+length","Neg_vs_Parental","SE","Taf1",6,0.201,5.80152882256624e-11,"chrX","+",100634339,100634345,1
"HsaEX0003019","AGAP1",12,"LS","gene+length","KO_vs_Parental","SE","Agap1",12,-0.128,1.35832390990953e-05,"chr1","+",89538005,89538017,1
"HsaEX0003019","AGAP1",12,"LS","gene_only","Pos_vs_Parental","SE","Agap1",78,-0.145,8.28312764529383e-05,"chr1","+",89751578,89751656,1
"HsaEX0046416","PDLIM5",13,"NonResponding","gene+length","Pos_vs_Parental","SE","Pdlim5",15,-0.337,0.00250359733477747,"chr3","-",142012044,142012059,1
"HsaEX0041235","MYO6",9,"NonResponding","gene_only","Pos_vs_Parental","SE","Myo6",219,-0.134,3.55702936240723e-07,"chr9","+",80214241,80214460,1
"HsaEX0069336","UNC13B",6,"LS","gene_only","Neg_vs_Parental","SE","Unc13b",36,-0.218,0.0078093393979794,"chr4","+",43161442,43161478,1
"HsaEX0066655","TPD52",27,"LS","gene+length","Neg_vs_Parental","SE","Tpd52",27,0.314,4.42357879944787e-07,"chr3","-",9008610,9008637,1
"HsaEX0066655","TPD52",27,"LS","gene+length","KO_vs_Parental","SE","Tpd52",27,-0.167,4.35077212331642e-07,"chr3","-",9008610,9008637,1
"HsaEX0066655","TPD52",27,"LS","gene+length","Pos_vs_Parental","SE","Tpd52",27,0.115,0,"chr3","-",9008610,9008637,1
"HsaEX7010863","TMEM184B",21,"LS","gene+length","KO_vs_Parental","SE","Tmem184b",21,-0.142,5.23319635343233e-06,"chr15","-",79247857,79247878,1
"HsaEX0046893","PHACTR4",24,"NonResponding","gene_only","KO_vs_Parental","SE","Phactr4",81,0.139,0.0161267577272056,"chr4","-",132110592,132110673,1
"HsaEX1046522","ABI2",18,"LS","gene+length","KO_vs_Parental","SE","Abi2",18,-0.192,0,"chr1","+",60478100,60478118,1
"HsaEX1015153","GALK2",12,"CR","gene_only","Neg_vs_Parental","SE","Galk2",136,0.194,0.0156035339710719,"chr2","+",125712245,125712381,1
