"GeneID","geneSymbol","n_selection_events","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000014554","Dguok",1,"Regular (>50bp)","chr6:83457824-83457924",-0.111
"ENSMUSG00000015149","Sirt2",1,"Small (30-50bp)","chr7:28467056-28467103",0.106
"ENSMUSG00000015222","Map2",1,"Regular (>50bp)","chr1:66470685-66470778",-0.2
"ENSMUSG00000015243","Abca1",1,"Regular (>50bp)","chr4:53059256-53059362",0.16
"ENSMUSG00000015501","Hivep2",1,"Regular (>50bp)","chr10:13879944-13880019",-0.278
"ENSMUSG00000015659","Serac1",1,"Regular (>50bp)","chr17:6119573-6119663",0.163
"ENSMUSG00000015942","Gtf2ird2",1,"Regular (>50bp)","chr5:134235611-134235668",-0.133
"ENSMUSG00000016200","Syt14",1,"Regular (>50bp)","chr1:192581158-192581215",0.138
"ENSMUSG00000016346","Kcnq2",1,"Microexon (0-30bp)","chr2:180745434-180745464",0.153
"ENSMUSG00000016664","Pacsin2",1,"Microexon (0-30bp)","chr15:83267823-83267829",0.132
"ENSMUSG00000017210","Med24",1,"Regular (>50bp)","chr11:98608534-98608591",0.179
"ENSMUSG00000017307","Acot8",1,"Regular (>50bp)","chr2:164644916-164645053",-0.168
"ENSMUSG00000017421","Zfp207",1,"Regular (>50bp)","chr11:80283909-80284002",-0.118
"ENSMUSG00000017478","Zc3h18",1,"Regular (>50bp)","chr8:123114431-123114503",0.143
"ENSMUSG00000017652","Cd40",1,"Small (30-50bp)","chr2:164911736-164911768",-0.152
"ENSMUSG00000017677","Wsb1",1,"Regular (>50bp)","chr11:79134225-79134401",-0.281
"ENSMUSG00000018334","Ksr1",1,"Small (30-50bp)","chr11:78921906-78921948",0.203
"ENSMUSG00000018428","Akap1",1,"Regular (>50bp)","chr11:88734415-88734522",-0.427
"ENSMUSG00000018537","Pcgf2",1,"Regular (>50bp)","chr11:97590031-97590126",-0.328
"ENSMUSG00000018820","Zfyve27",1,"Microexon (0-30bp)","chr19:42174058-42174079",0.131
"ENSMUSG00000018865","Sult4a1",1,"Regular (>50bp)","chr15:83962969-83963098",0.201
"ENSMUSG00000018986","Slfn3",1,"Regular (>50bp)","chr11:83084868-83085035",-0.152
"ENSMUSG00000018999","Slc35b4",1,"Regular (>50bp)","chr6:34149562-34149690",-0.138
"ENSMUSG00000019732","Calr3",1,"Regular (>50bp)","chr8:73181005-73181137",0.128
"ENSMUSG00000020078","Vps26a",1,"Regular (>50bp)","chr10:62305679-62305836",-0.216
"ENSMUSG00000020151","Ptprr",1,"Regular (>50bp)","chr10:116013622-116013733",0.427
"ENSMUSG00000020198","Ap3d1",1,"Regular (>50bp)","chr10:80545922-80546126",-0.228
"ENSMUSG00000020220","Vps13d",1,"Regular (>50bp)","chr4:144830183-144830258",0.21
"ENSMUSG00000020231","Dip2a",1,"Microexon (0-30bp)","chr10:76107209-76107239",0.168
"ENSMUSG00000020250","Txnrd1",1,"Regular (>50bp)","chr10:82708771-82709109",-0.218
"ENSMUSG00000020284","Cfap410",1,"Regular (>50bp)","chr10:77815586-77815885",-0.317
"ENSMUSG00000020400","Tnip1",1,"Regular (>50bp)","chr11:54831536-54831708",-0.105
"ENSMUSG00000020409","Slu7",1,"Regular (>50bp)","chr11:43327180-43327259",0.139
"ENSMUSG00000020451","Limk2",1,"Small (30-50bp)","chr11:3311782-3311825",-0.127
"ENSMUSG00000020454","Eif4enif1",1,"Regular (>50bp)","chr11:3183987-3184059",0.102
"ENSMUSG00000020458","Rtn4",1,"Regular (>50bp)","chr11:29656409-29658770",-0.197
"ENSMUSG00000020527","Myo19",1,"Regular (>50bp)","chr11:84788184-84788289",-0.162
"ENSMUSG00000020646","Mboat2",1,"Regular (>50bp)","chr12:24974197-24974293",-0.22
"ENSMUSG00000020680","Taf15",1,"Regular (>50bp)","chr11:83379750-83379871",-0.286
"ENSMUSG00000020717","Pecam1",1,"Regular (>50bp)","chr11:106571857-106571911",0.118
"ENSMUSG00000020732","Rab37",1,"Regular (>50bp)","chr11:115051263-115051340",-0.178
"ENSMUSG00000020859","Spag9",1,"Microexon (0-30bp)","chr11:93970024-93970036",0.196
"ENSMUSG00000021012","Zc3h14",1,"Regular (>50bp)","chr12:98745366-98745526",-0.101
"ENSMUSG00000021033","Gstz1",1,"Regular (>50bp)","chr12:87202246-87202343",0.142
"ENSMUSG00000021198","Unc79",1,"Microexon (0-30bp)","chr12:103016153-103016182",0.285
"ENSMUSG00000021276","Cinp",1,"Regular (>50bp)","chr12:110843656-110843806",-0.331
"ENSMUSG00000021375","Kif13a",1,"Microexon (0-30bp)","chr13:47018294-47018307",0.115
"ENSMUSG00000021413","Prpf4b",1,"Regular (>50bp)","chr13:35083297-35083438",-0.234
"ENSMUSG00000021427","Ssr1",1,"Microexon (0-30bp)","chr13:38167070-38167085",0.156
"ENSMUSG00000021432","Slc35b3",1,"Regular (>50bp)","chr13:39128475-39128630",-0.124
"ENSMUSG00000021461","Fancc",1,"Regular (>50bp)","chr13:63508009-63508074",-0.193
"ENSMUSG00000021482","Prxl2c",1,"Regular (>50bp)","chr13:64445068-64445200",0.127
"ENSMUSG00000021495","Fam193b",1,"Regular (>50bp)","chr13:55712332-55712393",-0.11
"ENSMUSG00000021548","Ccnh",1,"Regular (>50bp)","chr13:85345469-85345680",-0.285
"ENSMUSG00000021557","Agtpbp1",1,"Small (30-50bp)","chr13:59665466-59665504",0.119
"ENSMUSG00000021686","Ap3b1",1,"Small (30-50bp)","chr13:94680491-94680530",0.15
"ENSMUSG00000021693","Kif2a",1,"Regular (>50bp)","chr13:107106211-107106325",-0.145
"ENSMUSG00000021747","Cfap20dc",1,"Regular (>50bp)","chr14:13987152-13987356",-0.108
"ENSMUSG00000021782","Dlg5",1,"Regular (>50bp)","chr14:24252365-24252434",0.159
"ENSMUSG00000021809","Nudt13",1,"Regular (>50bp)","chr14:20345155-20345334",-0.134
"ENSMUSG00000021832","Psmc6",1,"Regular (>50bp)","chr14:45567822-45567978",-0.2
"ENSMUSG00000021838","Samd4",1,"Regular (>50bp)","chr14:47290306-47290570",-0.15
"ENSMUSG00000021843","Ktn1",1,"Regular (>50bp)","chr14:47963385-47963457",-0.143
"ENSMUSG00000021895","Arhgef3",1,"Regular (>50bp)","chr14:26865949-26866087",-0.238
"ENSMUSG00000021902","Phf7",1,"Regular (>50bp)","chr14:30961076-30961193",0.114
"ENSMUSG00000021903","Galnt15",1,"Regular (>50bp)","chr14:31765045-31765250",-0.171
"ENSMUSG00000021969","Zdhhc20",1,"Small (30-50bp)","chr14:58087601-58087637",0.196
"ENSMUSG00000021972","Hmbox1",1,"Regular (>50bp)","chr14:65062747-65062819",-0.127
"ENSMUSG00000022099","Dmtn",1,"Regular (>50bp)","chr14:70842736-70842802",-0.117
"ENSMUSG00000022228","Zscan26",1,"Regular (>50bp)","chr13:21633443-21633503",-0.195
"ENSMUSG00000022307","Oxr1",1,"Regular (>50bp)","chr15:41712065-41712146",0.246
"ENSMUSG00000022329","Stk3",1,"Microexon (0-30bp)","chr15:35115083-35115104",0.135
"ENSMUSG00000022353","Mtss1",1,"Regular (>50bp)","chr15:58819174-58819369",0.177
"ENSMUSG00000022359","Wdyhv1",1,"Regular (>50bp)","chr15:58015992-58016141",0.11
"ENSMUSG00000022378","Cyrib",1,"Regular (>50bp)","chr15:63829433-63829516",0.128
"ENSMUSG00000022386","Trmu",1,"Regular (>50bp)","chr15:85778378-85778484",-0.163
"ENSMUSG00000022420","Dnal4",1,"Regular (>50bp)","chr15:79649987-79650054",0.119
"ENSMUSG00000022453","Naga",1,"Regular (>50bp)","chr15:82220970-82221142",-0.102
"ENSMUSG00000022487","Gtsf1",1,"Regular (>50bp)","chr15:103338603-103338684",-0.166
"ENSMUSG00000022498","Txndc11",1,"Regular (>50bp)","chr16:10911679-10911792",0.108
"ENSMUSG00000022517","Mgrn1",1,"Small (30-50bp)","chr16:4752058-4752103",0.14
"ENSMUSG00000022558","Mroh1",1,"Regular (>50bp)","chr15:76274230-76274327",0.247
"ENSMUSG00000022565","Plec",1,"Small (30-50bp)","chr15:76078165-76078201",0.101
"ENSMUSG00000022568","Scrib",1,"Regular (>50bp)","chr15:75921305-75921389",-0.132
"ENSMUSG00000022574","Naprt",1,"Regular (>50bp)","chr15:75763811-75763896",-0.293
"ENSMUSG00000022604","Cep97",1,"Regular (>50bp)","chr16:55742433-55742600",0.111
"ENSMUSG00000022623","Shank3",1,"Microexon (0-30bp)","chr15:89422217-89422241",0.129
"ENSMUSG00000022635","Zcrb1",1,"Microexon (0-30bp)","chr15:93293467-93293496",-0.163
"ENSMUSG00000022674","Ube2v2",1,"Regular (>50bp)","chr16:15411554-15411622",0.129
"ENSMUSG00000022701","Ccdc191",1,"Small (30-50bp)","chr16:43712515-43712554",0.186
"ENSMUSG00000022791","Tnk2",1,"Regular (>50bp)","chr16:32499723-32499813",-0.106
"ENSMUSG00000022801","Lrch3",1,"Regular (>50bp)","chr16:32829558-32829806",0.182
"ENSMUSG00000022837","Iqcb1",1,"Regular (>50bp)","chr16:36649365-36649435",-0.139
"ENSMUSG00000022871","Fetub",1,"Regular (>50bp)","chr16:22747824-22748059",-0.102
"ENSMUSG00000022890","Atp5j",1,"Regular (>50bp)","chr16:84630707-84630762",-0.108
"ENSMUSG00000022992","Kansl2",1,"Regular (>50bp)","chr15:98429203-98429318",-0.107
"ENSMUSG00000023008","Fmnl3",1,"Regular (>50bp)","chr15:99226974-99227057",-0.157
"ENSMUSG00000023015","Racgap1",1,"Regular (>50bp)","chr15:99541273-99541404",-0.147
"ENSMUSG00000023044","Csad",1,"Regular (>50bp)","chr15:102086961-102087051",-0.112
"ENSMUSG00000023051","Tarbp2",1,"Regular (>50bp)","chr15:102428909-102429012",-0.142
"ENSMUSG00000023072","Cep89",1,"Regular (>50bp)","chr7:35129339-35129536",-0.129
"ENSMUSG00000023953","Polh",1,"Regular (>50bp)","chr17:46505127-46505342",-0.176
"ENSMUSG00000023977","Ubr2",1,"Regular (>50bp)","chr17:47291245-47291344",-0.15
"ENSMUSG00000024050","Wiz",1,"Regular (>50bp)","chr17:32581766-32581937",-0.17
"ENSMUSG00000024073","Birc6",1,"Regular (>50bp)","chr17:74901316-74901448",-0.125
"ENSMUSG00000024150","Mcfd2",1,"Regular (>50bp)","chr17:87571568-87571793",-0.284
"ENSMUSG00000024163","Mapk8ip3",1,"Microexon (0-30bp)","chr17:25127384-25127402",0.149
"ENSMUSG00000024238","Zeb1",1,"Regular (>50bp)","chr18:5633203-5633357",0.273
"ENSMUSG00000024273","2700062C07Rik",1,"Microexon (0-30bp)","chr18:24604118-24604141",-0.102
"ENSMUSG00000024301","Kifc5b",1,"Regular (>50bp)","chr17:27140780-27140834",0.121
"ENSMUSG00000024357","Sil1",1,"Regular (>50bp)","chr18:35626197-35626286",-0.151
"ENSMUSG00000024462","Gabbr1",1,"Regular (>50bp)","chr17:37360544-37360689",0.359
"ENSMUSG00000024480","Ap3s1",1,"Small (30-50bp)","chr18:46916825-46916866",-0.757
"ENSMUSG00000024485","Slc4a9",1,"Small (30-50bp)","chr18:36662739-36662789",0.264
"ENSMUSG00000024603","Dctn4",1,"Microexon (0-30bp)","chr18:60678428-60678449",0.164
"ENSMUSG00000024663","Rab3il1",1,"Regular (>50bp)","chr19:10005648-10005867",0.181
"ENSMUSG00000024908","Ppp6r3",1,"Microexon (0-30bp)","chr19:3509746-3509764",0.211
"ENSMUSG00000024969","Mark2",1,"Regular (>50bp)","chr19:7318532-7318619",0.155
"ENSMUSG00000025137","Pcyt2",1,"Regular (>50bp)","chr11:120503671-120503909",-0.138
"ENSMUSG00000025161","Slc16a3",1,"Regular (>50bp)","chr11:120844999-120845094",0.118
"ENSMUSG00000025165","Sectm1a",1,"Regular (>50bp)","chr11:120959860-120959914",0.276
"ENSMUSG00000025261","Huwe1",1,"Regular (>50bp)","chrX:150587441-150587536",-0.208
"ENSMUSG00000025420","Katnal2",1,"Regular (>50bp)","chr18:77099685-77099800",0.151
"ENSMUSG00000025464","Paox",1,"Regular (>50bp)","chr7:139707420-139707620",-0.104
"ENSMUSG00000025485","Ric8a",1,"Regular (>50bp)","chr7:140437894-140438185",-0.42
"ENSMUSG00000025558","Dock9",1,"Small (30-50bp)","chr14:121797336-121797372",0.19
"ENSMUSG00000025728","Pigq",1,"Regular (>50bp)","chr17:26153067-26153247",-0.281
"ENSMUSG00000025762","Larp1b",1,"Regular (>50bp)","chr3:40916603-40916663",0.113
"ENSMUSG00000025894","Aasdhppt",1,"Regular (>50bp)","chr9:4303093-4303215",-0.116
"ENSMUSG00000025920","Stau2",1,"Regular (>50bp)","chr1:16301226-16301315",-0.106
"ENSMUSG00000025950","Idh1",1,"Regular (>50bp)","chr1:65220786-65220857",-0.307
"ENSMUSG00000026029","Casp8",1,"Regular (>50bp)","chr1:58843157-58843273",0.101
"ENSMUSG00000026074","Map4k4",1,"Regular (>50bp)","chr1:40042922-40043147",0.111
"ENSMUSG00000026082","Rev1",1,"Regular (>50bp)","chr1:38147484-38147548",-0.111
"ENSMUSG00000026096","Osgepl1",1,"Regular (>50bp)","chr1:53360654-53360726",-0.169
"ENSMUSG00000026150","Mff",1,"Small (30-50bp)","chr1:82723244-82723277",0.146
"ENSMUSG00000026179","Pnkd",1,"Regular (>50bp)","chr1:74326250-74326367",0.117
"ENSMUSG00000026189","Pecr",1,"Regular (>50bp)","chr1:72315324-72315490",-0.124
"ENSMUSG00000026276","Septin2",1,"Regular (>50bp)","chr1:93407185-93407321",-0.169
"ENSMUSG00000026313","Hdac4",1,"Regular (>50bp)","chr1:92019453-92019540",-0.211
"ENSMUSG00000026388","3110009E18Rik",1,"Regular (>50bp)","chr1:120092494-120092612",-0.105
"ENSMUSG00000026490","Cdc42bpa",1,"Small (30-50bp)","chr1:179946300-179946348",0.18
"ENSMUSG00000026737","Pip4k2a",1,"Small (30-50bp)","chr2:18870922-18870961",-0.154
"ENSMUSG00000026767","Mindy3",1,"Regular (>50bp)","chr2:12400989-12401069",-0.136
"ENSMUSG00000026773","Pfkfb3",1,"Regular (>50bp)","chr2:11480564-11480617",0.127
"ENSMUSG00000026781","Acbd5",1,"Small (30-50bp)","chr2:22970679-22970712",0.171
"ENSMUSG00000026825","Dnm1",1,"Small (30-50bp)","chr2:32200462-32200499",-0.104
"ENSMUSG00000026853","Crat",1,"Regular (>50bp)","chr2:30303871-30304008",0.102
"ENSMUSG00000026860","Sh3glb2",1,"Microexon (0-30bp)","chr2:30239237-30239249",0.228
"ENSMUSG00000026867","Gapvd1",1,"Regular (>50bp)","chr2:34612949-34613030",0.177
"ENSMUSG00000026873","Phf19",1,"Regular (>50bp)","chr2:34788935-34789023",-0.179
"ENSMUSG00000026946","Nmi",1,"Small (30-50bp)","chr2:51862599-51862639",0.198
"ENSMUSG00000026959","Grin1",1,"Regular (>50bp)","chr2:25184449-25184560",0.151
"ENSMUSG00000026977","Marchf7",1,"Microexon (0-30bp)","chr2:60077831-60077856",0.187
"ENSMUSG00000026999","Nup35",1,"Small (30-50bp)","chr2:80454669-80454704",-0.356
"ENSMUSG00000027001","Dusp19",1,"Regular (>50bp)","chr2:80451537-80452144",0.124
"ENSMUSG00000027012","Dync1i2",1,"Regular (>50bp)","chr2:71063992-71064052",0.172
"ENSMUSG00000027071","P2rx3",1,"Regular (>50bp)","chr2:84854459-84854517",-0.104
"ENSMUSG00000027130","Slc12a6",1,"Small (30-50bp)","chr2:112146585-112146630",0.131
"ENSMUSG00000027201","Myef2",1,"Regular (>50bp)","chr2:124952399-124952591",-0.119
"ENSMUSG00000027207","Galk2",1,"Regular (>50bp)","chr2:125712245-125712381",0.194
"ENSMUSG00000027247","Arhgap1",1,"Regular (>50bp)","chr2:91482108-91482168",0.17
"ENSMUSG00000027273","Snap25",1,"Regular (>50bp)","chr2:136611662-136611780",-0.111
"ENSMUSG00000027281","Slx4ip",1,"Regular (>50bp)","chr2:136846853-136846974",-0.22
"ENSMUSG00000027284","Cdan1",1,"Small (30-50bp)","chr2:120560949-120560983",-0.264
"ENSMUSG00000027356","Fermt1",1,"Regular (>50bp)","chr2:132781201-132781435",0.278
"ENSMUSG00000027478","Dnmt3b",1,"Regular (>50bp)","chr2:153526278-153526397",-0.127
"ENSMUSG00000027506","Tpd52",1,"Microexon (0-30bp)","chr3:9008610-9008637",0.314
"ENSMUSG00000027523","Gnas",1,"Microexon (0-30bp)","chr2:174169900-174169924",0.15
"ENSMUSG00000027550","Lrrcc1",1,"Regular (>50bp)","chr3:14619363-14619565",0.119
"ENSMUSG00000027575","Arfgap1",1,"Regular (>50bp)","chr2:180620963-180621020",-0.183
"ENSMUSG00000027615","Hps3",1,"Regular (>50bp)","chr3:20084722-20084969",-0.122
"ENSMUSG00000027624","Epb41l1",1,"Regular (>50bp)","chr2:156366800-156367208",0.112
"ENSMUSG00000027630","Tbl1xr1",1,"Regular (>50bp)","chr3:22143576-22143686",-0.127
"ENSMUSG00000027634","Ndrg3",1,"Small (30-50bp)","chr2:156771851-156771890",0.113
"ENSMUSG00000027646","Src",1,"Microexon (0-30bp)","chr2:157300762-157300780",0.119
"ENSMUSG00000027677","Ttc14",1,"Regular (>50bp)","chr3:33857598-33857754",-0.105
"ENSMUSG00000027692","Tnik",1,"Microexon (0-30bp)","chr3:28679347-28679371",0.176
"ENSMUSG00000027708","Dcun1d1",1,"Regular (>50bp)","chr3:35973149-35973318",-0.117
"ENSMUSG00000027763","Mbnl1",1,"Regular (>50bp)","chr3:60522103-60522157",0.146
"ENSMUSG00000027799","Nbea",1,"Microexon (0-30bp)","chr3:55901468-55901477",0.201
"ENSMUSG00000028013","Ppa2",1,"Regular (>50bp)","chr3:133045023-133045110",-0.221
"ENSMUSG00000028033","Kcnq5",1,"Microexon (0-30bp)","chr1:21536606-21536633",0.353
"ENSMUSG00000028106","Rprd2",1,"Regular (>50bp)","chr3:95693631-95693763",0.27
"ENSMUSG00000028207","Asph",1,"Small (30-50bp)","chr4:9637658-9637703",0.119
"ENSMUSG00000028232","Tmem68",1,"Regular (>50bp)","chr4:3554353-3554414",0.133
"ENSMUSG00000028256","Odf2l",1,"Regular (>50bp)","chr3:144832783-144832912",0.141
"ENSMUSG00000028312","Smc2",1,"Regular (>50bp)","chr4:52440200-52440423",0.107
"ENSMUSG00000028433","Ubap2",1,"Small (30-50bp)","chr4:41245455-41245492",0.109
"ENSMUSG00000028487","Bnc2",1,"Regular (>50bp)","chr4:84209929-84211899",0.136
"ENSMUSG00000028545","Bend5",1,"Regular (>50bp)","chr4:111311281-111311495",0.162
"ENSMUSG00000028546","Elavl4",1,"Regular (>50bp)","chr4:110112615-110112702",-0.208
"ENSMUSG00000028550","Atg4c",1,"Regular (>50bp)","chr4:99116792-99116871",0.143
"ENSMUSG00000028565","Nfia",1,"Regular (>50bp)","chr4:97969961-97970053",0.238
"ENSMUSG00000028631","Kcnq4",1,"Regular (>50bp)","chr4:120568419-120568581",0.294
"ENSMUSG00000028687","Mutyh",1,"Regular (>50bp)","chr4:116673158-116673232",-0.14
"ENSMUSG00000028693","Nasp",1,"Regular (>50bp)","chr4:116467599-116468574",-0.253
"ENSMUSG00000028744","Slc66a1",1,"Regular (>50bp)","chr4:139023084-139023244",-0.155
"ENSMUSG00000028751","Pla2g2e",1,"Regular (>50bp)","chr4:138606733-138606807",0.219
"ENSMUSG00000028760","Eif4g3",1,"Regular (>50bp)","chr4:137811567-137811681",-0.183
"ENSMUSG00000028785","Hpca",1,"Regular (>50bp)","chr4:129013942-129013993",0.133
"ENSMUSG00000028796","Phc2",1,"Regular (>50bp)","chr4:128635708-128635877",-0.202
"ENSMUSG00000028803","Nipal3",1,"Small (30-50bp)","chr4:135182183-135182215",0.158
"ENSMUSG00000028886","Eya3",1,"Small (30-50bp)","chr4:132384888-132384927",0.204
"ENSMUSG00000028919","Arhgef19",1,"Regular (>50bp)","chr4:140973256-140973363",-0.18
"ENSMUSG00000028931","Kcnab2",1,"Small (30-50bp)","chr4:152519238-152519280",0.133
"ENSMUSG00000028995","Hycc1",1,"Regular (>50bp)","chr5:24171131-24171429",-0.161
"ENSMUSG00000029001","Fbxo44",1,"Regular (>50bp)","chr4:148240851-148240947",-0.149
"ENSMUSG00000029022","Miip",1,"Regular (>50bp)","chr4:147947484-147947593",-0.108
"ENSMUSG00000029055","Plch2",1,"Microexon (0-30bp)","chr4:155069822-155069849",0.144
"ENSMUSG00000029127","Zbtb49",1,"Small (30-50bp)","chr5:38367961-38368008",0.149
"ENSMUSG00000029148","Nrbp1",1,"Microexon (0-30bp)","chr5:31403665-31403689",0.114
"ENSMUSG00000029152","Ociad1",1,"Small (30-50bp)","chr5:73451308-73451353",-0.116
"ENSMUSG00000029165","Agbl5",1,"Regular (>50bp)","chr5:31048217-31048304",-0.115
"ENSMUSG00000029206","Nsun7",1,"Regular (>50bp)","chr5:66421351-66421410",-0.508
"ENSMUSG00000029208","Guf1",1,"Regular (>50bp)","chr5:69720425-69720565",0.123
"ENSMUSG00000029221","Slc30a9",1,"Regular (>50bp)","chr5:67491848-67492011",0.167
"ENSMUSG00000029328","Hnrnpdl",1,"Regular (>50bp)","chr5:100183493-100183598",-0.135
"ENSMUSG00000029405","G3bp2",1,"Regular (>50bp)","chr5:92211195-92211294",0.121
"ENSMUSG00000029422","Rsrc2",1,"Regular (>50bp)","chr5:123884834-123884933",-0.133
"ENSMUSG00000029461","Fam168a",1,"Microexon (0-30bp)","chr7:100467942-100467969",-0.191
"ENSMUSG00000029470","P2rx4",1,"Regular (>50bp)","chr5:122862656-122862737",0.112
"ENSMUSG00000029478","Ncor2",1,"Regular (>50bp)","chr5:125097023-125097110",-0.145
"ENSMUSG00000029505","Ep400",1,"Regular (>50bp)","chr5:110848387-110848630",0.188
"ENSMUSG00000029528","Pxn",1,"Regular (>50bp)","chr5:115686340-115687171",0.501
"ENSMUSG00000029534","St7",1,"Regular (>50bp)","chr6:17850355-17850424",0.107
"ENSMUSG00000029538","Srsf9",1,"Regular (>50bp)","chr5:115466405-115466763",0.109
"ENSMUSG00000029635","Cdk8",1,"Regular (>50bp)","chr5:146205024-146205096",0.127
"ENSMUSG00000029673","Auts2",1,"Regular (>50bp)","chr5:131494869-131494965",-0.256
"ENSMUSG00000029676","Pot1a",1,"Small (30-50bp)","chr6:25798007-25798054",-0.18
"ENSMUSG00000029712","Actl6b",1,"Regular (>50bp)","chr5:137552774-137552940",0.179
"ENSMUSG00000029716","Tfr2",1,"Regular (>50bp)","chr5:137577140-137577304",0.13
"ENSMUSG00000029767","Calu",1,"Regular (>50bp)","chr6:29361558-29361752",-0.112
"ENSMUSG00000029780","Nt5c3",1,"Small (30-50bp)","chr6:56900051-56900097",0.166
"ENSMUSG00000029810","Tmem176b",1,"Regular (>50bp)","chr6:48817294-48817387",0.225
"ENSMUSG00000029863","Casp2",1,"Regular (>50bp)","chr6:42253803-42253864",0.378
"ENSMUSG00000029916","Agk",1,"Regular (>50bp)","chr6:40331947-40332027",-0.371
"ENSMUSG00000029924","Slc37a3",1,"Regular (>50bp)","chr6:39349012-39349071",0.136
"ENSMUSG00000030016","Zfp638",1,"Regular (>50bp)","chr6:83934490-83934574",0.133
"ENSMUSG00000030060","Hmces",1,"Regular (>50bp)","chr6:87909840-87909964",-0.17
"ENSMUSG00000030254","Rad18",1,"Regular (>50bp)","chr6:112605422-112605485",0.107
"ENSMUSG00000030263","Irag2",1,"Small (30-50bp)","chr6:145083771-145083812",0.4
"ENSMUSG00000030279","C2cd5",1,"Small (30-50bp)","chr6:143011911-143011944",0.132
"ENSMUSG00000030281","Il17rc",1,"Small (30-50bp)","chr6:113451513-113451558",0.114
"ENSMUSG00000030304","Ergic2",1,"Regular (>50bp)","chr6:148092416-148092521",-0.109
"ENSMUSG00000030314","Atg7",1,"Regular (>50bp)","chr6:114649751-114649804",0.246
"ENSMUSG00000030345","Dyrk4",1,"Regular (>50bp)","chr6:126869046-126869183",0.111
"ENSMUSG00000030406","Gipr",1,"Regular (>50bp)","chr7:18894519-18894679",-0.159
"ENSMUSG00000030409","Dmpk",1,"Regular (>50bp)","chr7:18821418-18821625",-0.109
"ENSMUSG00000030498","Gas2",1,"Regular (>50bp)","chr7:51581111-51581174",0.143
"ENSMUSG00000030509","Asb7",1,"Regular (>50bp)","chr7:66327904-66327993",-0.118
"ENSMUSG00000030660","Pik3c2a",1,"Regular (>50bp)","chr7:116041825-116041913",0.115
"ENSMUSG00000030688","Stard10",1,"Regular (>50bp)","chr7:100992390-100992494",0.239
"ENSMUSG00000030691","Fchsd2",1,"Regular (>50bp)","chr7:100895508-100895580",0.12
"ENSMUSG00000030846","Tial1",1,"Regular (>50bp)","chr7:128048454-128048522",-0.105
"ENSMUSG00000030852","Tacc2",1,"Regular (>50bp)","chr7:130346256-130346346",0.125
"ENSMUSG00000030922","Lyrm1",1,"Regular (>50bp)","chr7:119499333-119499531",0.351
"ENSMUSG00000030924","Rexo5",1,"Regular (>50bp)","chr7:119423267-119423362",0.105
"ENSMUSG00000030960","Eef1akmt2",1,"Regular (>50bp)","chr7:132433088-132433305",-0.111
"ENSMUSG00000030987","Stim1",1,"Small (30-50bp)","chr7:102082403-102082440",0.188
"ENSMUSG00000030990","Pgap2",1,"Regular (>50bp)","chr7:101872585-101872697",0.105
"ENSMUSG00000031078","Cttn",1,"Regular (>50bp)","chr7:144005763-144005874",-0.138
"ENSMUSG00000031105","Slc25a14",1,"Small (30-50bp)","chrX:47717012-47717060",0.299
"ENSMUSG00000031150","Ccdc120",1,"Regular (>50bp)","chrX:7601310-7601409",0.103
"ENSMUSG00000031314","Taf1",1,"Microexon (0-30bp)","chrX:100634339-100634345",0.201
"ENSMUSG00000031485","Plpbp",1,"Regular (>50bp)","chr8:27539201-27539336",-0.104
"ENSMUSG00000031488","Rab11fip1",1,"Regular (>50bp)","chr8:27641624-27643187",0.102
"ENSMUSG00000031502","Col4a1",1,"Microexon (0-30bp)","chr8:11254535-11254552",0.116
"ENSMUSG00000031508","Ankrd10",1,"Regular (>50bp)","chr8:11670261-11670373",0.12
"ENSMUSG00000031774","Psme3ip1",1,"Regular (>50bp)","chr8:95317800-95317916",0.36
"ENSMUSG00000031819","Emc8",1,"Regular (>50bp)","chr8:121387232-121387409",-0.243
"ENSMUSG00000031842","Pde4c",1,"Regular (>50bp)","chr8:71201016-71201171",-0.141
"ENSMUSG00000031860","Pbx4",1,"Regular (>50bp)","chr8:70316961-70317200",-0.176
"ENSMUSG00000031872","Bean1",1,"Regular (>50bp)","chr8:104908642-104908751",0.127
"ENSMUSG00000031959","Wdr59",1,"Regular (>50bp)","chr8:112199261-112199318",0.118
"ENSMUSG00000032182","Yipf2",1,"Regular (>50bp)","chr9:21503823-21503884",0.216
"ENSMUSG00000032212","Sltm",1,"Small (30-50bp)","chr9:70470095-70470143",-0.132
"ENSMUSG00000032254","Kif23",1,"Regular (>50bp)","chr9:61831186-61831498",-0.186
"ENSMUSG00000032258","Lca5",1,"Regular (>50bp)","chr9:83310932-83311001",0.199
"ENSMUSG00000032366","Tpm1",1,"Regular (>50bp)","chr9:66936945-66937024",-0.11
"ENSMUSG00000032412","Atp1b3",1,"Regular (>50bp)","chr9:96222254-96222439",-0.144
"ENSMUSG00000032423","Syncrip",1,"Regular (>50bp)","chr9:88362658-88362818",-0.109
"ENSMUSG00000032425","Zfp949",1,"Regular (>50bp)","chr9:88434714-88434914",-0.105
"ENSMUSG00000032463","Faim",1,"Regular (>50bp)","chr9:98872967-98873024",0.182
"ENSMUSG00000032479","Map4",1,"Regular (>50bp)","chr9:109893295-109893517",0.134
"ENSMUSG00000032570","Atp2c1",1,"Microexon (0-30bp)","chr9:105370741-105370753",0.168
