VastDB.ID,gene,Ptbp1.dPSI,Ptbp1.signif,Srrm4.dPSI,Srrm4.signif,Srrm3.Srrm4.dPSI,Srrm3.Srrm4.signif,Srsf11.dPSI,Srsf11.signif,Rbfox2.dPSI,Rbfox2.signif,Srrm3.dPSI,Srrm3.signif,Rnps1.dPSI,Rnps1.signif
MmuEX0042159,Sh3bp1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0042160,Sh3bp1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0016327,Efcab6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0003856,Adamts20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0003857,Adamts20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0003858,Adamts20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0003859,Adamts20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0041722,Sept3,-2,n.s.,-0.8,n.s.,-1,n.s.,NA,n.s.,NA,n.s.,3,n.s.,5,n.s.
MmuEX0041723,Sept3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038781,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038782,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038783,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038784,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038785,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038786,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038787,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038788,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038789,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038790,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038791,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038792,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038793,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038794,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038795,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038796,Rapgef3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052446,Xrcc6,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0052447,Xrcc6,0,n.s.,0.2,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0052448,Xrcc6,-1,n.s.,0.4,n.s.,1,n.s.,-1,n.s.,1,n.s.,1,n.s.,-2,n.s.
MmuEX0052449,Xrcc6,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0052450,Xrcc6,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0052451,Xrcc6,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0036883,Pppde2,3,n.s.,2.3,n.s.,2,n.s.,-2,n.s.,3,n.s.,0,n.s.,-1,n.s.
MmuEX0035976,Pmm1,-1,n.s.,0,n.s.,-1,n.s.,-1,n.s.,NA,n.s.,-1,n.s.,0,n.s.
MmuEX0035977,Pmm1,0,n.s.,-0.1,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0022513,Hdac7,5,n.s.,-9.9,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,-3,n.s.,-5,n.s.
MmuEX0022514,Hdac7,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.
MmuEX0022515,Hdac7,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0022516,Hdac7,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0022194,Gtsf1,NA,NA,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,NA
MmuEX0022195,Gtsf1,NA,NA,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,NA
MmuEX0036715,Ppp1r1a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0042296,Shisa9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0049967,Txndc11,1,n.s.,1,n.s.,0,n.s.,-13,lower,-5,n.s.,0,n.s.,-1,n.s.
MmuEX0049968,Txndc11,13,higher,0,n.s.,7,n.s.,-1,n.s.,2,n.s.,0,n.s.,-1,n.s.
MmuEX0049969,Txndc11,-11,n.s.,4.9,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0049970,Txndc11,2,n.s.,0.6,n.s.,3,n.s.,3,n.s.,4,n.s.,-3,n.s.,3,n.s.
MmuEX0011431,Ciita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0011432,Ciita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0005202,Anks3,-1,n.s.,-0.7,n.s.,0,n.s.,5,n.s.,-6,n.s.,-3,n.s.,-15,lower
MmuEX0005203,Anks3,0,n.s.,0.4,n.s.,0,n.s.,1,n.s.,0,n.s.,0,n.s.,-2,n.s.
MmuEX0005204,Anks3,NA,n.s.,-1.8,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,-1,n.s.,1,n.s.
MmuEX0005205,Anks3,4,n.s.,-3.4,n.s.,9,n.s.,13,n.s.,-2,n.s.,-4,n.s.,-5,n.s.
MmuEX0005206,Anks3,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0005207,Anks3,NA,n.s.,NA,n.s.,NA,n.s.,5,n.s.,-12,n.s.,NA,n.s.,NA,NA
MmuEX0005208,Anks3,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0005209,Anks3,NA,n.s.,NA,n.s.,-1,n.s.,-3,n.s.,-1,n.s.,0,n.s.,7,n.s.
MmuEX0005210,Anks3,0,n.s.,-1.2,n.s.,1,n.s.,0,n.s.,0,n.s.,-1,n.s.,0,n.s.
MmuEX0005211,Anks3,1,n.s.,0.8,n.s.,0,n.s.,1,n.s.,-4,n.s.,-1,n.s.,-6,n.s.
MmuEX0005212,Anks3,0,n.s.,-1.2,n.s.,-1,n.s.,-1,n.s.,-3,n.s.,-1,n.s.,-8,n.s.
MmuEX0028930,Mgrn1,1,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0028931,Mgrn1,2,n.s.,-0.5,n.s.,-4,n.s.,-1,n.s.,-8,n.s.,-1,n.s.,-10,lower
MmuEX0023263,Hrasls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0053122,Zfp251,0,n.s.,0.3,n.s.,0,n.s.,0,n.s.,-3,n.s.,0,n.s.,2,n.s.
MmuEX0053123,Zfp251,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0053129,Zfp263,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0053130,Zfp263,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0053131,Zfp263,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0053132,Zfp263,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0006790,Atp13a3,-1,n.s.,-0.2,n.s.,0,n.s.,-1,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0006791,Atp13a3,1,n.s.,-1.4,n.s.,-7,n.s.,-20,lower,-33,lower,-4,n.s.,-19,lower
MmuEX0020633,Glyr1,1,n.s.,-1.1,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,0,n.s.,-5,n.s.
MmuEX0020634,Glyr1,1,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,0,n.s.,NA,n.s.
MmuEX0047977,Tmem44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0047978,Tmem44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0047979,Tmem44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0047980,Tmem44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0027193,Lsg1,-1,n.s.,-1.4,n.s.,0,n.s.,-2,n.s.,0,n.s.,1,n.s.,-2,n.s.
MmuEX0027194,Lsg1,1,n.s.,-0.3,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,0,n.s.,0,n.s.
MmuEX0040290,Rogdi,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0040291,Rogdi,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0040292,Rogdi,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0040293,Rogdi,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0040294,Rogdi,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0040295,Rogdi,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0040296,Rogdi,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0018493,Fam86,1,n.s.,0.4,n.s.,-1,n.s.,0,n.s.,0,n.s.,-5,n.s.,-2,n.s.
MmuEX0023332,Hsf1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0023333,Hsf1,0,n.s.,-1.7,n.s.,0,n.s.,4,n.s.,-4,n.s.,0,n.s.,-17,lower
MmuEX0023334,Hsf1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0023335,Hsf1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,NA
MmuEX0023336,Hsf1,1,n.s.,-2.8,n.s.,-2,n.s.,4,n.s.,-10,n.s.,0,n.s.,-14,lower
MmuEX0022637,Heatr7a,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,-1,n.s.,NA,n.s.
MmuEX0022638,Heatr7a,0,n.s.,-2.1,n.s.,-2,n.s.,-1,n.s.,-4,n.s.,-2,n.s.,-1,n.s.
MmuEX0022639,Heatr7a,-23,lower,4.7,n.s.,6,n.s.,-2,n.s.,-17,n.s.,-2,n.s.,-6,n.s.
MmuEX0022640,Heatr7a,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0033110,Oplah,NA,n.s.,NA,n.s.,NA,NA,NA,NA,NA,n.s.,NA,NA,NA,NA
MmuEX0033111,Oplah,NA,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0033112,Oplah,NA,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0049390,Tsta3,0,n.s.,-0.4,n.s.,-1,n.s.,-1,n.s.,-1,n.s.,0,n.s.,0,n.s.
MmuEX0030882,Naprt1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0030883,Naprt1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0030884,Naprt1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0027371,Lynx1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0027372,Lynx1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0000421,1700016M24Rik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0000422,1700016M24Rik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0000423,1700016M24Rik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0000424,1700016M24Rik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0011040,Cep97,-2,n.s.,1.5,n.s.,1,n.s.,2,n.s.,-2,n.s.,0,n.s.,-13,n.s.
MmuEX0011041,Cep97,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0037738,Ptk2,7,n.s.,1.7,n.s.,-1,n.s.,-2,n.s.,-2,n.s.,0,n.s.,-7,n.s.
MmuEX0037739,Ptk2,2,n.s.,3,n.s.,1,n.s.,-5,n.s.,-1,n.s.,-1,n.s.,NA,n.s.
MmuEX0037740,Ptk2,-2,n.s.,4.7,n.s.,0,n.s.,-6,n.s.,-3,n.s.,-2,n.s.,-5,n.s.
MmuEX0037741,Ptk2,0,n.s.,-1.2,n.s.,-1,n.s.,0,n.s.,1,n.s.,-4,n.s.,-2,n.s.
MmuEX0037742,Ptk2,-2,n.s.,2.7,n.s.,1,n.s.,2,n.s.,0,n.s.,-1,n.s.,-2,n.s.
MmuEX0037743,Ptk2,-1,n.s.,-0.2,n.s.,-1,n.s.,-5,n.s.,-3,n.s.,-1,n.s.,1,n.s.
MmuEX0037744,Ptk2,0,n.s.,-0.5,n.s.,1,n.s.,0,n.s.,0,n.s.,1,n.s.,0,n.s.
MmuEX0037745,Ptk2,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0037746,Ptk2,34,higher,-24.3,lower,-43,lower,-23,lower,19,higher,-3,n.s.,-11,lower
MmuEX0027817,Mapk12,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0027818,Mapk12,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,NA
MmuEX0027819,Mapk12,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0027820,Mapk12,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0027821,Mapk12,-4,n.s.,1.8,n.s.,1,n.s.,-1,n.s.,-1,n.s.,0,n.s.,-3,n.s.
MmuEX0026612,Lmf2,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,NA
MmuEX0038459,Rabl2,0,n.s.,-0.8,n.s.,0,n.s.,-2,n.s.,0,n.s.,0,n.s.,NA,n.s.
MmuEX0038460,Rabl2,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0038461,Rabl2,2,n.s.,-0.9,n.s.,-4,n.s.,-4,n.s.,-4,n.s.,0,n.s.,-2,n.s.
MmuEX0038462,Rabl2,-2,n.s.,-0.9,n.s.,3,n.s.,-5,n.s.,2,n.s.,2,n.s.,NA,NA
MmuEX0042254,Shank3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0042255,Shank3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0042256,Shank3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0042257,Shank3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0042258,Shank3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0042259,Shank3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0025526,Kif21a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0025527,Kif21a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0025528,Kif21a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0025529,Kif21a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052848,Zcrb1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0052849,Zcrb1,-5,n.s.,11.9,higher,8,n.s.,-4,n.s.,-7,n.s.,3,n.s.,-6,n.s.
MmuEX0052850,Zcrb1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0009367,Cblb,-4,n.s.,-1.8,n.s.,3,n.s.,1,n.s.,-3,n.s.,6,n.s.,-12,n.s.
MmuEX0009368,Cblb,3,n.s.,-0.7,n.s.,7,n.s.,-6,n.s.,9,n.s.,-3,n.s.,3,n.s.
MmuEX0009369,Cblb,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0009370,Cblb,-1,n.s.,1.1,n.s.,1,n.s.,0,n.s.,-1,n.s.,1,n.s.,-3,n.s.
MmuEX0007778,Bbx,-3,n.s.,8.8,n.s.,23,higher,4,n.s.,-7,n.s.,-10,n.s.,-14,lower
MmuEX0007779,Bbx,4,n.s.,-2.9,n.s.,8,n.s.,-14,lower,2,n.s.,-4,n.s.,-16,lower
MmuEX0007780,Bbx,17,higher,1.2,n.s.,-1,n.s.,-5,n.s.,-2,n.s.,-1,n.s.,-2,n.s.
MmuEX0007781,Bbx,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0038068,Pvrl3,0,n.s.,0.3,n.s.,-1,n.s.,-1,n.s.,0,n.s.,-1,n.s.,-4,n.s.
MmuEX0038069,Pvrl3,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0038070,Pvrl3,-1,n.s.,0.9,n.s.,1,n.s.,-3,n.s.,-1,n.s.,-4,n.s.,-6,n.s.
MmuEX0038071,Pvrl3,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0010149,Cd200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0010150,Cd200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0043118,Slc35a5,1,n.s.,1.7,n.s.,4,n.s.,2,n.s.,-1,n.s.,0,n.s.,-3,n.s.
MmuEX0043119,Slc35a5,3,n.s.,2.5,n.s.,-1,n.s.,-17,lower,-8,n.s.,-3,n.s.,0,n.s.
MmuEX0010153,Cd200r1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0010154,Cd200r1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0010155,Cd200r1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0022183,Gtpbp8,0,n.s.,5.3,n.s.,6,n.s.,5,n.s.,4,n.s.,9,n.s.,-30,lower
MmuEX0022184,Gtpbp8,4,n.s.,1.6,n.s.,1,n.s.,-3,n.s.,2,n.s.,-4,n.s.,-6,n.s.
MmuEX0037191,Prkdc,1,n.s.,0.7,n.s.,NA,NA,NA,n.s.,NA,n.s.,0,n.s.,-6,n.s.
MmuEX0050203,Ube2v2,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0050204,Ube2v2,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0000066,0610037P05Rik,NA,NA,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0000067,0610037P05Rik,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0031222,Nde1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0031223,Nde1,-1,n.s.,-0.3,n.s.,2,n.s.,0,n.s.,-1,n.s.,2,n.s.,1,n.s.
MmuEX0031224,Nde1,0,n.s.,-0.5,n.s.,1,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0034350,Pdxdc1,-2,n.s.,0.7,n.s.,0,n.s.,0,n.s.,-1,n.s.,-2,n.s.,-1,n.s.
MmuEX0034351,Pdxdc1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0034352,Pdxdc1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0032512,Ntan1,-4,n.s.,0.4,n.s.,-6,n.s.,-28,lower,-22,lower,2,n.s.,2,n.s.
MmuEX0032513,Ntan1,NA,n.s.,NA,n.s.,2,n.s.,-11,lower,-6,n.s.,NA,n.s.,NA,n.s.
MmuEX0040587,Rrn3,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0040588,Rrn3,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0040589,Rrn3,-1,n.s.,0.6,n.s.,-2,n.s.,0,n.s.,-1,n.s.,1,n.s.,0,n.s.
MmuEX0040590,Rrn3,-2,n.s.,-0.4,n.s.,0,n.s.,0,n.s.,0,n.s.,1,n.s.,0,n.s.
MmuEX0007948,Bfar,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0007949,Bfar,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0007950,Bfar,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0033689,Parn,0,n.s.,-0.4,n.s.,1,n.s.,1,n.s.,1,n.s.,0,n.s.,0,n.s.
MmuEX0033690,Parn,1,n.s.,-0.5,n.s.,3,n.s.,0,n.s.,2,n.s.,1,n.s.,-3,n.s.
MmuEX0033691,Parn,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0033692,Parn,0,n.s.,2.1,n.s.,5,n.s.,0,n.s.,5,n.s.,-2,n.s.,0,n.s.
MmuEX0042347,Sidt1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0042348,Sidt1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0042349,Sidt1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0001079,2610015P09Rik,9,n.s.,NA,n.s.,4,n.s.,10,n.s.,12,higher,7,n.s.,13,n.s.
MmuEX0001080,2610015P09Rik,1,n.s.,2.4,n.s.,-8,n.s.,-11,lower,-19,lower,2,n.s.,4,n.s.
MmuEX0022945,Hira,-1,n.s.,0.3,n.s.,-1,n.s.,0,n.s.,-1,n.s.,0,n.s.,-1,n.s.
MmuEX0038189,Qtrtd1,-3,n.s.,3,n.s.,0,n.s.,0,n.s.,-3,n.s.,-5,n.s.,-11,lower
MmuEX0038190,Qtrtd1,2,n.s.,-1.8,n.s.,-2,n.s.,-2,n.s.,-1,n.s.,-1,n.s.,-5,n.s.
MmuEX0038191,Qtrtd1,0,n.s.,-0.2,n.s.,-2,n.s.,-1,n.s.,-1,n.s.,-1,n.s.,-2,n.s.
MmuEX0052648,Zbtb20,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0052649,Zbtb20,23,higher,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0052650,Zbtb20,NA,NA,NA,n.s.,1,n.s.,NA,n.s.,0,n.s.,NA,n.s.,NA,n.s.
MmuEX0052651,Zbtb20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052652,Zbtb20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052653,Zbtb20,-2,n.s.,NA,n.s.,2,n.s.,2,n.s.,4,n.s.,-5,n.s.,NA,n.s.
MmuEX0052654,Zbtb20,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052655,Zbtb20,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052656,Zbtb20,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052657,Zbtb20,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052658,Zbtb20,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0051107,Usp7,2,n.s.,2.9,n.s.,1,n.s.,-1,n.s.,0,n.s.,-1,n.s.,2,n.s.
MmuEX0051108,Usp7,0,n.s.,0.1,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0035982,Pmm2,-3,n.s.,-1.6,n.s.,0,n.s.,6,n.s.,0,n.s.,0,n.s.,1,n.s.
MmuEX0049039,Trmt2a,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.
