VastDB.ID,gene,length,chrom,start,end,strand,neural.trend,ASD.trend
MmuEX0033281,Ostc,94,chr3,130406432,130412154,-,NA,NA
MmuEX0016701,Elmo1,140,chr13,20277374,20300002,+,NA,NA
MmuEX0016702,Elmo1,78,chr13,20681596,20696967,+,NA,NA
MmuEX0024470,Iqsec2,50,chrX,148656364,148657464,+,Neural-high,n.s.
MmuEX0034227,Pde9a,71,chr17,31596951,31598515,+,NA,NA
MmuEX0034228,Pde9a,105,chr17,31603414,31607625,+,NA,NA
MmuEX0031019,Nbl1,112,chr4,138639518,138641368,-,NA,NA
MmuEX0031020,Nbl1,240,chr4,138641564,138648741,-,NA,NA
MmuEX0043831,Smc1a,157,chrX,148482512,148493900,+,NA,NA
MmuEX0008188,Brca2,105,chr5,151325666,151332044,+,NA,NA
MmuEX0008189,Brca2,96,chr5,151346033,151350515,+,NA,NA
MmuEX0008190,Brca2,122,chr5,151359821,151362578,+,NA,NA
MmuEX0053904,Zmiz2,78,chr11,6297690,6298558,+,NA,n.s.
MmuEX0053905,Zmiz2,68,chr11,6301259,6302806,+,NA,NA
MmuEX0022666,Hectd2,139,chr19,36643993,36659385,+,NA,NA
MmuEX0022667,Hectd2,59,chr19,36674210,36678739,+,NA,inconsistent
MmuEX0037160,Prkd2,139,chr7,17429213,17432949,+,NA,NA
MmuEX0040553,Rpusd1,140,chr17,25864793,25865467,+,NA,n.s.
MmuEX0052522,Yeats2,119,chr16,20141309,20152981,+,NA,NA
MmuEX0005780,Arhgap11a,139,chr2,113674620,113677022,-,NA,NA
MmuEX0005786,Arhgap12,99,chr18,6034551,6039351,-,NA,NA
MmuEX0034789,Phf8,303,chrX,148004975,148007955,+,NA,ASD-high
MmuEX0051550,Vps41,98,chr13,18906163,18919472,+,NA,NA
MmuEX0053109,Zfp236,132,chr18,82773779,82778679,-,NA,NA
MmuEX0053110,Zfp236,82,chr18,82778868,82787101,-,NA,n.s.
MmuEX0009138,Car8,170,chr4,8073364,8110399,-,NA,NA
MmuEX0040798,Rusc1,47,chr3,88892191,88892921,-,NA,NA
MmuEX0040799,Rusc1,411,chr3,88893690,88895059,-,NA,NA
MmuEX0014930,Dmxl2,63,chr9,54226811,54228714,-,Neural-low,n.s.
MmuEX0014931,Dmxl2,131,chr9,54230529,54235219,-,NA,NA
MmuEX0014932,Dmxl2,77,chr9,54244178,54247748,-,NA,NA
MmuEX0014933,Dmxl2,122,chr9,54275931,54294178,-,NA,NA
MmuEX0014934,Dmxl2,126,chr9,54325336,54349157,-,NA,NA
MmuEX0048541,Tox,387,chr4,6616118,6638604,-,NA,NA
MmuEX0024986,Katnal1,127,chr5,149700590,149704085,-,NA,NA
MmuEX0011105,Cftr,111,chr6,18120877,18154171,+,NA,NA
MmuEX0011106,Cftr,90,chr6,18164316,18171469,+,NA,NA
MmuEX0011107,Cftr,89,chr6,18205475,18208230,+,NA,NA
MmuEX0022147,Gtf3c3,191,chr1,54460480,54462680,-,NA,NA
MmuEX0044177,Sntb2,214,chr8,109460222,109515295,+,NA,NA
MmuEX0043542,Slc7a1,384,chr5,149159888,149176737,-,NA,NA
MmuEX0004464,Ak7,81,chr12,106964508,106973099,+,NA,NA
MmuEX0004465,Ak7,78,chr12,106976875,106980445,+,NA,NA
MmuEX0024150,Inhba,82,chr13,16104220,16109014,+,NA,NA
MmuEX0006648,Atg2b,70,chr12,106861714,106864387,-,NA,NA
MmuEX0006649,Atg2b,195,chr12,106873232,106874656,-,NA,NA
MmuEX0005131,Ankrd42,213,chr7,99753891,99759054,-,NA,NA
MmuEX0038749,Rap1gap,79,chr4,137271761,137272434,+,NA,NA
MmuEX0038750,Rap1gap,78,chr4,137277873,137280606,+,NA,n.s.
MmuEX0047943,Tmem29,169,chrX,146833460,146854884,-,NA,NA
MmuEX0039589,Rgl2,197,chr17,34066990,34068670,+,NA,n.s.
MmuEX0039590,Rgl2,294,chr17,34072602,34073807,+,NA,NA
MmuEX0013501,D19Bwg1357e,67,chr19,27495962,27497143,-,NA,NA
MmuEX0023426,Htr2c,134,chrX,143416149,143506927,+,NA,NA
MmuEX0007533,BC055324,146,chr1,165902093,165906874,-,NA,NA
MmuEX0051699,Wapal,153,chr14,35535546,35538313,+,NA,NA
MmuEX0014674,Dicer1,156,chr12,105935355,105940611,-,NA,NA
MmuEX0022885,Hibch,138,chr1,52910555,52919111,+,NA,NA
MmuEX0011445,Cirh1a,161,chr8,109417873,109421959,+,NA,inconsistent
MmuEX0011446,Cirh1a,90,chr8,109422427,109428132,+,NA,NA
MmuEX0028828,Mfsd6,25,chr1,52715390,52717650,-,Neural-high,inconsistent
MmuEX0028829,Mfsd6,1592,chr1,52733420,52783866,-,NA,NA
MmuEX0020462,Gk5,104,chr9,96071974,96076648,+,NA,NA
MmuEX0005862,Arhgap32,82,chr9,31997647,32046846,+,NA,NA
MmuEX0008830,Cacna2d4,75,chr6,119227919,119231637,+,NA,NA
MmuEX0008831,Cacna2d4,21,chr6,119295115,119297151,+,NA,NA
MmuEX0043997,Smpx,35,chrX,154159012,154190103,+,NA,NA
MmuEX0013930,Dcp1b,41,chr6,119125461,119133667,+,NA,NA
MmuEX0018288,Fam38b,183,chr18,63190182,63201200,-,NA,NA
MmuEX0018289,Fam38b,72,chr18,63224434,63229609,-,NA,NA
MmuEX0018290,Fam38b,177,chr18,63245944,63250533,-,NA,NA
MmuEX0018291,Fam38b,42,chr18,63252672,63261674,-,NA,NA
MmuEX0018292,Fam38b,39,chr18,63277442,63280876,-,NA,NA
MmuEX0040611,Rrp9,80,chr9,106386688,106387407,+,NA,NA
MmuEX0041772,Serpina3a,660,chr12,105351134,105356630,+,NA,NA
MmuEX0044439,Sox5,87,chr6,143976973,144064963,-,NA,NA
MmuEX0044440,Sox5,72,chr6,144383011,144574126,-,NA,NA
MmuEX0026011,L3mbtl4,92,chr17,68806674,68810790,+,NA,NA
MmuEX0026012,L3mbtl4,103,chr17,68909204,68979524,+,NA,NA
MmuEX0041734,Sepw1,54,chr7,16505467,16505797,-,NA,NA
MmuEX0041408,Sdk2,165,chr11,113655178,113661456,-,NA,NA
MmuEX0041409,Sdk2,57,chr11,113682992,113686328,-,Neural-high,inconsistent
MmuEX0048209,Tmtc4,132,chr14,123332742,123341036,-,NA,NA
MmuEX0048210,Tmtc4,203,chr14,123341209,123343895,-,NA,NA
MmuEX0051381,Vmn1r90,171,chr7,15168512,15177994,-,NA,NA
MmuEX0028131,Mbp,78,chr18,82724143,82742216,+,NA,n.s.
MmuEX0016917,Entpd3,160,chr9,120464914,120467452,+,NA,NA
MmuEX0009861,Ccdc64,109,chr5,116099579,116101827,-,Neural-high,inconsistent
MmuEX0009862,Ccdc64,144,chr5,116106041,116112708,-,Neural-high,n.s.
MmuEX0009863,Ccdc64,180,chr5,116112928,116120162,-,NA,NA
MmuEX0013466,D11Wsu47e,82,chr11,113546125,113549087,+,NA,NA
MmuEX0025205,Kctd12b,55,chrX,150124241,150130627,-,NA,NA
MmuEX0020230,Gcn1l1,179,chr5,116039335,116040982,+,NA,NA
MmuEX0025537,Kif21b,52,chr1,138058149,138058540,+,NA,NA
MmuEX0033889,Pcca,111,chr14,123091478,123113244,+,NA,NA
MmuEX0033890,Pcca,54,chr14,123189677,123275985,+,NA,NA
MmuEX0036049,Pnpla3,156,chr15,84007307,84011349,+,NA,NA
MmuEX0043275,Slc39a11,171,chr11,113167269,113325264,-,NA,NA
MmuEX0040563,Rragb,84,chrX,149578619,149584904,+,NA,ASD-low
MmuEX0040564,Rragb,96,chrX,149587897,149594944,+,NA,NA
MmuEX0037068,Prima1,132,chr12,104435562,104440858,-,Neural-high,inconsistent
MmuEX0039848,Rims1,124,chr1,22482574,22489992,-,NA,NA
MmuEX0038131,Pyroxd1,138,chr6,142307679,142310273,+,NA,NA
MmuEX0026953,Lrrc18,133,chr14,33804728,33808389,+,NA,NA
MmuEX0007311,BC006965,78,chr11,112635746,112643267,-,NA,NA
MmuEX0019005,Fcho2,105,chr13,99547443,99559317,-,NA,NA
MmuEX0008385,Btbd7,161,chr12,104033527,104049329,-,NA,NA
MmuEX0029569,Mpped1,226,chr15,83630615,83682469,+,NA,NA
MmuEX0021468,Golt1a,179,chr1,135215950,135217567,+,NA,NA
MmuEX0004636,Alg13,352,chrX,140756694,140771634,+,NA,NA
MmuEX0004637,Alg13,47,chrX,140773558,140775262,+,NA,NA
MmuEX0004638,Alg13,142,chrX,140785920,140787172,+,NA,NA
MmuEX0004639,Alg13,69,chrX,140788176,140791338,+,NA,NA
MmuEX0034958,Pi4ka,157,chr16,17307924,17309398,-,NA,NA
MmuEX0034959,Pi4ka,133,chr16,17355060,17357638,-,NA,NA
MmuEX0034960,Pi4ka,94,chr16,17381983,17389433,-,NA,NA
MmuEX0012479,Coro2b,117,chr9,62280314,62337047,-,NA,NA
MmuEX0025651,Kirrel,143,chr3,86901829,86978317,-,NA,NA
MmuEX0039979,Rnf10,101,chr5,115692701,115695857,-,NA,n.s.
MmuEX0039980,Rnf10,53,chr5,115707183,115710127,-,NA,NA
MmuEX0035723,Plekha6,150,chr1,135181964,135184046,+,Neural-high,NA
MmuEX0021678,Gpr155,96,chr2,73187749,73191673,-,NA,NA
MmuEX0048625,Tpp2,39,chr1,44040438,44047355,+,NA,n.s.
MmuEX0050096,Ubac2,128,chr14,122277997,122306512,+,NA,NA
MmuEX0027832,Mapk1ip1,358,chr7,146028714,146037635,-,NA,NA
MmuEX0048757,Tram2,64,chr1,21003593,21069074,-,NA,NA
MmuEX0030629,Myrip,626,chr9,120336780,120350459,+,NA,NA
MmuEX0030630,Myrip,195,chr9,120350700,120370525,+,NA,n.s.
MmuEX0003043,Abca9,142,chr11,110015878,110019494,-,NA,NA
MmuEX0003044,Abca9,165,chr11,110020372,110024484,-,NA,NA
MmuEX0016356,Efhc1,150,chr1,20950499,20957404,+,NA,NA
MmuEX0018061,Fam169a,40,chr13,97881358,97884063,+,NA,NA
MmuEX0032881,Oasl1,279,chr5,115373619,115379848,+,NA,NA
MmuEX0032882,Oasl1,242,chr5,115380013,115385929,+,NA,NA
MmuEX0046066,Sytl3,79,chr17,6905654,6910242,+,NA,NA
MmuEX0037903,Ptpre,57,chr7,142861541,142862381,+,NA,NA
MmuEX0022383,Haus1,43,chr18,78007237,78012496,-,NA,NA
MmuEX0043903,Smek1,227,chr12,102278990,102280664,-,NA,NA
MmuEX0024384,Ipo9,77,chr1,137282055,137282795,-,NA,NA
MmuEX0031289,Ndufa7,50,chr17,33961763,33966611,+,NA,NA
MmuEX0020454,Git2,87,chr5,115214487,115216460,-,NA,NA
MmuEX0052186,Wipi1,71,chr11,109443794,109445388,-,NA,n.s.
MmuEX0046855,Tdrkh,107,chr3,94226874,94228422,+,NA,NA
MmuEX0046856,Tdrkh,102,chr3,94233114,94233972,+,NA,NA
MmuEX0042657,Slc16a6,144,chr11,109319920,109324623,-,NA,NA
MmuEX0030245,Mvk,38,chr5,114894373,114895396,+,NA,NA
MmuEX0028845,Mfsd9,181,chr1,40831392,40838225,-,NA,NA
MmuEX0028846,Mfsd9,130,chr1,40838436,40843011,-,NA,NA
MmuEX0028847,Mfsd9,130,chr1,40844463,40847329,-,NA,NA
MmuEX0047632,Tmco7,83,chr8,109223019,109240508,+,NA,NA
MmuEX0047633,Tmco7,130,chr8,109242047,109248993,+,NA,NA
MmuEX0047634,Tmco7,135,chr8,109249186,109265912,+,NA,NA
MmuEX0047635,Tmco7,120,chr8,109342470,109374078,+,NA,NA
MmuEX0035457,Pkp2,190,chr16,16267424,16269777,+,NA,NA
MmuEX0035089,Pigs,140,chr11,78142011,78142476,+,NA,inconsistent
MmuEX0035090,Pigs,92,chr11,78146542,78148928,+,NA,NA
MmuEX0013828,Dcaf17,106,chr2,70916222,70919967,+,NA,n.s.
MmuEX0005961,Arhgef11,120,chr3,87492773,87501266,+,Neural-high,n.s.
MmuEX0005962,Arhgef11,138,chr3,87501987,87506079,+,NA,NA
MmuEX0005963,Arhgef11,91,chr3,87533575,87535097,+,NA,NA
MmuEX0005964,Arhgef11,129,chr3,87537427,87539266,+,Neural-high,NA
MmuEX0005965,Arhgef11,190,chr3,87539494,87540965,+,NA,NA
MmuEX0038808,Rapgef5,74,chr12,118851903,118896750,+,NA,NA
MmuEX0047457,Tlk1,108,chr2,70552223,70555838,-,NA,NA
MmuEX0047458,Tlk1,253,chr2,70563635,70576477,-,NA,n.s.
MmuEX0047459,Tlk1,137,chr2,70580300,70583990,-,NA,NA
MmuEX0031076,Ncapg2,180,chr12,117664378,117666128,+,NA,NA
MmuEX0028026,Mat2b,114,chr11,40493697,40495965,-,NA,NA
MmuEX0012891,Csgalnact2,82,chr6,118059413,118069627,-,NA,NA
MmuEX0012892,Csgalnact2,102,chr6,118071142,118076139,-,NA,NA
MmuEX0051963,Wdr60,100,chr12,117451979,117454953,-,NA,NA
MmuEX0051964,Wdr60,52,chr12,117455015,117457089,-,NA,NA
MmuEX0051965,Wdr60,130,chr12,117471180,117480151,-,NA,NA
MmuEX0051966,Wdr60,150,chr12,117495948,117501323,-,NA,NA
MmuEX0051807,Wdr11,112,chr7,136735578,136742538,+,NA,NA
MmuEX0051808,Wdr11,101,chr7,136750227,136751274,+,NA,NA
MmuEX0051809,Wdr11,148,chr7,136763533,136767764,+,NA,NA
MmuEX0051810,Wdr11,115,chr7,136767872,136768669,+,NA,NA
MmuEX0030514,Myo3b,105,chr2,69934553,69943710,+,NA,NA
MmuEX0030515,Myo3b,51,chr2,70119290,70124975,+,NA,NA
MmuEX0045861,Svop,125,chr5,114495641,114510066,-,NA,NA
MmuEX0045862,Svop,167,chr5,114515778,114541160,-,NA,NA
MmuEX0013746,Dao,66,chr5,114464015,114467664,+,NA,NA
MmuEX0050478,Uggt2,91,chr14,119407392,119408220,-,Neural-high,NA
MmuEX0050479,Uggt2,159,chr14,119431519,119434063,-,NA,NA
MmuEX0024220,Inpp5f,118,chr7,135823360,135828599,+,NA,NA
MmuEX0025729,Klhdc8a,216,chr1,134199267,134200305,+,NA,NA
MmuEX0045041,Ssh1,66,chr5,114408918,114411358,-,NA,NA
MmuEX0045042,Ssh1,104,chr5,114416783,114439654,-,NA,inconsistent
MmuEX0038946,Rassf4,76,chr6,116597728,116611860,-,NA,NA
MmuEX0036568,Ppig,30,chr2,69572436,69574045,+,NA,NA
MmuEX0012496,Cox10,233,chr11,63778031,63807387,-,NA,NA
MmuEX0016029,Dzip1,987,chr14,119278735,119280231,-,NA,NA
MmuEX0016030,Dzip1,57,chr14,119291055,119299207,-,NA,NA
MmuEX0006179,Armc5,497,chr7,135384384,135386853,+,NA,NA
MmuEX0031641,Nfrkb,102,chr9,31204083,31205304,+,NA,NA
MmuEX0043164,Slc35f2,160,chr9,53648946,53655852,+,NA,NA
MmuEX0053350,Zfp451,56,chr1,33819055,33822688,-,NA,NA
MmuEX0011135,Chchd7,39,chr4,3869967,3870534,+,NA,NA
MmuEX0000039,0610010F05Rik,77,chr11,23465137,23476730,-,NA,NA
MmuEX0000040,0610010F05Rik,33,chr11,23488735,23493425,-,NA,NA
MmuEX0018884,Fbxo38,131,chr18,62682175,62686830,-,NA,NA
MmuEX0007600,Bag2,110,chr1,33803862,33814423,-,NA,NA
MmuEX0042091,Sgsm1,165,chr5,113705193,113708152,-,Neural-low,n.s.
MmuEX0004791,Ammecr1,111,chrX,139312768,139400750,-,NA,inconsistent
MmuEX0027369,Lyn,77,chr4,3683631,3708059,+,NA,NA
MmuEX0038457,Rabif,55,chr1,136391387,136402652,+,NA,NA
MmuEX0004099,Adrbk2,108,chr5,113358760,113370652,-,NA,NA
MmuEX0004100,Adrbk2,131,chr5,113370748,113375606,-,NA,NA
MmuEX0035958,Pm20d1,87,chr1,133694164,133697670,+,NA,NA
MmuEX0011434,Cilp,109,chr9,65121631,65123650,+,NA,NA
MmuEX0024531,Isl1,260,chr13,117093541,117098481,-,NA,NA
MmuEX0032862,Nxt2,87,chrX,138662925,138671326,+,NA,NA
MmuEX0022265,H1foo,79,chr6,115895101,115897652,+,NA,NA
MmuEX0045190,Stab1,74,chr14,31960287,31960672,-,NA,NA
MmuEX0045191,Stab1,95,chr14,31973817,31974264,-,NA,NA
MmuEX0049456,Ttc19,39,chr11,62097210,62098504,+,NA,NA
MmuEX0049457,Ttc19,95,chr11,62099388,62122543,+,NA,NA
MmuEX0049458,Ttc19,92,chr11,62126681,62141399,+,NA,NA
MmuEX0016446,Ehbp1,98,chr11,21953559,21956785,-,NA,NA
MmuEX0016447,Ehbp1,108,chr11,21959265,21968361,-,Neural-high,ASD-low
MmuEX0016448,Ehbp1,105,chr11,22051193,22069037,-,Neural-high,ASD-low
MmuEX0042110,Sgsm3,225,chr15,80838865,80839653,+,NA,NA
MmuEX0040891,S100a14,147,chr3,90331216,90331999,+,NA,NA
MmuEX0041810,Setd1a,122,chr7,134924170,134927486,+,NA,NA
MmuEX0033840,Pbrm1,96,chr14,31857896,31859517,+,NA,n.s.
MmuEX0033841,Pbrm1,45,chr14,31867442,31874654,+,Neural-high,ASD-low
MmuEX0033842,Pbrm1,158,chr14,31900848,31918532,+,NA,NA
MmuEX0048256,Tnfrsf14,164,chr4,154296621,154298522,-,NA,NA
MmuEX0023880,Ikbke,93,chr1,133153801,133155758,-,NA,NA
MmuEX0023881,Ikbke,40,chr1,133155861,133159849,-,NA,NA
MmuEX0023882,Ikbke,65,chr1,133166687,133167463,-,NA,NA
MmuEX0023883,Ikbke,89,chr1,133173156,133175907,-,NA,NA
MmuEX0000112,1110018G07Rik,176,chr12,86261531,86262207,-,NA,NA
MmuEX0000113,1110018G07Rik,110,chr12,86267364,86268818,-,NA,inconsistent
MmuEX0021800,Grap2,94,chr15,80454245,80464765,+,NA,NA
MmuEX0021372,Gnl3,88,chr14,31827414,31828091,-,NA,NA
MmuEX0001518,4930433N12Rik,101,chr9,3190806,3192819,-,NA,NA
MmuEX0039164,Rbm45,127,chr2,76210215,76213412,+,NA,NA
MmuEX0039165,Rbm45,164,chr2,76216820,76218421,+,NA,NA
MmuEX0043444,Slc5a10,216,chr11,61486784,61487330,-,NA,NA
MmuEX0043445,Slc5a10,81,chr11,61521502,61523092,-,NA,NA
MmuEX0018488,Fam83g,125,chr11,61508780,61515958,+,NA,NA
MmuEX0020140,Gatad2b,53,chr3,90097347,90145577,+,NA,NA
MmuEX0039192,Rbm7,91,chr9,48298094,48301511,-,NA,NA
MmuEX0012780,Crtac1,43,chr19,42358757,42362342,-,NA,n.s.
MmuEX0012781,Crtac1,135,chr19,42379306,42393094,-,NA,NA
MmuEX0014282,Dennd4b,170,chr3,90081466,90081909,+,NA,NA
MmuEX0010081,Ccno,186,chr13,113778493,113779779,+,NA,NA
MmuEX0018754,Fbrs,45,chr7,134628757,134629107,+,NA,NA
MmuEX0018400,Fam63b,143,chr9,70458810,70474561,-,NA,n.s.
MmuEX0053937,Zmym4,112,chr4,126546210,126554872,-,NA,NA
MmuEX0053938,Zmym4,54,chr4,126567420,126570538,-,NA,NA
MmuEX0053939,Zmym4,116,chr4,126570711,126575539,-,NA,NA
MmuEX0029046,Mios,255,chr6,8166471,8174554,+,NA,NA
MmuEX0029047,Mios,205,chr6,8181314,8184231,+,NA,NA
MmuEX0013962,Dctpp1,111,chr7,134400851,134404036,-,NA,NA
MmuEX0046511,Tbc1d8b,111,chrX,136219850,136239140,+,NA,NA
MmuEX0003061,Abcb4,77,chr5,8893908,8896572,+,NA,NA
MmuEX0003062,Abcb4,58,chr5,8899719,8907207,+,NA,NA
MmuEX0003063,Abcb4,198,chr5,8950106,8955388,+,NA,NA
MmuEX0026305,Leo1,146,chr9,75296204,75298294,+,NA,NA
MmuEX0011789,Clspn,109,chr4,126242250,126243214,+,NA,NA
MmuEX0003486,Acn9,134,chr6,6906201,6988853,+,NA,NA
MmuEX0050870,Usp22,148,chr11,60974180,60976328,-,NA,NA
MmuEX0008481,C130039O16Rik,213,chr12,85493982,85497376,-,NA,NA
MmuEX0014899,Dmtf1,145,chr5,9120139,9121084,-,NA,inconsistent
MmuEX0014900,Dmtf1,158,chr5,9131309,9136065,-,NA,NA
MmuEX0002601,AA986860,186,chr1,132628801,132637579,+,NA,NA
MmuEX0050121,Ubap2l,51,chr3,89804176,89806200,-,NA,n.s.
MmuEX0045746,Sun2,96,chr15,79567590,79568949,-,NA,NA
MmuEX0022157,Gtpbp1,112,chr15,79521529,79537421,+,NA,n.s.
MmuEX0003509,Acot5,189,chr12,85414483,85416560,+,NA,NA
MmuEX0054016,Zp3r,198,chr1,132480178,132493235,-,NA,NA
MmuEX0042405,Sin3a,108,chr9,56919871,56934387,+,NA,NA
MmuEX0042406,Sin3a,177,chr9,56934609,56942243,+,NA,NA
MmuEX0001900,4933432B09Rik,83,chr15,79460550,79467108,-,NA,NA
MmuEX0001901,4933432B09Rik,124,chr15,79467217,79470433,-,NA,NA
MmuEX0029017,Mier2,421,chr10,79003945,79005122,-,NA,NA
MmuEX0029018,Mier2,82,chr10,79007360,79007789,-,NA,NA
MmuEX0029019,Mier2,118,chr10,79011188,79011928,-,NA,NA
MmuEX0013222,Cux2,121,chr5,122334833,122337362,-,NA,NA
MmuEX0042125,Sh2b3,88,chr5,122279086,122286558,-,NA,NA
MmuEX0007073,Atxn2,108,chr5,122235422,122236342,+,NA,NA
MmuEX0007074,Atxn2,54,chr5,122253090,122260859,+,Neural-high,NA
MmuEX0033263,Oscp1,129,chr4,125760230,125761636,+,NA,NA
MmuEX0040925,Safb2,113,chr17,56702855,56703926,-,NA,NA
MmuEX0040926,Safb2,101,chr17,56710973,56714325,-,NA,NA
MmuEX0040927,Safb2,152,chr17,56717329,56718343,-,NA,NA
MmuEX0042267,Shc1,168,chr3,89222632,89226618,+,NA,NA
MmuEX0053778,Zfyve1,114,chr12,84889066,84892415,-,NA,NA
MmuEX0035520,Pla2g6,74,chr15,79117326,79118045,-,NA,NA
MmuEX0035521,Pla2g6,151,chr15,79120146,79129461,-,NA,NA
MmuEX0035522,Pla2g6,183,chr15,79136242,79137742,-,NA,NA
MmuEX0039682,Rgsl1,63,chr1,155668704,155672405,-,NA,NA
MmuEX0019312,Flad1,223,chr3,89213089,89215482,-,NA,inconsistent
MmuEX0003373,Acad12,173,chr5,122050042,122055551,-,NA,NA
MmuEX0003374,Acad12,401,chr5,122058046,122064068,-,NA,NA
MmuEX0015895,Dusp15,50,chr2,152771238,152774773,-,NA,NA
MmuEX0015896,Dusp15,34,chr2,152774857,152777070,-,NA,NA
MmuEX0013941,Dcst1,127,chr3,89157305,89157719,-,NA,NA
MmuEX0013942,Dcst1,140,chr3,89161849,89162996,-,NA,NA
MmuEX0052573,Ypel3,112,chr7,133920756,133921284,+,NA,NA
MmuEX0052574,Ypel3,44,chr7,133921468,133921819,+,NA,NA
MmuEX0030426,Myo15,114,chr11,60302405,60305149,+,NA,NA
MmuEX0030427,Myo15,54,chr11,60310505,60311177,+,NA,NA
MmuEX0030428,Myo15,73,chr11,60323550,60324070,+,NA,NA
MmuEX0030429,Myo15,97,chr11,60331041,60334253,+,NA,NA
MmuEX0032887,Obfc1,123,chr19,47582369,47588300,-,NA,NA
MmuEX0042425,Sipa1l1,189,chr12,83458351,83473354,+,NA,NA
MmuEX0000396,1700012A16Rik,251,chr1,155293082,155296030,+,NA,NA
MmuEX0006998,Atpaf2,81,chr11,60217995,60220795,-,NA,NA
MmuEX0006999,Atpaf2,146,chr11,60220894,60223087,-,NA,n.s.
MmuEX0048736,Trafd1,89,chr5,121834114,121835533,-,NA,NA
MmuEX0042117,Sgtb,104,chr13,104901270,104911546,+,NA,NA
MmuEX0020921,Gm15800,193,chr5,121716415,121727683,+,NA,NA
MmuEX0020922,Gm15800,206,chr5,121793233,121794691,+,NA,NA
MmuEX0020923,Gm15800,223,chr5,121814741,121816477,+,NA,NA
MmuEX0031908,Nmnat2,81,chr1,154933594,154937626,+,NA,NA
MmuEX0047665,Tmem108,1407,chr9,103391674,103512040,-,NA,n.s.
MmuEX0027657,Maneal,77,chr4,124534484,124537607,-,NA,n.s.
MmuEX0048930,Trim46,38,chr3,89041842,89042819,-,NA,n.s.
MmuEX0043954,Smg7,150,chr1,154688724,154691165,-,Neural-high,ASD-low
MmuEX0017607,Exog,115,chr9,119358973,119371493,+,NA,NA
MmuEX0040148,Rnf214,105,chr9,45674745,45675582,-,NA,inconsistent
MmuEX0040149,Rnf214,377,chr9,45675716,45677261,-,NA,NA
MmuEX0026373,Lgr6,72,chr1,136902337,136923628,-,NA,NA
MmuEX0026374,Lgr6,72,chr1,136923845,136969461,-,NA,NA
MmuEX0025900,Krba1,127,chr6,48345887,48353376,+,NA,NA
MmuEX0025901,Krba1,82,chr6,48357822,48359168,+,NA,NA
MmuEX0048948,Trim72,23,chr7,135151532,135152585,+,NA,NA
MmuEX0004693,Alkbh6,79,chr7,31093854,31095004,+,NA,inconsistent
MmuEX0041784,Serpinb6b,175,chr13,33057413,33063339,+,NA,NA
MmuEX0049099,Trp53rk,878,chr2,166618208,166620625,+,NA,NA
MmuEX0027606,Mamstr,182,chr7,52897835,52898606,+,NA,NA
MmuEX0001436,4922501L14Rik,181,chr3,154377057,154390357,+,NA,NA
MmuEX0001437,4922501L14Rik,225,chr3,154396591,154411282,+,NA,NA
MmuEX0016428,Egflam,24,chr15,7172827,7181587,-,Neural-high,NA
MmuEX0032075,Notum,109,chr11,120517764,120518806,-,NA,NA
MmuEX0032076,Notum,59,chr11,120518910,120519644,-,NA,NA
MmuEX0026656,Loh12cr1,158,chr6,134594491,134660061,+,NA,NA
MmuEX0031700,Nhlrc3,148,chr3,53262608,53266233,-,Neural-low,NA
MmuEX0025801,Klhl6,166,chr16,19957448,19982789,-,NA,NA
MmuEX0051977,Wdr63,88,chr3,145718712,145726244,-,NA,NA
MmuEX0009859,Ccdc63,204,chr5,122558257,122560868,-,NA,NA
MmuEX0014746,Disc1,55,chr8,127659410,127678907,+,NA,inconsistent
MmuEX0014747,Disc1,189,chr8,127679011,127741996,+,NA,NA
MmuEX0014748,Disc1,274,chr8,127742058,127774847,+,NA,NA
MmuEX0044680,Spice1,107,chr16,44365800,44367745,+,NA,NA
MmuEX0044681,Spice1,151,chr16,44372779,44376910,+,NA,NA
MmuEX0044682,Spice1,103,chr16,44382316,44385731,+,NA,NA
MmuEX0015636,Dpy19l1,179,chr9,24279898,24286372,-,NA,NA
MmuEX0045995,Synpo,91,chr18,60756143,60789105,-,NA,NA
MmuEX0023948,Il17re,99,chr6,113418952,113419511,+,NA,NA
MmuEX0001503,4930426D05Rik,53,chr18,21811372,21812309,+,NA,NA
MmuEX0050690,Upf2,109,chr2,5909519,5931360,+,NA,NA
MmuEX0050691,Upf2,300,chr2,5972676,5976478,+,NA,NA
MmuEX0017932,Fam129c,159,chr8,74127727,74128636,+,NA,NA
MmuEX0017933,Fam129c,112,chr8,74128935,74130559,+,NA,NA
MmuEX0017568,Exoc3l,101,chr8,107816346,107816751,-,NA,NA
MmuEX0047668,Tmem11,288,chr11,60678851,60692214,-,NA,n.s.
MmuEX0028619,Mei4,246,chr9,81757525,81820704,+,NA,NA
MmuEX0018758,Fbrsl1,78,chr5,110800389,110803408,-,NA,NA
MmuEX0018759,Fbrsl1,72,chr5,110803539,110805271,-,NA,NA
MmuEX0018760,Fbrsl1,69,chr5,110805302,110806375,-,NA,NA
MmuEX0033077,Olfr78,869,chr7,109894665,109907823,-,NA,NA
MmuEX0001054,2510009E07Rik,60,chr16,21653832,21694288,-,NA,NA
MmuEX0022839,Hfm1,92,chr5,107309561,107315529,-,NA,NA
MmuEX0022840,Hfm1,152,chr5,107331166,107333244,-,NA,NA
MmuEX0051055,Usp48,126,chr4,137169777,137172272,+,NA,NA
